 	le	chasseur	est	en	train	de	dépécer	l'	animal	</S>
o	0.751586	0.1905	0.0207487	0.0216727	0.00537511	0.00430642	0.000402169	0.00459908	0.000611419	0.000198593
b	0.0936982	0.868125	0.0222042	0.00229969	0.000559493	0.00119089	0.00902813	0.000760506	0.000681522	0.00145249
e	0.0727344	0.85657	0.0272042	0.0148985	0.00249307	0.00519999	0.0129008	0.00472208	0.00221515	0.00106197
n	0.0453491	0.834606	0.0476292	0.0247635	0.0078822	0.00341286	0.0271039	0.00140946	0.000794196	0.00704919
g	0.446797	0.393051	0.0858472	0.0263206	0.00547066	0.0166099	0.00516878	0.00340361	0.000759156	0.0165722
i	0.248891	0.645874	0.0430057	0.032905	0.0115145	0.00570034	0.00383249	0.00239831	0.000646944	0.0052319
a	0.124444	0.0152674	0.534903	0.197758	0.0180056	0.0660494	0.0228432	0.015191	0.000336688	0.00520255
b	0.0180601	0.0026855	0.206635	0.0640389	0.0219017	0.160903	0.512849	0.00329669	0.00314845	0.00648132
h	0.00967802	0.00653395	0.168432	0.269702	0.0574896	0.255463	0.177494	0.040478	0.00642777	0.00830182
i	0.0284	0.00928354	0.145048	0.282356	0.0499743	0.208852	0.227339	0.0335649	0.00600309	0.00918017
l	0.00777018	0.000673254	0.0618054	0.0929959	0.0321795	0.0659906	0.605879	0.0466144	0.00537037	0.0807217
á	0.00471594	0.000251036	0.0738508	0.0629361	0.010175	0.3053	0.297452	0.0808045	0.0295438	0.134971
a	0.010903	0.000955771	0.0639801	0.0830116	0.0408074	0.171452	0.0241015	0.271188	0.311211	0.0223893
k	0.00134367	0.0033449	0.0248909	0.0107268	0.00745371	0.0515485	0.655494	0.0272429	0.197344	0.0206108
y	0.00071486	0.00272147	0.0190011	0.00876069	0.000285786	0.024738	0.846134	0.0309067	0.0141531	0.0525837
έ	0.00262013	0.00220377	0.0283324	0.0272758	0.00136131	0.0342222	0.80056	0.0103932	0.0224239	0.0706074
s	0.00222059	0.000243434	0.0281101	0.0470189	0.00262864	0.0363138	0.498034	0.1001	0.0361151	0.249215
έ	0.00133309	3.07269e-05	0.0174926	0.00868002	0.000108988	0.0408835	0.794497	0.0378707	0.0290253	0.0700779
n	0.001157	8.74021e-05	0.00862365	0.0126457	0.00219868	0.0179415	0.0362929	0.277813	0.396913	0.246327
y	0.00228835	0.000213957	0.000907038	0.00204711	0.00275252	0.00171375	0.000452382	0.022125	0.940278	0.0272216
a	0.000672471	5.67433e-05	0.000734917	0.000704643	0.000384652	0.000758118	0.00157741	0.00547815	0.977023	0.0126104
m	0.000340306	0.000152616	0.00164126	0.00250618	0.000359902	0.0016954	0.0087608	0.0166197	0.644525	0.323399
a	0.00328286	0.000294114	0.003399	0.00210121	0.00022478	0.007973	0.00186761	0.101993	0.264386	0.614478
</S>	0.0046052	7.43171e-05	0.010732	0.00704399	0.000343068	0.01332	0.0102343	0.221838	0.0361019	0.695707
