 	les	noix	de	palme	tombent	les	unes	après	les	autres	</S>
m	0.544722	0.398237	0.0399364	0.00133563	0.00752792	0.00571277	0.000214786	0.000904592	0.00134355	6.31163e-05	2.25158e-06
b	0.0290206	0.916662	0.022652	0.00948496	0.00560886	0.00236333	0.000932175	0.0073657	0.00253458	0.000355179	0.003021
í	0.0816358	0.888612	0.0087069	0.00350071	0.0126058	0.00207368	0.00100866	0.00086167	0.000155141	0.000689316	0.000150221
a	0.114962	0.851858	0.017956	0.00536034	0.00529603	0.00125886	0.00194496	1.26666e-05	5.19983e-05	0.00107062	0.000228313
y	0.144266	0.0401899	0.658065	0.0934959	0.00806383	0.00668035	0.00406088	0.000754332	0.004644	0.000766148	0.0390142
é	0.159422	0.026936	0.446631	0.187319	0.0217305	0.046898	0.0157494	0.0224506	0.0388132	0.00221891	0.0318314
e	0.18667	0.0289086	0.42735	0.150275	0.0739735	0.0339355	0.0136882	0.0305816	0.0175583	0.00227812	0.0347812
b	0.00839531	0.00351485	0.0641165	0.537393	0.219545	0.0829689	0.0564143	0.00235384	0.00106527	0.0105586	0.0136751
v	0.00677403	0.00456659	0.0383315	0.329637	0.413253	0.121555	0.0580033	0.000240505	0.000816374	0.0122103	0.0146123
a	0.00330695	0.00302168	0.0146532	0.175821	0.604345	0.157953	0.0361106	0.000163726	0.000286153	0.00289524	0.00144344
m	0.00310001	0.0102237	0.0579114	0.259896	0.209225	0.226048	0.123844	0.00172285	0.00528655	0.00495155	0.097791
i	0.0454733	0.018346	0.0307748	0.0433638	0.594051	0.194966	0.0565765	0.000471278	0.00898845	0.00411712	0.00287185
n	0.00335581	0.00303025	0.0331443	0.068755	0.420904	0.316583	0.12599	0.00429204	0.00271583	0.00498636	0.0162436
a	0.00304715	0.000952381	0.0177763	0.0461122	0.436995	0.293474	0.0574834	0.0808254	0.0192615	0.00328162	0.0407912
</S>	0.00118532	0.000319741	0.0547878	0.0715731	0.184789	0.400763	0.100252	0.107268	0.028463	0.00612721	0.0444713
