 	je	n'	ai	plus	mangé	du	poisson	d'	eau	douce	depuis	que	mon	époux	est	mort	</S>
n	0.942372	0.0300425	0.00332815	0.00528393	0.00114407	0.00168016	0.000718418	0.00209061	0.000765085	0.00743632	0.00124209	0.00158251	0.00216444	3.52638e-05	8.25108e-05	2.22779e-05	1.01212e-05
g	0.961513	0.00576408	0.00966473	0.00272337	0.00105774	0.00213173	0.00086298	0.000340577	0.000374285	0.000783682	0.000245117	0.000483973	0.014003	1.9702e-05	9.33824e-06	2.04826e-05	2.34915e-06
á	0.697643	0.0767894	0.0908671	0.0599937	0.0423014	0.0102803	0.00191083	0.0034401	0.00130374	0.00266979	0.000563382	0.00134159	0.00995235	0.000522352	8.97866e-05	0.000300801	3.02768e-05
l	0.0224284	0.142237	0.28603	0.0935845	0.0135521	0.0207687	0.0104246	0.0179143	0.0177149	0.00798457	0.0135677	0.0271758	0.0529513	0.0140209	0.0494395	0.0174427	0.192763
a	0.219433	0.192478	0.159024	0.0741085	0.0775903	0.0250129	0.0113463	0.0149111	0.0301251	0.00731111	0.00961535	0.01645	0.0292216	0.00786907	0.0270388	0.0135457	0.0849191
l	0.00422758	0.0647468	0.057021	0.108254	0.0620387	0.0448074	0.0291575	0.0375732	0.0367436	0.0602708	0.062845	0.0986991	0.0831984	0.0433208	0.0633713	0.03944	0.104285
a	0.0175334	0.0925197	0.22836	0.220592	0.279506	0.0298879	0.0115244	0.0109439	0.0145229	0.0021377	0.00408893	0.00797257	0.0115068	0.00932051	0.00967385	0.00724004	0.042669
a	0.00710987	0.109188	0.141384	0.242286	0.346698	0.0291331	0.0203309	0.00821069	0.00636944	0.006509	0.0066894	0.01691	0.0280158	0.0132362	0.0051172	0.00537252	0.00743983
n	0.000349731	0.0529566	0.199861	0.319791	0.245204	0.0623401	0.029255	0.00823431	0.0137398	0.00248628	0.00373486	0.00662167	0.00519336	0.00238098	0.0114549	0.00521903	0.0311777
á	0.00618929	0.0169496	0.157203	0.121871	0.568467	0.0297474	0.0196368	0.00620844	0.0074628	0.00214748	0.00379667	0.00682717	0.0446564	0.00126178	0.00165016	0.000568948	0.00535586
l	0.0011535	0.047295	0.185135	0.100052	0.0464467	0.294183	0.152248	0.0355708	0.033866	0.00702168	0.0145333	0.0196315	0.0250486	0.00282041	0.0117686	0.00276869	0.0204587
a	0.000356827	0.0147442	0.0461978	0.167523	0.168131	0.251501	0.102175	0.0564673	0.0210847	0.0253851	0.0155649	0.0249225	0.015011	0.00696203	0.0143101	0.0150297	0.0546331
a	0.000296613	0.0170294	0.0112464	0.01843	0.0339966	0.30942	0.295484	0.117557	0.0525787	0.0315365	0.0297567	0.0213491	0.00546883	0.0162994	0.0128352	0.00858025	0.0181353
s	5.06454e-05	0.0068446	0.028531	0.0814184	0.0984578	0.33773	0.148603	0.171266	0.0533521	0.0165415	0.00751169	0.00525464	0.00260798	0.0153076	0.00763172	0.00858996	0.0103015
w	0.000134662	0.0012666	0.0140428	0.0242529	0.466379	0.212568	0.176867	0.0433295	0.0150445	0.0061708	0.00413142	0.00245168	0.00280397	0.0171007	0.00122583	0.00366595	0.00856501
é	0.000678072	0.00220748	0.00753521	0.00914272	0.267634	0.173924	0.360493	0.0859161	0.0303606	0.0172159	0.017046	0.00525769	0.00261632	0.0141832	0.00114507	0.00173625	0.00290866
b	9.20581e-06	0.00175741	0.0192794	0.0243925	0.0118328	0.159196	0.267184	0.213072	0.10654	0.0846862	0.0237811	0.0116835	0.00757208	0.0102765	0.0117153	0.0124943	0.0345285
í	0.000147031	0.000499994	0.00281823	0.00732509	0.000785638	0.0416586	0.0580709	0.200709	0.132108	0.259303	0.149604	0.0834764	0.0286503	0.00692953	0.00559111	0.00569961	0.0166232
k	0.000418167	0.000184932	0.00224665	0.00102264	0.000176684	0.0125256	0.032674	0.123033	0.241149	0.319131	0.134369	0.0749389	0.0291199	0.000848324	0.00493474	0.00325245	0.0199751
ω	3.94569e-05	0.000144535	0.000248972	0.00118702	8.9659e-05	0.00776147	0.00641233	0.141831	0.0460933	0.723038	0.0321451	0.0133399	0.00265336	0.00704252	0.00117134	0.00502361	0.0117777
n	1.03676e-05	4.10242e-05	0.00078688	0.00254853	9.78369e-05	0.00991617	0.00393233	0.0978591	0.0521617	0.721788	0.0397368	0.0196836	0.0057308	0.0093051	0.00404751	0.00627815	0.0260756
