 	prenez	ce	raccourci-là	</S>
l	0.927197	0.0631502	0.00820246	0.00145089
é	0.202129	0.377099	0.0441599	0.376612
d	0.229131	0.17834	0.215939	0.37659
z	0.0572926	0.0926592	0.0879096	0.762139
w	0.107161	0.076806	0.123382	0.692651
a	0.0482167	0.380086	0.0604172	0.511281
á	0.228555	0.599728	0.0528802	0.118837
m	0.125299	0.74836	0.0916324	0.034709
ó	0.00519548	0.255709	0.0370054	0.70209
k	0.163109	0.210986	0.469782	0.156123
ó	0.724321	0.0430724	0.190019	0.0425883
o	0.440597	0.0612655	0.448015	0.0501221
y	0.0235924	0.232661	0.150976	0.59277
e	0.0189316	0.639578	0.215713	0.125778
k	0.0056872	0.455541	0.333882	0.20489
y	0.266698	0.151092	0.501964	0.0802454
é	0.0814486	0.0602867	0.829826	0.0284382
n	0.0940366	0.184623	0.295427	0.425913
í	0.062685	0.0879304	0.431198	0.418186
w	0.0192386	0.151431	0.0670528	0.762278
ú	0.0258235	0.234088	0.48718	0.252909
u	0.00537572	0.104282	0.111455	0.778887
</S>	0.00948149	0.299947	0.0680221	0.62255
