 	il	est	venu	l'	an	passé	</S>
w	0.794704	0.180543	0.00666386	0.00750819	0.00846835	0.00115959	0.000953901
a	0.52664	0.367731	0.0298097	0.0611075	0.0103548	0.00202699	0.00233017
á	0.107476	0.467213	0.284978	0.0824579	0.0157835	0.012086	0.0300056
y	0.0207027	0.218691	0.608499	0.0529002	0.0197325	0.0214998	0.0579745
a	0.00490995	0.0615729	0.655874	0.0821841	0.00273076	0.0293159	0.163413
á	0.0358172	0.0734309	0.520563	0.154535	0.00943181	0.0243858	0.181836
ε	0.127802	0.122528	0.259137	0.368404	0.0354883	0.0369495	0.0496915
b	0.00656277	0.0175082	0.0725406	0.251455	0.547669	0.052133	0.0521313
h	0.0125919	0.0188139	0.0120371	0.0565054	0.864933	0.0217249	0.0133941
a	0.000485079	0.00200428	0.00279757	0.035902	0.937915	0.00862164	0.0122741
n	0.0119168	0.00855173	0.00294075	0.123864	0.792967	0.00589328	0.0538666
á	0.0626775	0.0375951	0.0312236	0.282824	0.411467	0.031132	0.143081
a	0.200943	0.0884706	0.0934072	0.275696	0.164484	0.0907193	0.0862797
y	0.00244806	0.0090902	0.0403158	0.109975	0.242516	0.52014	0.075515
é	0.00965007	0.0298628	0.127615	0.31673	0.0690315	0.273494	0.173616
é	0.00330791	0.00291274	0.0340011	0.0671663	0.0449126	0.356622	0.491077
l	0.000922695	0.0040968	0.0325082	0.0295904	0.0313948	0.568809	0.332678
e	0.00220729	0.00519639	0.0434704	0.0372778	0.0193169	0.470906	0.421625
í	0.00275418	0.00516665	0.0200644	0.0926053	0.0320513	0.422546	0.424812
</S>	0.00420069	0.0148244	0.0608043	0.0560158	0.0679448	0.571171	0.225039
