 	hier	j'	ai	acheté	un	balai	au	marché	</S>
l	0.932361	0.0458724	0.00987092	0.00146266	0.00726812	0.000384808	0.00183562	0.000819445	0.000125583
a	0.913048	0.0438645	0.0232743	0.0110216	0.00173133	0.00109207	0.000908578	0.00451434	0.000545432
p	0.868865	0.0370897	0.0117595	0.0295077	0.0173827	0.0175272	0.00467892	0.00767629	0.00551321
ó	0.937068	0.0025552	0.00110599	0.000577543	0.00684749	0.00942932	0.00166018	0.00700602	0.0337507
a	0.904333	0.0119526	0.00818886	0.00562169	0.00801414	0.00816417	0.00324374	0.00624121	0.0442406
n	0.0557917	0.648665	0.142547	0.0847912	0.0146981	0.00950455	0.011961	0.00153174	0.0305094
g	0.0111916	0.536548	0.172484	0.234513	0.00972981	0.0136513	0.00410796	0.00110483	0.016669
á	0.00204397	0.721774	0.0517276	0.217693	0.00154835	0.00426472	0.000388904	0.000262598	0.000297094
í	0.0550232	0.0359266	0.254023	0.0742977	0.273894	0.11911	0.0816202	0.00637097	0.0997338
s	0.0178468	0.0378162	0.164277	0.658453	0.0524859	0.038884	0.00881738	0.00645295	0.0149671
ó	0.000596806	0.00652644	0.040676	0.909613	0.0115267	0.0107411	0.00439977	0.00578661	0.0101336
m	0.012413	0.00235288	0.025949	0.758408	0.0980189	0.0390222	0.0118838	0.020717	0.0312348
b	0.00454425	0.00457531	0.0456883	0.380284	0.340351	0.143075	0.0514912	0.00786009	0.0221305
i	0.0638273	0.0138589	0.111163	0.0214155	0.367515	0.164887	0.0407751	0.0221405	0.194417
e	0.00234624	0.0845497	0.200706	0.0065752	0.423586	0.166766	0.100172	0.00474069	0.0105582
w	0.0128997	0.00287373	0.0124186	0.0318295	0.222773	0.569472	0.0569393	0.0797027	0.0110917
ώ	0.00608415	0.00281883	0.0180885	0.0151427	0.220616	0.435026	0.0982543	0.133644	0.0703248
m	0.00250086	0.00136154	0.0034963	0.00548061	0.303213	0.460755	0.145817	0.0291449	0.0482301
b	0.00039784	0.000423696	0.00292362	0.00101496	0.201864	0.395496	0.165684	0.0552829	0.176913
ω	0.000513583	0.0011263	0.0196244	0.00277718	0.20161	0.424021	0.125357	0.0569906	0.16798
ó	0.00179033	0.00143629	0.013784	0.00049861	0.223287	0.18718	0.460331	0.034769	0.076923
d	0.00247152	0.00225674	0.0149965	0.0143748	0.0235847	0.0317575	0.143118	0.71332	0.0541203
z	8.15184e-05	0.000465858	0.0024969	0.00166923	0.00193156	0.00551075	0.0316336	0.599508	0.356702
á	0.000220333	0.000500398	0.00890593	0.00400662	0.0147935	0.0372561	0.0856795	0.759135	0.0895028
n	7.02346e-05	0.000535118	0.0219628	0.000816155	0.0327895	0.0221034	0.14587	0.419354	0.356499
d	7.83102e-05	0.00165472	0.0129411	0.00414855	0.0060137	0.0136716	0.0550162	0.71726	0.189216
e	0.000124391	0.00263248	0.018639	0.0120718	0.00668494	0.0212899	0.07559	0.615841	0.247126
</S>	0.000373781	0.000152227	0.00284313	0.00175269	0.024153	0.0352609	0.121031	0.26042	0.554014
