 	il	tracasse	les	abeilles	</S>
w	0.984047	0.00906325	0.00414692	0.00269405	4.8379e-05
a	0.921922	0.037007	0.0394933	0.00145643	0.000120941
l	0.500979	0.344749	0.105292	0.0116578	0.0373226
á	0.11501	0.141115	0.25388	0.0158482	0.474147
a	0.448029	0.0709836	0.332722	0.0714836	0.0767824
n	0.0284369	0.837407	0.07286	0.0414971	0.0197987
y	0.00629864	0.952379	0.0140499	0.0249493	0.00232323
ω	0.00619917	0.945404	0.00889392	0.0373315	0.00217129
n	0.00500587	0.90606	0.0714286	0.00662989	0.0108756
g	0.0554183	0.806463	0.0949725	0.00752987	0.0356166
ώ	0.0584977	0.852959	0.0615077	0.0020106	0.0250244
s	0.0159855	0.0744884	0.851207	0.0394087	0.0189101
ώ	0.00790963	0.0514906	0.763237	0.08669	0.0906727
a	0.0105369	0.0136509	0.362566	0.534836	0.0784102
n	0.0104744	0.0333789	0.202914	0.680091	0.0731422
d	0.00401109	0.0553842	0.154785	0.704998	0.0808223
z	0.000203848	0.0130695	0.0358849	0.866853	0.0839892
ú	0.000107239	0.00582489	0.0128368	0.928608	0.0526236
e	0.0037175	0.0745124	0.0192542	0.553079	0.349437
</S>	0.00101748	0.00698615	0.0552959	0.00870687	0.927994
