 	son	verger	est	devenu	incontrôlé	</S>
n	0.619905	0.32319	0.0451524	0.00863142	0.00148513	0.00163664
g	0.161507	0.834515	0.00369799	0.000118495	3.94374e-05	0.000122044
o	0.0141745	0.984654	0.000964325	0.000110219	4.13906e-05	5.55453e-05
n	0.0240457	0.96881	0.00321834	0.00153846	0.00110156	0.00128618
d	0.0160518	0.085686	0.0794362	0.0086298	0.00161337	0.808583
a	0.0438813	0.679638	0.0832784	0.00182243	0.00860759	0.182772
y	0.358534	0.241611	0.277111	0.0319882	0.00500363	0.0857515
á	0.750284	0.0734619	0.150116	0.00506913	0.001004	0.0200648
w	0.817789	0.0680273	0.0760003	0.0167068	0.0052786	0.0161984
a	0.852038	0.011839	0.0819704	0.00897649	0.00512237	0.040054
y	0.190072	0.00922189	0.63391	0.102696	0.0136941	0.0504062
í	0.591078	0.014905	0.269705	0.0336294	0.0564477	0.0342346
t	0.587792	0.00811732	0.256969	0.0430107	0.0590943	0.0450161
o	0.0512621	0.00656544	0.226275	0.0450153	0.626346	0.0445363
ó	0.0277838	0.00102604	0.150489	0.0333685	0.708153	0.0791795
é	0.0217136	0.000229859	0.190215	0.412643	0.0887453	0.286453
b	0.0274825	0.000369615	0.198802	0.349109	0.127491	0.296746
h	0.00609526	1.80292e-05	0.101439	0.583827	0.182321	0.126299
í	0.00518138	2.67732e-05	0.106139	0.478877	0.202724	0.207052
o	0.0277948	7.68075e-05	0.0904134	0.196785	0.244297	0.440632
t	0.0211255	0.00118331	0.0545584	0.267273	0.278285	0.377575
s	0.000523048	0.000877807	0.0318747	0.106138	0.548615	0.311971
a	0.00404078	0.000537242	0.0162293	0.0732406	0.606764	0.299188
</S>	0.0154611	4.29914e-05	0.0129063	0.0560091	0.0967888	0.818792
