 	le	charpentier	est	en	train	de	couvrir	la	maison	</S>
o	0.937261	0.0528848	0.000245519	0.000334587	0.00810105	0.000551675	0.000292054	0.000286311	2.80351e-05	1.4686e-05
t	0.27356	0.667949	0.033711	0.00551916	0.00475016	0.000695226	0.00381128	0.00192484	0.00365248	0.00442772
ó	0.502249	0.315476	0.0280826	0.0380949	0.0530158	0.0010894	0.0375382	0.00820249	0.0136435	0.00260781
n	0.306559	0.594827	0.0156403	0.0116633	0.057853	0.00128963	0.00388865	0.000536718	0.00093039	0.00681269
g	0.683957	0.248366	0.0116073	0.0148368	0.0118028	0.00480536	0.00504657	0.00246507	0.00380383	0.0133095
i	0.536815	0.393094	0.0144697	0.010928	0.0235243	0.00579322	0.00408652	0.00176629	0.000401757	0.00912106
n	0.408154	0.459116	0.0951573	0.0147238	0.00302331	0.011127	0.00232376	0.00193767	0.00013606	0.00430081
d	0.133127	0.656192	0.0312133	0.0660612	0.0026674	0.0050412	0.00349946	0.00954231	0.0207491	0.0719072
é	0.0473936	0.837316	0.0315828	0.0116206	0.00103974	0.00105097	0.000623012	0.00113229	0.0604595	0.00778117
e	0.121083	0.318608	0.142764	0.175345	0.0475024	0.01414	0.00757464	0.0153044	0.0461446	0.111533
a	0.061357	0.0866999	0.600801	0.100372	0.0171999	0.0828974	0.0161521	0.0109646	0.000715088	0.0228412
b	0.0188112	0.0301863	0.371739	0.132058	0.00593047	0.189128	0.171874	0.0336394	0.0082898	0.0383445
h	0.00323879	0.0024964	0.220529	0.209672	0.00214465	0.0887087	0.409485	0.0432743	0.000913512	0.0195384
i	0.0139424	0.0024105	0.11398	0.291675	0.0133223	0.0907918	0.403543	0.0528916	0.000915984	0.0165268
l	0.0303035	0.0051178	0.0800309	0.189668	0.110756	0.162883	0.218269	0.132682	0.0140353	0.0562541
á	0.00631807	0.0017483	0.0838928	0.0714217	0.00165719	0.264945	0.222635	0.148344	0.026631	0.172407
a	0.0165757	0.00184981	0.0502189	0.0749436	0.0174816	0.477073	0.154019	0.105526	0.0785275	0.0237853
f	0.000951394	0.00262967	0.0673036	0.0146053	0.00149504	0.125042	0.734119	0.0277695	0.0165758	0.00950877
ú	0.000121161	0.000221454	0.0307766	0.0397633	0.00273254	0.0323849	0.852777	0.0234301	0.000840381	0.0169526
á	0.000406791	0.000124296	0.0175944	0.0710823	0.00628487	0.0231244	0.802147	0.0367703	0.00225637	0.0402089
n	0.00139562	0.000280337	0.00764506	0.0194458	0.00107519	0.13902	0.195282	0.434304	0.146055	0.055497
d	0.00238124	0.000336699	0.000830499	0.00831969	6.05559e-05	0.00425526	0.00662089	0.0536408	0.902789	0.0207657
é	0.000107253	5.26189e-05	0.000120903	0.000445165	6.36416e-06	0.000766008	0.00190644	0.0154378	0.975109	0.0060481
e	0.000177736	0.000198862	0.00559868	0.0319626	0.000341444	0.0154045	0.0210182	0.110229	0.653226	0.161843
</S>	0.00117943	0.000126076	0.00771911	0.00819871	0.000272992	0.110474	0.0613914	0.308656	0.131113	0.370869
