 	tu	ne	dois	pas	voler	autrui	</S>
k	0.168567	0.277064	0.230317	0.176319	0.0635634	0.0735933	0.0105762
á	0.231981	0.266196	0.137977	0.0975879	0.0275066	0.204035	0.034717
a	0.0166897	0.273403	0.324328	0.0954773	0.0557156	0.129543	0.104843
n	0.366707	0.235297	0.185154	0.0728587	0.0661714	0.0201401	0.0536718
ω	0.723399	0.100873	0.0430886	0.0174972	0.00872099	0.00656551	0.0998556
o	0.0518167	0.475639	0.171473	0.0850152	0.0403201	0.00309827	0.172638
d	0.00578466	0.203176	0.282845	0.150719	0.100055	0.0595068	0.197914
í	0.00407955	0.0512313	0.091456	0.0274118	0.0377102	0.00505521	0.783056
b	0.00803602	0.0598846	0.0858157	0.0840336	0.300532	0.057907	0.403791
e	0.017965	0.064415	0.0819573	0.14028	0.232276	0.391993	0.0711136
a	0.0664318	0.0786642	0.239772	0.125341	0.0867199	0.314828	0.0882426
b	0.0103089	0.0205824	0.0938634	0.163526	0.476166	0.115832	0.11972
á	0.0112073	0.0268623	0.0665375	0.101496	0.322534	0.335019	0.136343
b	0.0103562	0.0135383	0.152956	0.140717	0.189822	0.147945	0.344666
a	0.00710472	0.0096879	0.0637676	0.0419873	0.149112	0.703211	0.02513
r	0.00641712	0.0137085	0.0725916	0.126397	0.147564	0.484238	0.149084
e	0.0320013	0.0460317	0.163861	0.148367	0.0811261	0.165776	0.362837
o	0.00468576	0.0287407	0.106927	0.241412	0.224491	0.0531725	0.340571
y	0.000914477	0.0524408	0.0455065	0.0567602	0.63009	0.0445489	0.16974
í	0.00278718	0.0178165	0.0212217	0.029599	0.587915	0.00598533	0.334675
b	0.000751465	0.00274199	0.013753	0.0236845	0.187451	0.00404492	0.767573
h	0.00211744	0.00932537	0.0325892	0.100934	0.514928	0.0311487	0.308957
a	0.000418215	0.00220754	0.0128396	0.0321695	0.0723991	0.0840084	0.795958
έ	0.00574892	0.0364319	0.0626224	0.103873	0.228092	0.0822046	0.481027
</S>	0.00516646	0.0332695	0.0384117	0.0416897	0.135452	0.00703761	0.738973
