 	je	chasse	avec	le	fusil	de	mon	oncle	</S>
n	0.942987	0.0232973	0.00913371	0.0109338	0.0038185	0.00617227	0.00334117	0.000234702	8.11465e-05
g	0.976833	0.0011876	0.000484373	0.000532963	2.19694e-06	0.000202636	0.0117374	0.00900309	1.67355e-05
á	0.958554	0.0140424	0.0010874	0.000403048	1.88913e-05	0.000137551	0.00170629	0.0240134	3.723e-05
l	0.151015	0.213335	0.153074	0.0539075	0.00704444	0.028159	0.140441	0.0101655	0.242858
í	0.370014	0.137476	0.0705332	0.0256292	0.00458121	0.0204394	0.0112994	0.0431479	0.31688
i	0.0335014	0.142499	0.323085	0.161296	0.0260531	0.0460111	0.039948	0.0107863	0.21682
b	0.00208224	0.338915	0.556697	0.0331481	0.0346686	0.00312939	0.000224483	0.000693607	0.0304419
e	0.00039756	0.902638	0.084594	0.00557295	0.003909	0.000819607	0.000265244	0.000328867	0.00147474
n	0.000837597	0.667213	0.270505	0.0205373	0.0104527	0.00306237	2.81795e-05	1.83296e-05	0.027346
g	0.0053072	0.221621	0.490114	0.163327	0.0447087	0.0304025	0.000996176	9.778e-05	0.0434265
á	0.0113382	0.052979	0.362401	0.299497	0.0337104	0.0754449	0.0341355	0.00417497	0.126319
m	0.0014772	0.00461619	0.0846736	0.504564	0.273176	0.0655905	0.0562243	0.00706504	0.00261288
ó	3.38072e-05	0.000308615	0.0221277	0.0668208	0.0589322	0.0396548	0.0305357	0.135211	0.646375
l	0.00337553	0.00569486	0.0453396	0.151679	0.269841	0.0638575	0.047092	0.378283	0.0348371
e	0.00311629	0.00747842	0.0288046	0.159586	0.508875	0.213066	0.00496063	0.0258457	0.0482678
m	0.000132869	0.00221531	0.0278855	0.122328	0.742209	0.0645711	0.00130069	0.0266092	0.0127488
i	3.58019e-05	0.000725421	0.0331561	0.113228	0.392724	0.291233	0.00792952	0.00367305	0.157294
a	0.000162984	0.0015876	0.0155862	0.0667146	0.099276	0.57964	0.0775472	0.0307149	0.12877
l	0.00107038	0.00730649	0.018057	0.0398166	0.0764097	0.60123	0.0602741	0.0332495	0.162586
á	0.00282245	0.0232318	0.027415	0.0359862	0.0909563	0.298674	0.130864	0.0319863	0.358065
n	0.000254152	0.000598463	0.00181977	0.006229	0.00476865	0.0992714	0.749118	0.0784957	0.0594452
g	0.00208078	0.000415846	0.00131347	0.00346944	0.00201279	0.0354852	0.229151	0.688184	0.0378881
ó	0.000695559	4.21294e-05	0.00018721	0.00068329	0.000489418	0.00409243	0.0209509	0.958937	0.0139225
l	6.70269e-05	0.000128828	0.000728532	0.00228428	0.0037608	0.0100256	0.0159144	0.898442	0.0686488
ó	0.000485993	0.00757871	0.029223	0.0305768	0.037358	0.145029	0.0975618	0.36643	0.285757
m	0.000694947	0.00102646	0.00496911	0.007692	0.0168103	0.0520028	0.0851926	0.460269	0.371342
i	1.18109e-05	0.00203491	0.00988701	0.0184981	0.0132509	0.115808	0.0581843	0.0302352	0.75209
</S>	0.000149771	0.00233711	0.00955645	0.0166495	0.0144101	0.0912783	0.126765	0.0407217	0.698132
