 	le	champignon	blanc	isyeeghe	pousse	aussi	bien	dans	la	forêt	que	dans	la	plaine	</S>
i	0.386022	0.219683	0.295221	0.00996373	0.0103607	0.00922119	0.0250346	0.00701609	0.0135539	0.0073527	0.00412063	0.00300132	0.00909394	0.000111403	0.000243258
s	0.171777	0.605792	0.162684	0.0315823	0.00438021	0.0049944	0.00193645	0.00419752	0.00234699	0.00131221	0.000386611	0.00149001	0.00352011	0.00326416	0.000336051
y	0.0231101	0.906427	0.013274	0.0547063	0.000263716	0.00019501	5.2625e-05	0.000431441	0.000446203	0.000223134	9.54945e-05	0.000150916	9.41437e-05	0.000221313	0.000308075
έ	0.0160741	0.944503	0.00334315	0.0309737	0.0002966	0.000136293	4.75553e-05	0.000248863	0.000562857	0.000321641	0.000235808	0.000272695	9.49217e-05	0.00135138	0.00153703
έ	0.0695609	0.550648	0.067538	0.185924	0.00622005	0.00308153	0.00428484	0.0103211	0.0156231	0.0059667	0.00868492	0.0122775	0.00832507	0.0110235	0.0405205
g	0.0908703	0.137591	0.132477	0.184626	0.0676597	0.06009	0.0506565	0.0345387	0.036443	0.0296874	0.030476	0.021179	0.00998474	0.00313598	0.110585
h	0.0646043	0.243639	0.0378223	0.0951147	0.0223118	0.026706	0.0398784	0.0253094	0.0354533	0.0257079	0.0381744	0.028223	0.0071811	0.00226459	0.30761
έ	0.0925492	0.303938	0.0619923	0.0833614	0.0252844	0.02554	0.0441623	0.0184106	0.0442468	0.0261308	0.0405292	0.0221786	0.00546302	0.00279838	0.203415
l	0.0671744	0.0393799	0.390591	0.134565	0.140068	0.0451891	0.0726696	0.0342583	0.0189056	0.00751963	0.00955163	0.00816086	0.0135926	0.000862535	0.0175122
í	0.0650638	0.0118757	0.0503376	0.224008	0.128867	0.0318522	0.0327498	0.0483699	0.059225	0.0290959	0.0521771	0.0409439	0.0240948	0.00993615	0.191403
i	0.0745797	0.0164473	0.124883	0.139275	0.15925	0.0439501	0.0704715	0.0796395	0.0931157	0.0761343	0.0377641	0.0167763	0.0157515	0.00569245	0.0462686
t	0.00893351	0.00247424	0.0059868	0.0238261	0.0672852	0.467489	0.0761828	0.187247	0.0451386	0.0556289	0.0128538	0.0126321	0.00637946	0.0159822	0.0119598
ω	0.00160117	0.00394571	0.00725004	0.0380246	0.0732211	0.446555	0.0454874	0.183898	0.0459473	0.0803741	0.018178	0.0168601	0.00414465	0.0196	0.0149132
ώ	0.00477006	0.00862208	0.0344806	0.0186685	0.0312303	0.229682	0.180332	0.105032	0.134208	0.140369	0.0305629	0.0147727	0.0253303	0.0337583	0.00818041
s	0.00423475	0.00136787	0.00633342	0.00337997	0.0194439	0.0366112	0.292052	0.205027	0.185104	0.0849105	0.0956614	0.0345256	0.0267245	0.000798324	0.00382502
á	0.0248127	0.0283342	0.0097985	0.0150831	0.0097224	0.0239595	0.0212171	0.136059	0.185521	0.138829	0.148776	0.14602	0.0393321	0.0233418	0.0491933
k	0.0102155	0.027746	0.00980461	0.022357	0.0128647	0.0025779	0.0133594	0.0475244	0.228359	0.268488	0.196501	0.0745848	0.0367608	0.0344668	0.0143904
ώ	0.00133998	0.00201082	0.000997033	0.000315663	0.00225343	0.0133172	0.0154278	0.0331327	0.0974674	0.528583	0.0879025	0.0292543	0.00754691	0.174681	0.00577031
l	0.000210712	0.000720302	0.000551848	0.000101069	0.00225027	0.0252814	0.0313003	0.00953609	0.0697899	0.503006	0.17297	0.0330768	0.029727	0.109439	0.0120395
a	0.00147318	0.00761879	0.00144396	0.000843718	0.0047079	0.0466545	0.0559641	0.0268583	0.124813	0.253229	0.229044	0.0535193	0.0245247	0.0744503	0.094855
á	0.00283189	0.00206436	0.00311122	0.00134398	0.00231452	0.00747891	0.0458657	0.0502851	0.0621809	0.0781118	0.259075	0.285287	0.143068	0.0216218	0.0353595
s	0.00103943	0.00110464	0.00368529	0.0048965	0.00201288	0.00205407	0.00823831	0.0239478	0.0106643	0.00563913	0.07119	0.338903	0.374644	0.0685943	0.0833859
ó	0.00140822	0.000850668	0.000424275	0.00116056	0.000259426	0.000545634	0.00126316	0.0236184	0.0094442	0.002823	0.0253575	0.440549	0.222368	0.0706911	0.199236
l	0.00152885	0.00151392	0.00135772	0.00129505	0.000331051	0.00030785	0.00264153	0.00879911	0.0211418	0.0129755	0.0391017	0.12165	0.251719	0.501854	0.0337835
ω	0.000793446	0.000688188	0.000737501	0.000724597	0.000424	0.000701277	0.00211149	0.00718085	0.00865726	0.00704056	0.0419476	0.14278	0.152878	0.480643	0.152692
n	9.66576e-05	0.000119682	7.18197e-05	0.000135417	0.000118676	9.39523e-05	0.000431248	0.00102659	0.00173968	0.00271292	0.00419265	0.0106945	0.0185621	0.943328	0.0166759
g	0.000355463	0.00061244	0.000206876	8.42044e-05	0.000108167	0.000361658	0.000883009	0.00120036	0.00443685	0.00582974	0.0113333	0.0234902	0.029222	0.892258	0.0296181
ώ	0.000966261	0.00577958	0.00018351	0.000551654	0.000702786	0.000276418	0.00100309	0.00108454	0.015515	0.00903473	0.0301919	0.0400669	0.0332879	0.703661	0.157695
</S>	0.000497567	0.000992998	0.000352086	5.56683e-05	0.000329271	0.00156104	0.00608471	0.00256826	0.0130292	0.0209842	0.053053	0.0459759	0.0473433	0.250177	0.556996
