 	le	bateau	a	jeté	l'	ancre	hier	</S>
a	0.643127	0.282157	0.032311	0.0241439	0.0134106	0.0039667	0.000250935	0.000632935
s	0.226906	0.668027	0.0646612	0.0131414	0.0121277	0.00311284	0.00853985	0.00348353
ú	0.0250752	0.948879	0.0190967	0.000708063	0.00252673	0.000630095	9.09352e-05	0.00299295
a	0.237398	0.702533	0.0362452	0.00141644	0.00848817	0.00180827	0.00101477	0.0110962
á	0.107046	0.0328597	0.562429	0.0736756	0.0449773	0.0368186	0.00528728	0.136906
s	0.0138864	0.00561424	0.425726	0.259345	0.187422	0.0756603	0.00529959	0.0270461
ε	0.0165812	0.242455	0.306342	0.0635402	0.26752	0.0514309	0.000909292	0.0512212
m	0.0363363	0.0186692	0.110891	0.0505692	0.397774	0.177413	0.00211295	0.206234
i	0.0294506	0.014881	0.0712909	0.134466	0.501001	0.153847	0.0107688	0.0842937
m	0.00800848	0.00082932	0.0361674	0.213976	0.372424	0.309642	0.0210237	0.0379279
ó	0.00805834	0.00629898	0.0460807	0.170647	0.373428	0.266137	0.00362483	0.125725
t	0.0468681	0.00237604	0.0400145	0.0267632	0.144704	0.44182	0.239635	0.0578191
á	0.000742791	0.000152595	0.00896549	0.0185094	0.0562866	0.193007	0.679878	0.042458
n	0.00060281	0.000659671	0.037417	0.0361756	0.0679929	0.209047	0.446142	0.201963
d	0.00517844	0.000546312	0.0275922	0.152804	0.298588	0.309495	0.0456419	0.160155
a	0.00924043	0.00159435	0.0415323	0.026674	0.213644	0.375091	0.0377282	0.294496
p	0.00767713	0.000447996	0.0243724	0.023135	0.076269	0.262999	0.131708	0.473392
o	0.00849547	0.000851675	0.00944251	0.00698223	0.0270086	0.0853526	0.788314	0.0735525
o	0.00130635	0.000112682	0.000473963	0.00304609	0.0120946	0.0483056	0.808041	0.126619
</S>	0.0059781	0.000605574	0.0152782	0.0349762	0.0274455	0.0792843	0.379253	0.457179
