 	il	a	achevé	son	repas	</S>
w	0.918588	0.0651248	0.00063724	0.00604869	0.00896615	0.000635426
a	0.933266	0.0245187	0.00117817	0.0207613	0.0198285	0.000447787
á	0.419637	0.504174	0.03303	0.029691	0.0026422	0.010826
m	0.0569276	0.575169	0.289447	0.0308008	0.0063136	0.0413424
i	0.0243015	0.438694	0.333204	0.0320329	0.0189151	0.152852
s	0.0174856	0.209507	0.733293	0.0187472	0.00328548	0.0176813
í	0.00070385	0.080019	0.896257	0.014071	0.00082723	0.00812153
í	0.00469383	0.142375	0.459898	0.0861667	0.0116453	0.295221
s	0.122557	0.235823	0.0429713	0.394547	0.180781	0.0233192
a	0.0216091	0.0827751	0.179195	0.413616	0.136914	0.165891
b	0.0580076	0.0974411	0.0145231	0.244777	0.507796	0.0774545
e	0.0123754	0.0488226	0.298062	0.0553232	0.547172	0.0382448
a	0.00275348	0.0198111	0.0616192	0.123754	0.705901	0.0861611
</S>	0.00448477	0.0426686	0.0901521	0.374502	0.141862	0.34633
