 	la	mort	de	ton	père	m'	afflige	</S>
l	0.735442	0.176148	0.045443	0.0251505	0.0107294	0.00525222	0.00108225	0.00075242
e	0.420937	0.482589	0.0215125	0.0167983	0.027601	0.0231794	0.00514037	0.00224227
k	0.296103	0.437231	0.0993654	0.0273374	0.0746041	0.0116768	0.0254275	0.0282544
ú	0.0471142	0.702834	0.0394363	0.0128142	0.00272733	0.0130878	0.141665	0.0403218
l	0.0798002	0.723481	0.0807851	0.0154851	0.00393635	0.00578543	0.0555036	0.0352233
á	0.454288	0.265427	0.160655	0.0331743	0.00446068	0.00587535	0.0376149	0.0385053
t	0.150316	0.0670421	0.293048	0.350465	0.0976178	0.0302583	0.00461006	0.00664307
á	0.0450919	0.0708436	0.0627632	0.0374291	0.724485	0.00617937	0.0326868	0.0205205
á	0.00597078	0.00756896	0.019655	0.0743292	0.861277	0.0117669	0.00366658	0.0157659
y	0.0205256	0.00828348	0.279557	0.357639	0.205946	0.0942093	0.00698423	0.0268561
a	0.0354769	0.0202036	0.373396	0.302448	0.10658	0.0784169	0.00807607	0.0754028
n	0.00939355	0.00147028	0.106017	0.739039	0.0964355	0.0296874	0.00337109	0.0145861
ω	0.00477004	0.00317222	0.111048	0.624156	0.00589125	0.206561	0.00816354	0.036238
l	0.00622159	0.0106788	0.366698	0.0829749	0.130746	0.220421	0.0585624	0.123697
í	0.0205707	0.0134971	0.173195	0.0593256	0.0658494	0.0569662	0.151914	0.458682
i	0.034908	0.0132399	0.260302	0.198062	0.0526976	0.173853	0.152977	0.113962
k	0.00286788	0.00965212	0.0117629	0.00256953	0.00269567	0.125053	0.668967	0.176432
y	0.000620647	0.00245355	0.0114956	0.000709102	0.000154894	0.0110752	0.90327	0.0702208
ε	0.00369926	0.00825418	0.0205111	0.00729423	0.000584362	0.0252219	0.825484	0.108952
n	0.00324901	0.000825284	0.0381104	0.0562874	0.000699176	0.0501261	0.659617	0.191086
y	0.00671991	0.00218597	0.0195861	0.164506	0.00218378	0.175828	0.548329	0.080661
έ	0.00490966	0.00211573	0.0219349	0.382647	0.0022611	0.0557959	0.441775	0.0885608
έ	0.0023799	0.000521507	0.0332966	0.181191	0.00138127	0.170574	0.218238	0.392419
n	0.0113735	0.00275157	0.0401945	0.0237396	0.000519819	0.259784	0.313589	0.348048
g	0.0101372	0.00244434	0.016936	0.0800013	0.000204232	0.502077	0.0995321	0.288668
á	0.00299154	0.00308961	0.0136291	0.077768	0.00334354	0.456911	0.157438	0.284829
o	0.00256444	0.000753339	0.00944233	0.00452872	0.000616342	0.032436	0.348942	0.600717
t	0.00813961	0.00250716	0.018446	0.000999446	6.22965e-05	0.0139983	0.536022	0.419825
é	0.00286488	0.00902821	0.015182	0.000709629	0.000204836	0.00755976	0.774014	0.190437
m	0.000959101	0.000642342	0.00468617	0.00127029	0.00010739	0.00757459	0.467691	0.51707
a	0.00282943	0.00102304	0.00754181	0.00227422	9.3951e-05	0.00974683	0.457753	0.518737
</S>	0.0277704	0.0033751	0.0451096	0.0573762	0.000468563	0.10283	0.0655607	0.69751
