 	le	notable	a	porté	une	coif-	fure	traditionnelle	</S>
m	0.55509	0.439667	0.00227469	0.000540229	0.000544247	0.00115072	0.00066577	5.97626e-05	7.66236e-06
w	0.0972024	0.676417	0.114161	0.00587128	0.00667756	0.00944716	0.086578	0.000753534	0.00289158
ε	0.0216987	0.937879	0.00206953	0.000193866	0.00288536	0.00242532	0.00973842	0.0229303	0.00017924
n	0.216693	0.574668	0.0795989	0.00906846	0.0630784	0.0012622	0.00408203	0.0168697	0.0346794
έ	0.380254	0.553328	0.051187	0.0018057	0.00795141	0.00109985	0.000956248	0.000386785	0.00303121
á	0.0753674	0.0173745	0.85251	0.0151091	0.0116717	0.00100426	0.00240116	0.000206262	0.0243555
m	0.00887208	0.00250913	0.255849	0.645109	0.072235	0.0116831	0.000903499	0.00048865	0.0023508
i	0.0255848	0.0161939	0.310819	0.178407	0.344887	0.0593316	0.0213306	0.014352	0.0290939
l	0.0262785	0.0118262	0.0509636	0.480076	0.341033	0.0613634	0.00788102	0.00297676	0.0176009
á	0.00291648	0.00270292	0.00885941	0.504968	0.395772	0.0691589	0.00152506	0.00420879	0.00988829
r	0.00646901	0.00271629	0.0521388	0.255835	0.491641	0.143796	0.0209024	0.00468742	0.0218139
á	0.00999545	0.0112098	0.0149819	0.159131	0.373111	0.401728	0.0164897	0.00556128	0.0077919
i	0.0101992	0.00178676	0.0195228	0.0251114	0.14369	0.178993	0.585514	0.0252135	0.00996922
n	0.00362951	0.00315308	0.00280332	0.0234105	0.192477	0.209228	0.451108	0.0987424	0.0154478
g	0.00615198	0.00320664	0.00328088	0.00413762	0.0806221	0.516198	0.358719	0.0205667	0.00711646
á	0.00917225	0.0111051	0.019795	0.00817147	0.0342453	0.627869	0.279123	0.00823351	0.00228503
m	0.0065983	0.00129394	0.00187098	0.00123764	0.0786685	0.0527232	0.557987	0.216304	0.0833162
b	0.00784382	0.000404172	0.000221485	4.21235e-05	0.00366524	0.00188802	0.293157	0.537685	0.155094
a	0.00253424	0.0018319	0.000138343	0.000199954	0.011121	0.00507056	0.0473862	0.860963	0.0707545
</S>	0.00193168	0.00147094	0.000668348	0.00359502	0.0360547	0.00823488	0.0380548	0.433473	0.476516
