 	il	est	en	train	de	faire	l'	amour	avec	une	femme	dans	la	maison	</S>
w	0.885596	0.0538597	0.0196263	0.00190249	0.00196901	0.000703821	0.00439724	0.00812916	0.0129162	0.00747597	0.000239723	0.000578976	0.00252024	4.04693e-05	4.45685e-05
a	0.68275	0.0912396	0.150107	0.0420025	0.00589345	0.00118718	0.00569173	0.00189442	0.00570148	0.00584749	0.00067002	0.00171774	0.00514972	1.23362e-05	0.000135186
b	0.102853	0.414894	0.310909	0.116573	0.0234403	0.00674641	0.00643694	0.00237514	0.00137031	0.00273314	0.000981102	0.00575728	0.00228997	3.6981e-05	0.0026035
ó	0.0192457	0.0563728	0.209683	0.709344	0.00274185	0.000649412	0.000307206	6.42337e-05	0.000532832	0.000444973	0.000155278	6.69583e-05	2.78379e-05	7.12286e-06	0.000357438
l	0.0769477	0.110849	0.34744	0.311298	0.0562556	0.0210474	0.0112479	0.00643908	0.0144802	0.0101757	0.00149764	0.00453903	0.00270815	0.000149815	0.024925
á	0.054524	0.134883	0.109195	0.0484216	0.207325	0.0571131	0.025348	0.0113981	0.036321	0.0242879	0.00709049	0.047941	0.0277901	0.0075209	0.200841
a	0.196898	0.214803	0.140042	0.0264795	0.162333	0.0951178	0.049614	0.0273639	0.0141282	0.0102274	0.0077577	0.0152378	0.0118245	0.00559746	0.0225755
k	0.0137316	0.0926717	0.0152852	0.021707	0.216966	0.418839	0.072904	0.0517005	0.00712512	0.0116577	0.0285454	0.0175695	0.00598203	0.00319279	0.022123
w	0.00558828	0.0231384	0.0103055	0.00322039	0.054071	0.535644	0.226221	0.074514	0.014811	0.0100302	0.00330332	0.0179423	0.00463192	9.62528e-05	0.0164817
á	0.00136924	0.0279845	0.0161505	0.00216473	0.0442894	0.46608	0.157613	0.0881711	0.0294766	0.0293727	0.00656787	0.0813407	0.0188216	0.00140292	0.0291954
o	0.00146144	0.00424647	0.00453383	0.000148347	0.0154007	0.115161	0.165697	0.174699	0.113947	0.233371	0.0918359	0.0285755	0.0226933	0.00530354	0.0229256
y	0.000323403	0.00238115	0.00109839	0.00196918	0.00641941	0.0305042	0.0789146	0.187006	0.197629	0.23155	0.160413	0.0666169	0.0154809	0.0137266	0.00596689
ú	6.84425e-05	0.000917505	0.000356652	7.6786e-05	0.00142957	0.010844	0.0519894	0.605244	0.0555384	0.0781321	0.13557	0.0316873	0.017927	0.00242844	0.00779048
r	0.000155379	0.000220449	0.000211675	2.63276e-05	0.00154236	0.00513679	0.0392016	0.666284	0.0755675	0.0884068	0.0586288	0.0220404	0.0253285	0.00435853	0.0128906
u	0.000733832	0.000702429	0.0020325	4.23275e-05	0.00256677	0.00686811	0.04827	0.275498	0.194723	0.299073	0.0516667	0.0398702	0.0472327	0.0113091	0.0194119
s	0.000902211	0.00175106	0.00258654	4.68501e-05	0.0174987	0.0257943	0.0387384	0.0514301	0.212033	0.243682	0.0271407	0.231843	0.107389	0.00783014	0.031335
á	0.000788479	0.00121064	0.00106707	3.85851e-05	0.00216831	0.0126045	0.0574544	0.177565	0.187046	0.167014	0.0272462	0.0971082	0.185743	0.0273981	0.0555483
n	0.0044411	0.00184606	0.00385195	0.00087591	0.000905977	0.000862341	0.0112713	0.0755185	0.0924869	0.159419	0.0682232	0.109381	0.177343	0.279593	0.0139814
d	1.63687e-05	2.7102e-05	7.23731e-05	1.18712e-05	4.30438e-05	3.08716e-05	0.000152521	0.00168964	0.00232572	0.00647719	0.00395591	0.0123097	0.0291646	0.940695	0.00302842
é	8.49599e-05	3.03948e-05	3.46604e-05	1.70776e-05	0.000100359	0.000116355	0.000735704	0.00451131	0.0020138	0.00694121	0.00663099	0.0104583	0.0385828	0.92092	0.00882212
e	0.000156595	0.000675965	0.00279338	0.00230632	0.00249399	0.00216286	0.0141536	0.0389967	0.0414154	0.0327397	0.00866928	0.15847	0.238852	0.260115	0.196
</S>	0.000840427	0.00171019	0.00181592	7.16905e-05	0.00688066	0.0050154	0.00980819	0.00743655	0.0535452	0.056391	0.0174635	0.24825	0.234234	0.0401537	0.316384
