 	nous	avons	mis	le	feu	dans	le	champ	</S>
b	0.77568	0.103186	0.0143799	0.0117336	0.000947214	0.0115294	0.0240897	0.057203	0.00125147
í	0.970881	0.00864085	0.00878152	0.00462789	0.000817982	0.00120019	0.00457045	0.000317232	0.000162815
s	0.996898	0.00183282	0.00102091	0.000104101	6.28585e-05	2.72138e-05	2.45796e-05	4.37938e-06	2.55898e-05
í	0.83261	0.10117	0.00744745	0.00915608	0.0091972	0.010279	0.00902912	0.00518503	0.0159255
l	0.0471347	0.30489	0.243343	0.0353083	0.0217269	0.0102849	0.0148488	0.00125829	0.321205
é	0.00798814	0.179797	0.155255	0.041783	0.0379955	0.0428845	0.0241264	0.00834964	0.501821
b	0.00237588	0.573065	0.313645	0.0403493	0.0286834	0.0143419	0.00861121	0.000721338	0.0182071
v	0.00379632	0.0995522	0.832015	0.0414779	0.00655802	0.00710664	0.00681816	2.49337e-05	0.00265035
u	0.024937	0.232428	0.528503	0.084132	0.0157058	0.0815967	0.0307069	9.16107e-05	0.00189882
m	0.171789	0.0770965	0.294051	0.272532	0.0607285	0.0777266	0.0314742	0.00387737	0.010725
b	0.0437868	0.0419686	0.0490299	0.524403	0.187267	0.0808301	0.0518403	0.00853062	0.0123433
u	0.0277368	0.0137799	0.0236674	0.369711	0.225641	0.151514	0.104549	0.0138695	0.0695312
m	0.000273147	0.0102434	0.0185121	0.414675	0.331446	0.184623	0.0261743	0.00116009	0.0128932
í	0.000186921	0.00209021	0.00251384	0.145	0.676583	0.101942	0.0456622	0.000224623	0.025797
á	0.000640364	0.0076728	0.0109589	0.105818	0.496742	0.284701	0.061227	0.0101369	0.0221033
s	0.000280549	0.0127883	0.0197937	0.0355907	0.129495	0.515931	0.204104	0.00992576	0.0720909
á	0.000278264	0.00635926	0.00210257	0.0125583	0.0995003	0.46557	0.26257	0.0061986	0.144863
n	0.00252705	0.00219594	0.000625395	0.00877906	0.0166558	0.124978	0.392911	0.232056	0.219271
g	0.000927635	0.000357646	0.000137803	0.000997705	0.00613209	0.029085	0.0781001	0.861566	0.0226962
o	0.000114618	8.35572e-05	5.34036e-05	0.00133403	0.00301962	0.00254287	0.00892473	0.979034	0.00489313
n	5.13285e-05	7.89229e-05	9.43047e-05	0.00468451	0.012043	0.0157581	0.0534158	0.78375	0.130124
d	0.000169634	0.000497102	0.000476566	0.00461945	0.0172761	0.0174366	0.0531688	0.0303759	0.87598
a	0.000120369	0.000348097	0.000438299	0.00492556	0.0239329	0.0120834	0.041122	0.25144	0.665589
</S>	0.000457998	0.000777619	0.00118936	0.00545085	0.0083	0.0369226	0.140126	0.117259	0.689517
