 	son	père	a	besoin	de	lui	pour	aller	à	la	chasse	</S>
t	0.190558	0.803266	0.00223398	0.00061672	0.00150483	0.000443432	0.000916152	0.000145284	0.000167196	6.75148e-05	7.55432e-05	5.44016e-06
á	0.0226267	0.973991	0.00170124	0.000344359	0.000404842	0.00020512	0.000321285	0.000118846	0.000135393	9.9773e-05	4.56041e-05	5.72567e-06
á	0.0135722	0.957765	0.00948844	0.00704385	0.00185709	0.00261899	0.00175201	0.00270632	0.000897974	0.000731363	0.000302284	0.00126439
a	0.186337	0.220515	0.331025	0.0212788	0.0216232	0.0321588	0.0316626	0.0136292	0.0269403	0.023739	0.00268752	0.0884045
d	0.0169148	0.0045826	0.788992	0.0968875	0.0237367	0.0137335	0.0165259	0.00668129	0.00943095	0.0115929	0.00372671	0.00719501
í	0.0274551	0.00261822	0.507326	0.186023	0.0356231	0.0224516	0.0126561	0.0412585	0.011977	0.00565179	0.00236419	0.144596
l	0.226027	0.00172622	0.163331	0.160443	0.0566956	0.0361296	0.0472959	0.0207227	0.0379048	0.0329214	0.0100008	0.206802
a	0.0649216	0.00530771	0.317184	0.191273	0.108097	0.0682348	0.0353988	0.0253447	0.0246364	0.0177077	0.00282361	0.139071
i	0.0949058	0.00204274	0.186111	0.44161	0.0946162	0.0440442	0.0195348	0.032525	0.0116664	0.00717246	0.0040144	0.0617572
k	0.0008343	0.000176654	0.0491586	0.870155	0.0357315	0.00660473	0.00471432	0.0136799	0.00247379	0.000787251	0.00541502	0.0102696
á	0.00029227	3.60539e-05	0.0183429	0.920738	0.0284972	0.00506456	0.00387877	0.00272458	0.00209041	0.000616575	0.00962292	0.00809592
m	0.00316637	0.00033101	0.0481236	0.809164	0.046797	0.0116723	0.0115484	0.0054528	0.00998771	0.002705	0.00842851	0.0426229
b	0.0174108	0.000364799	0.043137	0.322039	0.404788	0.0817754	0.0606908	0.0140948	0.0234717	0.00562724	0.00282058	0.02378
í	0.0255462	0.000773044	0.0279697	0.425368	0.202536	0.0548799	0.0282096	0.0355255	0.0193982	0.00357285	0.00257559	0.173645
m	0.0289117	0.000134932	0.0930653	0.103638	0.4155	0.171825	0.111281	0.0123152	0.0146807	0.00681114	0.00219719	0.0396404
ó	0.00699327	0.000182069	0.0172767	0.0190098	0.180439	0.2279	0.226071	0.203462	0.0492207	0.0107028	0.00173318	0.0570088
w	0.00739728	0.000154323	0.0300968	0.032082	0.185686	0.161849	0.278135	0.234485	0.0173831	0.00635374	0.0377875	0.00859125
a	0.00987169	0.00180757	0.00958833	0.0228711	0.152974	0.30165	0.244442	0.0904007	0.0757972	0.0355868	0.0213661	0.0336446
m	0.000491553	3.98976e-05	0.00707872	0.0292054	0.228958	0.259076	0.284592	0.0681086	0.0425377	0.0249176	0.0118031	0.0431913
ó	0.00214742	8.66813e-05	0.00235887	0.00325736	0.0799786	0.0690072	0.241651	0.336446	0.113992	0.0445384	0.00290845	0.103628
i	0.00858473	2.58353e-05	0.00506064	0.0091877	0.0578171	0.0718083	0.277218	0.380087	0.0805298	0.0448279	0.0447612	0.0200909
d	0.000243382	2.73312e-05	0.00490914	0.0515766	0.0262792	0.0308822	0.179359	0.481859	0.0717225	0.0210735	0.0737777	0.0582898
z	4.87318e-05	4.82604e-06	0.00184437	0.0131897	0.00946718	0.00691713	0.0912779	0.74512	0.0300223	0.018776	0.0384233	0.0449085
w	0.000254531	0.00144027	0.000890883	0.00313045	0.00505944	0.00711943	0.0333699	0.929647	0.00494884	0.00251516	0.000847506	0.0107766
a	0.0020416	1.15572e-05	0.00104455	0.00208732	0.027658	0.0370667	0.122927	0.655742	0.0700794	0.0341087	0.00690642	0.0403274
o	0.000446615	3.17563e-06	0.000805124	0.00287165	0.00880191	0.0163116	0.132791	0.213759	0.275018	0.126319	0.0202251	0.202648
b	0.000267762	2.32827e-06	0.00735687	0.0489045	0.0167381	0.0076288	0.0745315	0.110471	0.140698	0.146198	0.388455	0.0587479
e	0.000399424	8.04641e-05	0.0161819	0.0224609	0.0180599	0.0105646	0.0222787	0.0267797	0.0275851	0.0222905	0.760403	0.0729156
n	1.75165e-05	3.35918e-05	0.00130147	0.0121983	0.00698385	0.0048258	0.0309923	0.0849696	0.0585286	0.0464068	0.42742	0.326322
g	0.00440489	8.80098e-05	0.00203296	0.0239069	0.017928	0.0362645	0.085016	0.137945	0.173349	0.10729	0.202746	0.209028
á	0.0029036	0.000172835	0.00330156	0.0151201	0.0355099	0.077319	0.0867378	0.115519	0.164724	0.0624304	0.193625	0.242637
a	0.00245331	1.67548e-05	0.00190073	0.0054314	0.0195955	0.0202577	0.0449091	0.0353372	0.0931344	0.254168	0.170794	0.352003
n	0.00262028	5.60667e-06	0.00919315	0.0162815	0.0322	0.0192691	0.068804	0.0401718	0.0792845	0.281279	0.321732	0.129159
y	0.0275587	3.44281e-05	0.0069421	0.00663792	0.0393553	0.0268608	0.0430335	0.0636972	0.115243	0.323513	0.113311	0.233814
a	0.0160924	0.000359473	0.00544791	0.00281769	0.0155704	0.0215477	0.0178409	0.0393383	0.106923	0.294017	0.35736	0.122686
m	0.000162838	3.40172e-05	0.000178803	0.000427644	0.00388114	0.00597814	0.0157982	0.0559404	0.103222	0.178205	0.213427	0.422744
a	0.00425534	6.9711e-05	0.00409148	0.00286309	0.0104879	0.0132324	0.0496009	0.13842	0.136694	0.150121	0.218917	0.271249
</S>	0.00262999	1.00959e-06	0.00500649	0.00296978	0.00888853	0.00970866	0.0356356	0.0146025	0.0945638	0.228724	0.085034	0.512236
