 	pourquoi	boudes-tu	</S>
n	0.767221	0.221298	0.0114803
ω	0.912515	0.0843547	0.00313056
l	0.309976	0.641645	0.0483794
ó	0.1021	0.109125	0.788775
o	0.331346	0.29334	0.375314
b	0.294271	0.419565	0.286164
í	0.1243	0.719098	0.156602
í	0.0944226	0.307844	0.597733
m	0.380316	0.240999	0.378686
á	0.118601	0.477659	0.40374
t	0.228348	0.246757	0.524895
s	0.289433	0.351942	0.358625
i	0.122124	0.563796	0.31408
n	0.042358	0.188015	0.769627
a	0.0598987	0.0762034	0.863898
n	0.102017	0.0398783	0.858104
d	0.108055	0.0576393	0.834306
e	0.0222536	0.0221661	0.95558
</S>	0.0146643	0.0133824	0.971953
