 	sa	mère	en	a	marre	de	son	habitude	de	voler	</S>
n	0.880725	0.0657175	0.0321559	0.00547473	0.00185074	0.00883867	0.00168768	0.00177619	0.00165683	6.75365e-05	4.90324e-05
g	0.230967	0.766408	0.00211984	0.000345685	1.26734e-05	5.33241e-05	1.88912e-05	2.57203e-05	3.89938e-05	1.22517e-06	7.98409e-06
o	0.0475615	0.946886	0.0032632	0.00128255	0.000253359	0.000147275	0.000288408	0.000139839	0.000106176	2.07024e-05	5.14267e-05
o	0.0502162	0.944789	0.00227248	0.00103438	0.00127547	0.000105582	0.000118445	6.53554e-05	6.60223e-05	1.91215e-05	3.85194e-05
á	0.0959174	0.0392252	0.543723	0.264017	0.0147153	0.00819292	0.00724581	0.00827045	0.00914442	0.000619454	0.00892879
m	0.0171299	0.133286	0.165931	0.428755	0.193193	0.00480128	0.00333028	0.0035158	0.00266758	0.0276951	0.0196946
i	0.0114085	0.00357086	0.29723	0.546888	0.0926468	0.0172064	0.0087778	0.00554073	0.00381281	0.00125797	0.0116604
s	0.0185113	0.00925356	0.0787791	0.245864	0.600729	0.00978202	0.00361319	0.00151815	0.0010753	0.0103269	0.0205474
á	0.0411833	0.0466705	0.041657	0.262666	0.523137	0.0125529	0.0110583	0.00159421	0.00134149	0.0107982	0.0473411
á	0.0213195	0.000115668	0.115787	0.233654	0.178417	0.0329607	0.0197607	0.00868132	0.00895261	0.0222028	0.358147
o	0.00968256	0.00213577	0.169243	0.303498	0.179883	0.224637	0.0416108	0.025256	0.026364	0.00801845	0.00967095
k	0.00289525	0.000964037	0.0231713	0.046442	0.775189	0.0818432	0.0270172	0.00165933	0.000909527	0.0331122	0.00679715
ώ	8.52599e-05	4.76656e-05	0.00464048	0.00915904	0.91595	0.0310653	0.00993209	0.00726609	0.00378001	0.00718537	0.0108885
b	0.000171299	0.000165352	0.0209934	0.0171131	0.841574	0.0531806	0.00882327	0.0183153	0.00545923	0.00362864	0.0305753
h	0.153972	0.000754187	0.0120116	0.0478928	0.414756	0.122838	0.0812653	0.0848652	0.024138	0.00523633	0.0522705
ώ	0.0080521	0.000241416	0.0155998	0.0471481	0.374318	0.189204	0.100076	0.133183	0.061888	0.0118389	0.0584507
w	0.0217296	4.52986e-05	0.00942033	0.0105845	0.00645236	0.410751	0.297136	0.146762	0.0700435	0.00478407	0.0222914
a	0.111445	0.000620498	0.00833368	0.0120714	0.0201357	0.167384	0.385618	0.157898	0.0977452	0.00555101	0.0331969
m	0.00547656	0.000224657	0.00504354	0.00590769	0.00354902	0.137837	0.304919	0.16956	0.262907	0.0527889	0.0517858
ó	0.0021597	0.000158206	0.0127249	0.00744456	0.00128553	0.245281	0.240275	0.0500619	0.265394	0.00288186	0.172334
y	0.00107534	0.00110565	0.0176494	0.00967439	0.00319489	0.0561924	0.0784753	0.0606587	0.217582	0.499384	0.0550078
í	0.0010266	0.000121105	0.000460708	0.00126641	0.00141701	0.00247778	0.0178846	0.00572774	0.0175585	0.914802	0.0372577
b	0.00838564	0.000281562	0.000990895	0.00210834	0.00125627	0.00846132	0.0552324	0.0242137	0.0836846	0.437159	0.378227
h	0.00209913	0.000153108	0.00073452	0.00125814	0.00778558	0.0329842	0.104547	0.114276	0.154299	0.271595	0.310268
a	0.0150953	3.54221e-05	0.000842223	0.00123991	0.0245367	0.0506953	0.102585	0.0638399	0.0485094	0.194427	0.498194
</S>	0.00437435	8.54982e-05	0.00243914	0.00340461	0.00577884	0.0407878	0.0416781	0.0578654	0.222865	0.0463596	0.574362
