 	j'	allume	ma	pipe	</S>
n	0.86683	0.108895	0.0178223	0.00491378	0.00153943
g	0.941524	0.000704516	0.057495	0.000227946	4.89687e-05
á	0.826398	0.0215954	0.146982	0.00439962	0.000624238
l	0.184222	0.127996	0.311232	0.151649	0.2249
í	0.38186	0.0478161	0.147119	0.0230253	0.400179
i	0.179245	0.157966	0.300905	0.128502	0.233382
t	0.00484759	0.91265	0.0172845	0.0113375	0.0538803
u	0.000260399	0.987163	0.00125487	0.00192411	0.00939793
m	0.010493	0.894007	0.0173083	0.00756678	0.070625
b	0.0259971	0.430932	0.107896	0.0669462	0.368229
á	0.0649654	0.11487	0.125384	0.23898	0.4558
m	0.00605671	0.0275713	0.280893	0.630359	0.0551202
b	0.000225379	0.000252147	0.00293192	0.990209	0.00638146
έ	0.000225268	0.00092798	0.000979939	0.989218	0.00864855
ε	0.000389483	0.00115512	0.00109876	0.96971	0.0276465
y	0.000466286	0.00938621	0.0408209	0.231266	0.718061
á	0.0099571	0.0342398	0.353725	0.371312	0.230766
n	0.0392694	0.0105796	0.715236	0.143072	0.091843
g	0.0718142	0.00181941	0.713345	0.121105	0.0919164
á	0.0176248	0.000707813	0.808882	0.0478662	0.12492
m	0.00198775	0.00633949	0.0774175	0.451875	0.462381
í	0.000144652	0.0162088	0.0212967	0.483766	0.478584
á	0.00114222	0.00989754	0.0599563	0.303154	0.62585
</S>	0.00661444	0.0122265	0.0255974	0.0156956	0.939866
