 	les	mouches	rôdent	autour	des	poissons	pourris	</S>
a	0.901274	0.0676808	0.0197923	0.00239235	0.00530845	0.00307622	0.000395316	8.02355e-05
k	0.0635544	0.928734	0.00385061	0.00140338	0.000908378	0.000786724	0.000540448	0.000222602
i	0.00404493	0.988282	0.00116147	0.00286269	0.00106048	0.000256152	0.00175848	0.000573604
n	0.00576469	0.966412	0.00420519	0.0129129	0.00273529	0.00229124	0.00173557	0.00394364
y	0.0754694	0.898502	0.0103662	0.00647928	0.00166253	0.00032567	0.00054656	0.00664828
i	0.0689796	0.772435	0.0254844	0.0172668	0.0123891	0.00327647	0.00407212	0.0960969
m	0.203624	0.123551	0.539547	0.0644141	0.0238562	0.011017	0.00388569	0.0301052
á	0.448545	0.0165234	0.450594	0.0378669	0.0145382	0.0142157	0.000720492	0.0169958
a	0.51367	0.0206678	0.412021	0.0201413	0.0129835	0.00802604	0.000997465	0.0114923
d	0.0484017	0.0677497	0.176971	0.576921	0.0846387	0.013565	0.00634953	0.0254041
í	0.00588933	0.0208789	0.167629	0.547911	0.0965672	0.0205978	0.000769746	0.139758
n	0.0176303	0.00594834	0.131554	0.30323	0.187363	0.135825	0.0210303	0.19742
g	0.0557367	0.0170191	0.561164	0.11542	0.166419	0.0401014	0.00151759	0.0426216
á	0.0770277	0.0590217	0.382194	0.205736	0.220194	0.0223945	0.00443603	0.0289954
a	0.0102254	0.00878644	0.122562	0.226352	0.424267	0.128595	0.0445583	0.0346532
s	0.00858715	0.0262462	0.0218716	0.188191	0.37483	0.163808	0.190203	0.0262627
w	0.00476546	0.0090881	0.03072	0.107408	0.188944	0.532364	0.0075599	0.11915
é	0.00402156	0.00594502	0.0610579	0.152989	0.370795	0.244348	0.0136097	0.147233
b	0.00057505	0.00140639	0.0101258	0.119796	0.15895	0.407004	0.060209	0.241934
á	0.00510237	0.00151275	0.00895721	0.110198	0.267055	0.0955081	0.403998	0.107669
b	0.00782549	0.000646207	0.00987859	0.0398326	0.107062	0.112457	0.319454	0.402845
ω	0.00243837	0.000720213	0.00271488	0.031433	0.137622	0.112155	0.652252	0.0606648
ώ	0.000427548	0.00144434	0.00040561	0.0259391	0.0322459	0.00723819	0.894616	0.037683
b	0.0162645	0.00759235	0.015632	0.0458944	0.11494	0.243846	0.274783	0.281048
ω	0.00284202	0.00114163	0.0063138	0.0233551	0.124208	0.52424	0.292635	0.0252642
ω	0.000944737	0.00167111	0.00104247	0.0241946	0.0768433	0.0384625	0.687614	0.169227
</S>	0.0140642	0.0104551	0.0145453	0.0616089	0.0929964	0.270566	0.175771	0.359993
