 	le	petit	oiseau	nzunza	construit	son	nid	avec	de	l'	herbe	iwowongo	</S>
n	0.308255	0.259257	0.0664679	0.260156	0.0348346	0.0271322	0.0212505	0.0178813	0.00195029	0.00167016	0.000853406	8.46383e-05	0.000207393
z	0.151634	0.227172	0.324844	0.292494	0.00140262	0.00107454	0.000316188	0.00011263	7.95345e-05	0.000112903	7.44556e-05	0.000590717	9.25158e-05
u	0.0208902	0.118151	0.111097	0.732368	0.011504	0.00134374	0.00209267	0.000447626	0.000449565	0.000440864	5.06591e-05	0.00105894	0.000105129
n	0.0599442	0.442629	0.121101	0.327081	0.0167381	0.00471859	0.00454092	0.00382402	0.00125807	0.00193246	0.000731965	0.000647851	0.0148524
d	0.212193	0.489389	0.0234228	0.182635	0.0140432	0.0185468	0.011737	0.00539694	0.00399574	0.00617353	0.00418634	0.00180569	0.0264753
z	0.165642	0.533576	0.0138026	0.261699	0.00743616	0.00310632	0.00462876	0.000790244	0.0013227	0.00162121	0.00099536	0.00138871	0.00399204
a	0.327692	0.453806	0.0296414	0.103805	0.0137287	0.0122978	0.00469087	0.00600548	0.00698994	0.00615654	0.00757347	0.00357163	0.0240414
l	0.172998	0.147743	0.159028	0.167434	0.221379	0.0595711	0.00871152	0.0118945	0.00689476	0.00758835	0.0106554	0.000897464	0.0252037
á	0.108826	0.0732936	0.0829818	0.103177	0.143236	0.0831966	0.0224209	0.0313404	0.0323206	0.044357	0.0505352	0.00843295	0.215883
a	0.20598	0.223601	0.0869972	0.0900608	0.145967	0.1104	0.0632609	0.0189574	0.0114117	0.0108848	0.00976967	0.00423614	0.0184731
t	0.0236227	0.0292154	0.0355002	0.2982	0.504591	0.0226634	0.0668473	0.00138334	0.00150351	0.00352386	0.00151691	0.0051874	0.00624584
o	0.00716646	0.0127617	0.00775576	0.226701	0.61298	0.0258779	0.0672349	0.00381694	0.00359646	0.0119794	0.00201829	0.00391431	0.014196
n	0.00675922	0.0129877	0.0099415	0.168169	0.687202	0.0352766	0.0498467	0.00617449	0.00308355	0.00811075	0.00117067	0.00109488	0.0101825
g	0.0440615	0.064069	0.0109275	0.286802	0.362572	0.0794345	0.0944132	0.0169839	0.00574114	0.00826049	0.00137497	0.00160366	0.0237563
á	0.083893	0.115364	0.0347568	0.183191	0.407483	0.0618665	0.0509898	0.0297716	0.00556693	0.00528343	0.00191548	0.00248203	0.0174364
d	0.00767046	0.00619542	0.0181009	0.0100502	0.251478	0.37929	0.24744	0.0558138	0.01147	0.00516247	0.00412878	0.000726115	0.00247374
z	0.00184715	0.00472518	0.00270152	0.00298974	0.0942153	0.215894	0.584057	0.0532125	0.0117656	0.00801456	0.00272325	0.0028864	0.0149683
ú	0.000247039	0.00083902	9.30082e-05	0.00220661	0.0123158	0.0424777	0.918233	0.0133723	0.00296137	0.0021459	0.000812662	0.00343063	0.000864862
m	0.00280281	0.00289405	0.00132531	0.00433061	0.0194735	0.0558082	0.857007	0.0326404	0.00519626	0.00793382	0.00397532	0.00139839	0.00521436
b	0.00744312	0.00909251	0.0357432	0.00202274	0.156039	0.263427	0.154986	0.121861	0.0873252	0.0813871	0.0365723	0.00138153	0.0427187
u	0.0168568	0.0253318	0.0376952	0.00848761	0.120755	0.0942296	0.526203	0.0708685	0.0371809	0.036086	0.0110152	0.00560473	0.00968547
l	0.00205621	0.00266673	0.000695544	0.00114762	0.0501128	0.287432	0.0261194	0.187159	0.156265	0.189155	0.066731	0.00157472	0.0288852
á	0.00502581	0.00735097	0.00522307	0.0016817	0.0371385	0.150208	0.0272316	0.0812703	0.202206	0.230998	0.128312	0.0105497	0.112804
w	0.00294137	0.00317634	0.00897103	0.00207709	0.00790451	0.0735205	0.0195686	0.0961306	0.290097	0.222024	0.197096	0.0466853	0.0298085
a	0.00510214	0.00689823	0.00718768	0.00119526	0.0260628	0.0502135	0.0170775	0.0203872	0.162354	0.359872	0.226008	0.0667885	0.0508533
m	0.000327593	0.000271759	0.000344449	0.000139467	0.00611202	0.0365942	0.00957427	0.0783381	0.184491	0.3914	0.207424	0.0321007	0.0528826
a	0.00169651	0.00226843	0.000244123	9.7727e-05	0.00210891	0.0330578	0.0209166	0.0306063	0.163725	0.173996	0.262973	0.0777728	0.230537
w	0.000709559	0.000758002	0.00193113	0.000183323	0.00299648	0.0161978	0.00167633	0.0268719	0.174838	0.226307	0.270282	0.135519	0.141729
o	0.00218934	0.00206748	0.00585878	0.00049675	0.0129796	0.0195555	0.00343395	0.00966015	0.0970602	0.160974	0.375386	0.131994	0.178344
w	0.00134211	0.000783047	0.000575116	0.000134501	0.00222585	0.00769466	0.001415	0.0207874	0.0973672	0.225268	0.388341	0.162762	0.0913042
ó	0.00474216	0.00357034	0.00358097	0.000671346	0.00857745	0.0210696	0.0023807	0.0265293	0.136522	0.277464	0.336525	0.107099	0.0712686
n	0.00146734	0.000436955	0.00125085	0.000149512	0.00253718	0.00908281	0.000577428	0.0160761	0.0675756	0.0709315	0.481793	0.160164	0.187957
g	0.00607207	0.0108287	0.00533551	0.00292924	0.0146372	0.0183314	0.00747004	0.0190554	0.0730545	0.082373	0.143916	0.498457	0.11754
o	0.000492022	0.00180826	0.00322726	0.00380711	0.00300956	0.00380909	0.00131654	0.0110393	0.0576348	0.0905096	0.149742	0.583813	0.0897921
</S>	0.000353754	0.00124932	0.0010532	0.000876727	0.00477849	0.00788162	0.00507211	0.0183428	0.0752042	0.162728	0.190329	0.277259	0.254871
