 	la	manière	dont	souffre	notre	père	ne	nous	laisse	aucun	espoir	</S>
e	0.425457	0.415927	0.0781629	0.0389301	0.011689	0.00539821	0.00455002	0.00866686	0.00440706	0.00411299	0.00157331	0.00112606
k	0.0108911	0.0149421	0.0208172	0.0442423	0.0117643	0.330399	0.286257	0.10063	0.120695	0.0539157	0.00346259	0.00198429
ω	0.0153681	0.011977	0.0199531	0.133535	0.0511389	0.13221	0.313831	0.105434	0.15313	0.0344076	0.0146561	0.0143613
n	0.0612254	0.204957	0.0755762	0.18476	0.0269328	0.0499583	0.205295	0.0508117	0.0834884	0.0346731	0.0138121	0.00850955
í	0.164775	0.0907351	0.0563971	0.115024	0.162426	0.1191	0.141544	0.0503005	0.0362398	0.029663	0.01744	0.0163554
l	0.0429964	0.0326069	0.0858099	0.238861	0.142698	0.0939116	0.172898	0.0806213	0.0328548	0.0446827	0.00280013	0.0292592
í	0.0193511	0.015449	0.0901941	0.107943	0.153856	0.117338	0.0889307	0.0500678	0.0286695	0.0207467	0.0186032	0.288851
y	0.272817	0.196853	0.149536	0.147827	0.0477669	0.0430881	0.0843115	0.0272623	0.0107838	0.00575131	0.00120546	0.012797
é	0.305775	0.126965	0.338218	0.0479564	0.0443582	0.0332103	0.00828422	0.00411452	0.00851859	0.0032476	0.0046019	0.0747493
é	0.154943	0.152908	0.21044	0.153944	0.0453431	0.0889229	0.0387731	0.0175184	0.0392107	0.022047	0.0116913	0.0642592
k	0.0427653	0.0309254	0.0781695	0.107727	0.016421	0.211879	0.0907606	0.055365	0.103268	0.0174303	0.0218179	0.223471
ω	0.0137893	0.0134642	0.0220768	0.220962	0.0276184	0.11301	0.213873	0.110579	0.12218	0.0184441	0.0187307	0.105272
n	0.0240799	0.12327	0.162889	0.386966	0.0171455	0.0449629	0.0718468	0.0434692	0.0418731	0.0171518	0.0118985	0.0544481
ώ	0.065926	0.024861	0.102445	0.278141	0.182956	0.0609148	0.0717077	0.0847614	0.0482473	0.0357887	0.00668973	0.0375614
t	0.0119065	0.0140601	0.155808	0.189878	0.2539	0.128945	0.130206	0.0610388	0.032065	0.00870174	0.000988009	0.0125033
á	0.0303589	0.0263329	0.147595	0.241224	0.170078	0.224904	0.0365774	0.0479468	0.0426462	0.00847011	0.010719	0.013148
á	0.00271269	0.0029117	0.0248239	0.082599	0.199238	0.336038	0.0893931	0.133975	0.052539	0.0341976	0.00932376	0.0322488
y	0.0021347	0.00378835	0.017172	0.0392093	0.383181	0.19631	0.0977424	0.172727	0.0443528	0.0331001	0.00198266	0.00830065
a	0.0335397	0.0300639	0.186982	0.11703	0.322382	0.167304	0.0545075	0.0170428	0.0529388	0.0059124	0.00609382	0.0062033
b	0.0168191	0.00337447	0.0193645	0.0532846	0.588343	0.122905	0.0487529	0.0655955	0.0419028	0.0275716	0.00389475	0.00819145
í	0.000201805	0.000236126	0.000576842	0.0159372	0.795029	0.0331126	0.011194	0.137935	0.00302748	0.00209571	0.000483186	0.000171103
s	0.000288865	0.000539913	0.00123751	0.00963095	0.742151	0.0717411	0.0254259	0.113314	0.00765691	0.0221658	0.00220504	0.00364328
í	0.0106402	0.00720732	0.0233239	0.105153	0.437217	0.0366811	0.0448192	0.102945	0.0592995	0.116302	0.0382631	0.0181474
l	0.000545093	0.00146857	0.00305701	0.0301757	0.0225843	0.0686242	0.182807	0.169004	0.316584	0.12413	0.0120948	0.068924
e	0.00485685	0.0124601	0.0178152	0.0331266	0.0731479	0.0442536	0.0593741	0.11122	0.100811	0.120192	0.0149411	0.407802
d	0.0064962	0.00940508	0.015885	0.0519292	0.055589	0.0268869	0.127465	0.10353	0.264819	0.252307	0.0345534	0.0511336
i	0.00384321	0.0032157	0.00507883	0.00303539	0.163462	0.0280429	0.0591553	0.137906	0.247069	0.120063	0.0377808	0.191348
n	0.0121154	0.00974892	0.01525	0.0117677	0.0456994	0.00470812	0.128598	0.0461495	0.292269	0.315582	0.0460254	0.0720871
d	0.00405586	0.00560607	0.0212903	0.00981651	0.269466	0.00859644	0.00822155	0.024896	0.0389484	0.433443	0.148837	0.0268225
é	0.000338646	0.000971819	0.00460808	0.00266712	0.0380666	0.00292628	0.00258744	0.00774286	0.0315356	0.40073	0.456926	0.0508994
á	0.000482811	0.00132013	0.0068662	0.0178826	0.0217805	0.0142929	0.0210773	0.0123116	0.0842551	0.275009	0.446125	0.0985971
k	0.00141789	0.00391647	0.0110494	0.0099344	0.04172	0.00575333	0.0556827	0.0503788	0.0976593	0.228779	0.133633	0.360076
a	0.000399578	0.00479222	0.0014711	0.00722349	0.0185412	0.00223475	0.0612553	0.271372	0.162978	0.197292	0.130746	0.141695
á	0.000106416	0.00121226	0.00136428	0.00310716	0.190939	0.00699516	0.0616115	0.171429	0.0685369	0.106453	0.158877	0.229369
</S>	0.00101285	0.00174182	0.00503648	0.00626824	0.0469252	0.00848231	0.0229196	0.0354154	0.028432	0.11727	0.0928822	0.633614
