 	je	me	bats	à	construire	la	maison	</S>
n	0.906285	0.0705289	0.00725619	0.0104607	0.00032862	0.00497008	6.16111e-05	0.000108844
g	0.896672	0.0993504	0.00253096	0.000559519	1.15103e-05	0.000719691	0.000146934	8.58124e-06
á	0.74435	0.239029	0.0124871	0.00154106	2.71529e-05	0.000724303	0.00183392	7.63005e-06
l	0.125514	0.429636	0.211408	0.0683956	0.0018381	0.033363	0.00535855	0.124486
í	0.240484	0.197457	0.335409	0.0970111	0.0172293	0.0152858	0.00659624	0.0905276
i	0.0765276	0.188707	0.331263	0.273461	0.0295874	0.0277465	0.0125826	0.0601256
m	0.00447937	0.0704627	0.723446	0.14632	0.0407498	0.00238614	0.000539767	0.0116165
a	0.00054452	0.0449915	0.818776	0.128625	0.00588377	0.000292144	9.31518e-06	0.00087802
n	0.000365299	0.00984214	0.637007	0.282996	0.0431024	0.00152992	0.000399117	0.024758
á	0.00600825	0.0876487	0.592425	0.264634	0.0202586	0.00810363	0.0120072	0.00891525
l	0.00107564	0.0599527	0.213051	0.351548	0.286084	0.0564332	0.0145257	0.0173301
o	0.00457392	0.0252067	0.0677154	0.476641	0.291582	0.0684131	0.0210091	0.0448591
t	0.000217728	0.00386429	0.0174617	0.0370892	0.903387	0.015988	0.00692185	0.0150699
ó	1.98908e-05	0.000106708	0.00037485	0.00828399	0.985887	0.0018993	0.000280598	0.00314721
n	3.08675e-05	0.00114044	0.00454122	0.0324144	0.94289	0.00456896	0.000403294	0.0140108
g	4.19999e-05	0.000389216	0.00605378	0.0505749	0.886568	0.0095914	0.00386793	0.0429124
á	0.000725941	0.00194558	0.00969496	0.0196784	0.599606	0.067901	0.124887	0.175561
n	0.000526527	0.0040452	0.00703191	0.0588646	0.19635	0.574037	0.0822469	0.0768979
d	0.00651202	0.0212112	0.0280913	0.0234201	0.0357612	0.36313	0.378333	0.143541
é	0.00154354	0.00349403	0.000884902	0.000875508	0.0180568	0.0918717	0.869394	0.0138793
e	9.06654e-05	0.00129962	0.00385651	0.0176015	0.20234	0.335005	0.221674	0.218133
</S>	8.63973e-05	0.00164877	0.0040326	0.0142644	0.0179643	0.388999	0.132177	0.440828
