 	ce	village	est	agréable	</S>
p	0.842003	0.0947019	0.0458793	0.0132983	0.00411748
o	0.0147971	0.975075	0.00707795	0.00249309	0.00055695
o	0.00745803	0.95183	0.0214346	0.000880556	0.0183968
y	0.206606	0.0787712	0.578023	0.00681733	0.129782
é	0.523865	0.0298891	0.426492	0.00100452	0.0187488
é	0.796029	0.00579924	0.167129	0.00478787	0.0262549
d	0.331994	0.00308692	0.399402	0.0770707	0.188447
i	0.0158865	0.000122461	0.245503	0.00512148	0.733367
ε	0.0721279	0.000575371	0.310895	0.194878	0.421523
b	0.0161879	0.00174211	0.0849716	0.454102	0.442997
v	0.00323037	5.93482e-05	0.0142043	0.91996	0.0625458
έ	0.0034675	0.000144779	0.0194853	0.912179	0.0647234
</S>	0.0096649	0.000253973	0.0457298	0.0651549	0.879196
