 	cette	termitière	est	couverte	de	nappes	de	feuilles	</S>
o	0.899678	0.0750031	0.00948893	0.00131108	0.00515309	0.00393959	0.0051558	0.000237214	3.31949e-05
s	0.0238056	0.970965	0.00143078	0.00246319	0.00033368	0.00060621	0.00015013	0.000140779	0.000104315
é	0.0113493	0.985394	0.000765308	0.00103866	0.00026457	0.000376956	3.2555e-05	0.000453824	0.000324734
m	0.0799462	0.839203	0.00634469	0.0120507	0.00500283	0.00241434	0.00136558	0.00182513	0.0518472
b	0.261552	0.724854	0.00582507	0.00205128	0.00171692	0.00091971	0.000814309	0.000382079	0.00188416
á	0.33075	0.207169	0.123911	0.0754793	0.0775116	0.0599417	0.014224	0.0065272	0.104486
m	0.229577	0.0736799	0.549656	0.0818612	0.0196608	0.00158476	0.0225124	0.00175262	0.0197148
ú	0.706885	0.005972	0.132135	0.0175741	0.0435375	0.0170614	0.0568691	0.00150287	0.0184637
á	0.348372	0.0373524	0.389017	0.108181	0.0714544	0.0158159	0.0137515	0.00585907	0.0101973
f	0.00674446	0.00145371	0.177706	0.573185	0.136858	0.00990639	0.0368141	0.020477	0.0368553
ú	0.00300375	0.000482588	0.118592	0.595634	0.149054	0.0300176	0.0283729	0.0530001	0.0218433
u	0.00611316	0.000277431	0.0467097	0.428988	0.274871	0.140166	0.0185025	0.0522226	0.03215
m	0.00543373	0.000331431	0.0543399	0.12487	0.391499	0.151777	0.152999	0.0377298	0.0810207
í	0.00899798	0.00576391	0.0207458	0.00251726	0.173566	0.585637	0.0539751	0.0157566	0.13304
b	0.00129412	0.000181687	0.0184358	0.010609	0.0961758	0.565691	0.101262	0.136749	0.069601
a	0.000540184	0.000149733	0.0064541	0.00432762	0.0524273	0.471636	0.051514	0.387929	0.0250223
r	0.000177245	2.60649e-05	0.00211398	0.00200357	0.0310034	0.663804	0.029746	0.216604	0.0545225
i	0.000835994	0.000175053	0.00954907	0.0297569	0.162533	0.492453	0.061286	0.0850295	0.158381
i	0.00347139	0.000101969	0.0118289	0.0117914	0.0683237	0.0662815	0.401038	0.122272	0.314891
</S>	0.0149972	0.0020287	0.032348	0.0245367	0.031431	0.0162257	0.0415971	0.465248	0.371587
