 	cette	femme	a	une	otongá	en	fer	</S>
o	0.939755	0.0492445	0.00418415	0.00182379	0.000909847	0.0034994	6.76166e-05	0.00051514
y	0.260177	0.696369	0.0192615	0.00580764	0.0161179	0.00075396	0.000895487	0.000617445
ú	0.976363	0.0220266	0.000306358	0.000515626	0.000354477	5.53273e-05	0.000266276	0.000112244
r	0.977539	0.0151491	0.000409696	0.000882831	0.00139042	0.000808244	0.00224881	0.00157218
u	0.906251	0.0182291	0.0242315	0.0164069	0.00767927	0.00530274	0.00432135	0.0175781
w	0.366107	0.294471	0.240648	0.0346303	0.000965874	0.012065	0.00343986	0.0476723
ó	0.6372	0.00482101	0.17497	0.114202	0.00732253	0.0251531	0.00464668	0.0316843
a	0.0676888	0.00134329	0.766173	0.131054	0.00327241	0.00917486	0.000827854	0.0204663
d	0.00540039	0.000113725	0.213891	0.680005	0.0502995	0.0140417	0.00610276	0.0301459
í	0.0786059	0.00475609	0.411443	0.395775	0.0138719	0.00451647	0.00469677	0.086335
l	0.0702493	0.000972971	0.1411	0.631688	0.0641513	0.0287246	0.0121059	0.0510075
o	0.00402819	0.000317354	0.0463246	0.652307	0.14793	0.0401844	0.0124813	0.0964272
t	0.0207045	0.000393058	0.00522603	0.0323338	0.866409	0.0112633	0.0484166	0.0152537
o	0.00126158	1.5305e-05	0.00169521	0.0144947	0.96602	0.0024236	0.00962312	0.0044659
n	0.00196831	0.000253038	0.00423968	0.0193135	0.91127	0.00788281	0.0224238	0.0326486
g	0.00440469	0.000185572	0.00136716	0.00902488	0.936534	0.0102006	0.00372066	0.0345623
á	0.00563934	0.000248657	0.000640425	0.0029365	0.963838	0.00393892	0.00210056	0.0206579
m	0.0061103	0.000130929	0.0188347	0.105086	0.142232	0.576016	0.0703172	0.0812728
e	0.0215221	0.00237763	0.0052685	0.00594198	0.00719301	0.565205	0.0875223	0.304969
d	0.000430099	0.000189178	0.000826688	0.00297595	0.0406315	0.0661528	0.803274	0.0855198
ú	0.000424505	0.000107399	0.000200301	0.00114912	0.00918749	0.0179845	0.859448	0.111498
n	0.0101371	0.000201503	0.000353235	0.00418731	0.00961187	0.128519	0.638783	0.208208
g	0.00219336	0.000371988	0.000549251	0.00757804	0.00571957	0.12758	0.521258	0.334749
a	0.0044597	3.17589e-05	0.000876973	0.015486	0.086353	0.0979997	0.421086	0.373707
</S>	0.00350083	7.22303e-05	0.00352909	0.0148073	0.00647401	0.28032	0.164459	0.526838
