 	il	ne	parle	plus	qu'	en	français	</S>
w	0.924924	0.0591423	0.00456025	0.00289185	0.00232284	0.00322465	0.00284191	9.23133e-05
a	0.92202	0.0527277	0.00123161	0.00587908	0.00991198	0.00712623	0.00105172	5.16855e-05
á	0.330381	0.584994	0.0175629	0.0208145	0.0276982	0.0146253	0.00273542	0.00118843
b	0.101826	0.553186	0.184359	0.0446449	0.0366035	0.0290149	0.00447207	0.0458928
h	0.064739	0.200641	0.506533	0.130747	0.0391856	0.0197606	0.000508459	0.0378849
i	0.0455643	0.276894	0.547974	0.108844	0.0123029	0.00604109	0.000195519	0.00218444
á	0.031569	0.118975	0.429868	0.15633	0.0609381	0.0394568	0.0107315	0.152131
o	0.122283	0.138298	0.128527	0.414064	0.135494	0.045085	0.00644903	0.00979971
t	0.00514791	0.0992205	0.362066	0.283832	0.107129	0.0645424	0.0586228	0.0194386
i	0.00275369	0.100262	0.336146	0.256662	0.104328	0.0819294	0.068113	0.0498066
a	0.002034	0.0989375	0.273028	0.27603	0.12969	0.101553	0.0470633	0.0716656
l	0.0131831	0.0236448	0.01764	0.285292	0.398252	0.205065	0.0156551	0.0412686
a	0.0105531	0.00981938	0.0205297	0.229934	0.203833	0.135446	0.0262914	0.363594
b	0.0243505	0.0135871	0.00700488	0.203234	0.304666	0.170864	0.0789931	0.197301
a	0.0392799	0.0360532	0.0130862	0.24878	0.366359	0.210458	0.0658546	0.0201296
r	0.00587692	0.00412804	0.00802277	0.188636	0.379861	0.217435	0.0784077	0.117632
e	0.00368202	0.00688462	0.00363724	0.0870176	0.29418	0.144497	0.0198583	0.440243
k	0.00297609	0.0053605	0.00436418	0.0827666	0.343504	0.367714	0.0384389	0.154875
ω	0.00247819	0.00786438	0.00914576	0.116489	0.220225	0.316511	0.261839	0.0654464
m	0.000111481	0.000775049	0.00244049	0.0342225	0.0595487	0.184242	0.700148	0.0185121
i	0.00472498	0.00108715	0.0010597	0.00364109	0.0541913	0.160928	0.574622	0.199746
m	0.0020291	0.00460501	0.00147802	0.00970693	0.07775	0.174842	0.158879	0.570709
ó	0.0108732	0.0119431	0.00280732	0.00623113	0.117519	0.244538	0.304754	0.301334
l	0.0028603	0.00717011	0.0130927	0.0514947	0.136999	0.294628	0.384846	0.108908
e	0.0226896	0.0443017	0.0155062	0.0500632	0.083676	0.119277	0.202088	0.462399
p	0.000593254	0.00254348	0.000745602	0.00815828	0.0471454	0.10804	0.63113	0.201644
ó	0.00921498	0.0181154	0.0331797	0.0861546	0.10394	0.160182	0.467571	0.121642
r	0.000612459	0.00144258	0.00707109	0.0119752	0.0408009	0.082866	0.651247	0.203985
ó	0.0022311	0.00538839	0.00991537	0.022998	0.0627132	0.0933258	0.499278	0.30415
</S>	0.0070128	0.00580287	0.00320097	0.0222634	0.0631352	0.101836	0.230663	0.566086
