 	il	y	a	un	décès	à	obongi	</S>
a	0.17623	0.346808	0.2304	0.148318	0.063767	0.0288741	0.00344442	0.00215855
t	0.0318316	0.154363	0.191615	0.265514	0.14241	0.0176503	0.176803	0.0198139
á	0.011218	0.144441	0.0878405	0.559906	0.0928267	0.0149968	0.046159	0.0426115
n	0.00996657	0.135992	0.143759	0.321866	0.231406	0.0190753	0.0157864	0.122149
g	0.48552	0.134438	0.115078	0.170078	0.0289344	0.0137052	0.00676404	0.0454818
a	0.274739	0.275549	0.0881832	0.169975	0.00264027	0.00626257	0.0539346	0.128716
á	0.153758	0.138431	0.255782	0.120939	0.0770922	0.184374	0.00795068	0.0616733
d	0.0141915	0.0257014	0.128764	0.125578	0.169843	0.470068	0.0202455	0.0456081
i	0.00314791	0.00344415	0.0369582	0.0657123	0.0490966	0.160327	0.0210207	0.660293
i	0.00167673	0.0050369	0.0378646	0.0595384	0.0390424	0.651414	0.0807956	0.124631
m	0.00289074	0.00865325	0.0352802	0.0577279	0.0751014	0.26947	0.358242	0.192635
i	0.00369382	0.00456211	0.0276223	0.0483881	0.0110762	0.40815	0.22789	0.268618
ó	0.000429357	0.00208545	0.0140733	0.0340335	0.014801	0.344625	0.285824	0.304128
o	0.000228114	0.00196422	0.00653271	0.011282	0.00665773	0.179245	0.633553	0.160537
b	0.000277389	0.00372743	0.00792725	0.0117436	0.00384092	0.151225	0.729052	0.0922067
o	0.013078	0.0319987	0.042764	0.0677958	0.036786	0.197734	0.537829	0.0720141
n	0.000115679	0.000834357	0.00156491	0.00409309	0.00395248	0.0481008	0.81442	0.126918
g	0.000848134	0.00576246	0.0126672	0.0460449	0.0126356	0.0979511	0.566608	0.257482
í	0.00292727	0.00388969	0.00375734	0.0200278	0.000540566	0.00844451	0.491842	0.468571
</S>	0.00577214	0.0118307	0.0323615	0.0177604	0.0209734	0.188087	0.0425246	0.68069
