 	la	mère	lave	son	enfant	</S>
n	0.920579	0.0541928	0.00831044	0.0161121	0.000662195	0.000143931
g	0.0865675	0.912807	3.59265e-06	0.000604597	5.51497e-06	1.14328e-05
ó	0.0160127	0.983611	2.73587e-05	0.00018752	0.000148756	1.24898e-05
o	0.00202242	0.997115	0.000120848	0.000631096	0.000100427	1.02236e-05
l	0.37274	0.216887	0.0539027	0.275444	0.0477948	0.0332313
á	0.103394	0.128735	0.0520977	0.0666333	0.0222637	0.626877
a	0.416118	0.0118505	0.0454696	0.479121	0.043034	0.00440744
p	0.01628	0.0393432	0.849858	0.0236705	0.022501	0.0483476
f	0.00108317	0.000287786	0.990902	0.00131282	6.98619e-05	0.00634433
ú	0.0143982	0.000237326	0.960467	0.00236966	0.000669119	0.0218585
m	0.0109241	0.00163635	0.902529	0.0508703	0.00829408	0.0257464
b	0.0553989	0.00068848	0.12579	0.758885	0.0268861	0.0323515
ú	0.279946	0.00120136	0.19066	0.403562	0.0527044	0.0719263
s	0.00418073	0.000192716	0.190134	0.749616	0.0114254	0.0444516
á	0.0217054	5.43116e-05	0.332657	0.460028	0.0169358	0.16862
m	0.0127751	0.000477211	0.0405167	0.771735	0.157376	0.0171193
w	0.000488062	7.01877e-06	0.00146322	0.0178032	0.934257	0.0459818
á	0.000461372	2.4246e-06	0.00152132	0.00115359	0.996418	0.000443773
n	0.0116236	0.000168518	0.00198654	0.144141	0.833438	0.00864277
a	0.0114698	0.00504984	0.0141215	0.368061	0.515691	0.0856073
</S>	0.025689	0.0077234	0.245593	0.498042	0.00778811	0.215165
