 	les	gorilles	sont	en	train	de	lécher	le	miel	</S>
i	0.468297	0.424256	0.077881	0.0211187	0.00269993	0.00259583	0.000106263	0.00297415	5.14281e-05	1.98927e-05
b	0.077235	0.852797	0.036402	0.0115158	0.00420931	0.000799041	0.0126506	0.000936219	0.000513648	0.00294092
ó	0.00558609	0.963092	0.00461332	0.00971205	0.0147037	9.85561e-05	0.00108055	0.000227501	0.000375085	0.000511152
b	0.00314814	0.954755	0.00874825	0.0128933	0.0158265	0.000226381	0.00253143	0.000259593	0.000214774	0.0013967
h	0.0361963	0.931233	0.0120834	0.00688758	0.00190196	0.00125249	0.00357769	0.00152262	0.000194028	0.00515077
ó	0.147416	0.723813	0.0297623	0.0336839	0.00476797	0.00429311	0.00544608	0.00691237	0.0211359	0.0227694
b	0.127807	0.259699	0.300972	0.0998753	0.113345	0.0415126	0.021097	0.00616481	0.000515002	0.0290118
í	0.0483284	0.0316154	0.165513	0.247893	0.185318	0.0739465	0.0128989	0.0236911	0.00679027	0.204006
i	0.211268	0.0118391	0.223674	0.324251	0.10827	0.0433818	0.0175471	0.0168294	0.00258182	0.0403576
l	0.0118421	0.00777773	0.0652911	0.0921321	0.1979	0.0653984	0.493071	0.00522176	0.00607829	0.0552881
έ	0.00505975	0.00784429	0.00739951	0.0633535	0.258098	0.0349548	0.572005	0.00505826	0.00426839	0.0419585
r	0.00843491	0.00406212	0.0332586	0.0803356	0.130334	0.118924	0.536448	0.0119684	0.00386625	0.0723676
έ	0.0466422	0.00424449	0.071707	0.157043	0.0978454	0.241181	0.258154	0.0229912	0.0407552	0.059437
a	0.0130309	0.00116123	0.119504	0.142787	0.0410831	0.508395	0.0448982	0.0735368	0.0227861	0.0328183
w	0.021307	0.00190118	0.0576189	0.0722182	0.0131502	0.389812	0.212745	0.165037	0.0568749	0.0093362
ú	0.0169975	0.00695511	0.0587096	0.135612	0.0448095	0.188587	0.137439	0.158321	0.194261	0.0583088
r	0.00957046	0.000888568	0.021638	0.0706426	0.0149822	0.385547	0.306425	0.152771	0.0158769	0.0216572
a	0.119622	0.0021733	0.0276273	0.0835497	0.00703138	0.161375	0.338393	0.172122	0.0332981	0.0548087
m	0.00265217	0.000340564	0.0225636	0.0172765	0.00566903	0.271101	0.176667	0.434994	0.011118	0.0576181
á	0.00640175	0.000625398	0.0109643	0.00808801	0.000880401	0.0709046	0.0754594	0.298216	0.200425	0.328035
n	0.0107211	0.0025966	0.0173371	0.0179276	0.00392597	0.0327487	0.0966814	0.528273	0.239619	0.0501696
d	0.00403987	0.000430796	0.00757001	0.0132243	0.00195914	0.0291883	0.0265509	0.298463	0.496708	0.121866
z	0.00038708	3.91187e-05	0.000715687	0.0011732	0.00011023	0.00595484	0.0210225	0.108343	0.760537	0.101717
ú	4.89612e-05	0.000106252	0.000110097	0.000603245	7.54208e-05	0.00196082	0.0194602	0.0675568	0.842351	0.067727
e	0.00167824	0.00118927	0.00230755	0.0239149	0.00246198	0.00818222	0.104583	0.0460723	0.111849	0.697761
</S>	0.00143721	0.000489084	0.00469735	0.00531656	0.000547777	0.0253022	0.0207109	0.0976342	0.0125385	0.831326
