 	le	guérisseur	lui	a	donné	un	médicament	pour	le	faire	vomir	</S>
n	0.37562	0.519732	0.0768713	0.00204638	0.000547256	0.00151885	0.0141422	0.00403818	0.00346316	0.00187486	4.42537e-05	0.000101324
g	0.0335742	0.964184	0.00205681	3.29236e-05	7.17867e-06	1.30292e-05	3.65664e-05	3.1382e-05	3.50807e-05	2.09328e-05	6.01294e-06	2.35606e-06
a	0.00164681	0.997567	0.000619897	5.48592e-05	4.09771e-05	2.0936e-05	1.01853e-05	8.88757e-06	1.15495e-05	6.52779e-06	1.10608e-05	1.57677e-06
n	0.0632443	0.886241	0.0427463	0.00260301	0.00126093	0.000382114	9.72716e-05	0.00016827	0.000450233	0.000314387	0.00195682	0.000535519
g	0.0943035	0.682438	0.179834	0.0180946	0.003681	0.00208889	0.000297456	0.00246849	0.0020229	0.00167375	0.000598104	0.0124992
a	0.217852	0.359913	0.388652	0.0192243	0.00206503	0.00135437	0.000403676	0.00193593	0.00105354	0.000569711	0.000346145	0.00662931
á	0.0447795	0.0112057	0.405412	0.458593	0.0478513	0.00791003	0.00184908	0.00525115	0.00313159	0.00345334	0.00180181	0.00876138
p	0.00784084	0.00216376	0.0128319	0.246129	0.687819	0.0180795	0.00159653	0.00308807	0.00231036	0.00260128	0.00293992	0.0126002
έ	0.00120909	0.000106597	0.00377046	0.153021	0.746352	0.0700589	0.00148301	0.00274378	0.00500747	0.00376733	0.0029943	0.00948576
ε	0.0343347	0.00314745	0.0342675	0.107422	0.512472	0.195724	0.019799	0.0256794	0.0245957	0.0163966	0.00478947	0.0213725
w	0.0183046	0.00410229	0.151832	0.210935	0.0589879	0.126211	0.239614	0.116242	0.0264611	0.00872699	0.00308661	0.0354961
á	0.0220037	0.00626169	0.179833	0.122518	0.0617012	0.238758	0.0584759	0.119852	0.123792	0.045651	0.000939156	0.0202133
b	0.0122748	0.00325155	0.138057	0.0752545	0.0345897	0.171145	0.217926	0.203825	0.0827586	0.0197192	0.00172309	0.039476
v	0.086819	0.00144413	0.0184375	0.032941	0.0151991	0.0992166	0.62618	0.0762245	0.0367214	0.00398675	0.00228589	0.000543757
e	0.000450782	3.7507e-06	0.000231667	0.0017893	0.00389282	0.0319127	0.936767	0.0134935	0.00941168	0.00141875	0.000284015	0.000343908
r	0.000632194	1.07609e-05	0.00113303	0.00540536	0.00767423	0.200033	0.565461	0.14285	0.0613566	0.012798	0.000624854	0.00202097
é	0.0146993	0.00357072	0.00639324	0.0108895	0.00666642	0.268804	0.0843713	0.325382	0.104332	0.0122705	0.00429543	0.158326
b	0.00543402	0.000218223	0.0208907	0.0637632	0.0286105	0.0784398	0.138766	0.282343	0.228689	0.110868	0.00864406	0.0333334
ó	0.0403243	0.00335716	0.0209846	0.0230024	0.0333049	0.13535	0.0537845	0.159482	0.319641	0.150199	0.0105886	0.0499818
ó	0.00135491	7.66858e-05	0.00393733	0.0119565	0.0110811	0.0664173	0.0961559	0.151468	0.259328	0.268463	0.0854612	0.0442995
l	0.000606592	1.29068e-05	0.000191787	0.00534482	0.0248854	0.0435322	0.0187708	0.117531	0.153598	0.232116	0.354242	0.0491688
ó	0.000315172	1.57251e-06	6.22179e-05	0.00202588	0.00908575	0.0149502	0.00607312	0.0289195	0.0618174	0.0775147	0.691708	0.107527
ó	5.17173e-05	1.59551e-06	3.84837e-05	0.000882857	0.00128458	0.0107177	0.00267026	0.00649228	0.0279046	0.052633	0.880185	0.0171375
s	0.00190101	1.44824e-05	0.000930095	0.00464092	0.00528053	0.0142686	0.0290714	0.0656068	0.0819785	0.192167	0.329685	0.274455
á	0.000865181	1.97813e-05	0.000138724	0.0021355	0.00947988	0.0159046	0.0047293	0.0137042	0.0357089	0.0790791	0.698393	0.139842
w	0.0284126	0.002405	0.015463	0.0112687	0.00157297	0.011554	0.0200146	0.0626893	0.107322	0.29007	0.289823	0.159405
a	0.0178035	0.000837269	0.00931843	0.00946547	0.0116139	0.0307959	0.036213	0.0924375	0.217895	0.438706	0.0287779	0.106136
</S>	0.00567382	0.000140698	0.00308236	0.00137242	0.000965314	0.00712851	0.0073932	0.0338531	0.05647	0.131244	0.481333	0.271344
