 	les	lettres	qui	étaient	écrites	sur	ce	mur	sont	déjà	effacées	</S>
a	0.680845	0.300863	0.00703885	0.00220425	0.00362686	0.00386881	0.000798165	0.000357864	0.000340383	5.34342e-05	7.06652e-07	2.62036e-06
p	0.022874	0.968192	0.00482523	0.0021749	0.000597852	0.000299937	0.000173879	0.000174295	0.000135846	0.000166473	0.000120438	0.00026475
i	0.0131546	0.932113	0.0102476	0.0143713	0.0180032	0.00217438	0.00298887	0.00453133	0.00111354	0.000350464	0.000104324	0.000847041
r	0.029934	0.90866	0.0260711	0.0149208	0.00787247	0.00179254	0.00106881	0.00236903	0.000845932	0.0004144	9.09335e-05	0.00596045
i	0.370895	0.431041	0.0573455	0.0339763	0.0205002	0.0166453	0.0136313	0.0175427	0.0148029	0.000635824	0.00016318	0.0228204
m	0.163147	0.0634453	0.598054	0.0251213	0.0140005	0.0424187	0.0111355	0.00852262	0.0344113	0.0132382	0.00282478	0.0236801
á	0.458333	0.0135079	0.184102	0.0611643	0.0760611	0.0870433	0.0370246	0.018819	0.0370147	0.0158472	0.00153146	0.00955128
á	0.363525	0.0425316	0.23044	0.129608	0.147171	0.0230431	0.0188933	0.0105282	0.0170844	0.00670533	0.00206361	0.00840758
k	0.0215529	0.0115051	0.154085	0.493513	0.165188	0.0279854	0.0143091	0.0152318	0.0117012	0.0378177	0.0173045	0.0298067
y	0.00454748	0.0104267	0.0277149	0.367195	0.501275	0.0216712	0.0182758	0.0290924	0.0103492	0.00194457	0.000421756	0.00708582
έ	0.00332444	0.0198371	0.0429563	0.310376	0.557109	0.0213244	0.0156294	0.0142993	0.00794641	0.00113192	0.000152937	0.00591315
m	0.00377206	0.00476443	0.10992	0.336242	0.347819	0.0434559	0.0288191	0.018861	0.0168801	0.00304202	0.00235606	0.0840685
b	0.00407179	0.000279316	0.0205322	0.0624875	0.630961	0.169845	0.0834589	0.0174815	0.00797228	0.000598663	0.000131704	0.00218038
í	0.00739244	0.000476986	0.00964207	0.037701	0.777852	0.0690128	0.0508042	0.025255	0.00908835	0.00129155	0.00144739	0.0100367
b	0.0075109	0.000649468	0.0508801	0.0809611	0.177115	0.540642	0.113381	0.0183166	0.00946168	0.000533786	5.09916e-05	0.000496821
á	0.0158226	0.00477817	0.00498608	0.0394627	0.574817	0.0646962	0.142131	0.129735	0.0113538	0.00551383	0.00203466	0.00466902
a	0.0266628	0.00241761	0.00911314	0.0536722	0.258848	0.149112	0.278588	0.180917	0.0186931	0.00171371	0.0013666	0.0188953
m	0.00244253	0.00130213	0.00817129	0.05089	0.0535021	0.204584	0.285215	0.302757	0.0432723	0.031608	0.00387158	0.0123841
é	0.00297853	0.000807608	0.0141632	0.0123132	0.0204111	0.153948	0.496783	0.187461	0.0259084	0.0400076	0.00623446	0.0389832
b	0.000717415	0.000168418	0.00996184	0.0103257	0.0107683	0.0812076	0.298315	0.438339	0.0368986	0.0930986	0.0103772	0.00982223
a	0.00154197	0.00107387	0.00309036	0.0173235	0.0361422	0.025628	0.200409	0.62064	0.0573717	0.0188583	0.00315763	0.0147639
á	0.0013769	0.000426941	0.00435726	0.0238344	0.0228532	0.0567192	0.15245	0.574522	0.0462477	0.00397973	0.00234471	0.110888
y	0.00283541	0.000429324	0.0141244	0.00944656	0.00211302	0.082685	0.131113	0.176714	0.434438	0.100732	0.00559344	0.0397756
é	0.00924417	0.000441727	0.0441212	0.00766117	0.00355898	0.0559304	0.219177	0.160693	0.260794	0.171119	0.0391704	0.028088
á	0.000844653	6.50471e-05	0.0043633	0.0022933	0.00114471	0.0293866	0.11019	0.0975258	0.308778	0.372707	0.0468148	0.0258863
m	0.00160229	0.000333313	0.00321878	0.00620491	0.00173656	0.00725131	0.0141142	0.0356204	0.140346	0.651865	0.107791	0.0299166
i	0.00015073	3.3022e-05	0.0048986	0.00103859	0.00039632	0.00387041	0.0210949	0.0110996	0.0540153	0.61583	0.205683	0.0818891
s	7.63061e-05	5.5587e-05	0.00126149	0.00306312	0.00213789	0.0048233	0.0166162	0.0709296	0.0622359	0.673847	0.0960146	0.0689389
á	1.03257e-05	4.87727e-05	0.00141315	0.00176967	0.000756714	0.00148947	0.0173012	0.00974225	0.0140359	0.445402	0.369618	0.138412
á	0.000550414	6.11556e-05	0.00179517	0.00153637	0.00327306	0.0083515	0.044547	0.0369647	0.210656	0.230696	0.152632	0.308936
o	0.00212212	0.000757251	0.00608622	0.0105623	0.0127193	0.0315658	0.0489589	0.0416019	0.40319	0.214381	0.128636	0.0994203
d	0.000116615	0.00018189	0.00164956	0.00162629	0.0012503	0.00171573	0.00293489	0.0108765	0.0110605	0.270443	0.671377	0.026768
í	2.50389e-05	3.0129e-05	0.00128636	0.00110196	0.000310962	0.00364274	0.00438975	0.00458935	0.0133346	0.599997	0.317311	0.053981
m	5.38983e-05	9.63338e-06	0.00151436	0.000872016	0.000273812	0.00689647	0.00599482	0.0058165	0.0326222	0.338356	0.417835	0.189755
a	0.000105412	1.7813e-05	0.0015171	0.00132056	0.000889042	0.0038362	0.00567167	0.00722012	0.0366492	0.178589	0.463914	0.30027
</S>	0.000574258	4.80426e-05	0.00261789	0.00252086	0.00234868	0.0122878	0.00908727	0.0213579	0.0613103	0.123233	0.18872	0.575894
