 	mon	ami	m'	apprend	à	tisser	la	nasse	=	-yésaa	</S>
o	0.388699	0.52431	0.0448146	0.0155779	0.0152333	0.00734377	0.00206291	0.00123685	0.000518483	0.000127967	7.59657e-05
b	0.023538	0.94317	0.0180248	0.00787521	0.00137074	0.00228724	0.00128482	0.00124002	0.000419024	9.51703e-05	0.000695098
i	0.00941531	0.947537	0.00425998	0.00333082	0.0127027	0.00397701	0.00253776	0.00312201	0.00205474	0.0104873	0.000575882
a	0.021612	0.958398	0.00257855	0.000668101	0.00223897	0.00182558	0.00173213	0.0023913	0.000930662	0.00104499	0.00657913
y	0.582685	0.208075	0.168798	0.00896467	0.00964636	0.00369778	0.00518673	0.00197324	0.00333367	0.0010643	0.00657465
a	0.744955	0.013371	0.162742	0.0234386	0.0222264	0.0127301	0.00513273	0.00309985	0.00484034	0.00087626	0.00658829
n	0.848204	0.00657075	0.105059	0.0249122	0.00426759	0.00265767	0.00188566	0.000889274	0.000558641	0.000103872	0.00489202
g	0.892381	0.00570478	0.0846439	0.0108577	0.00159798	0.00163095	0.000634615	0.000572271	0.00151569	9.22716e-05	0.000368628
á	0.291215	0.135489	0.326255	0.190787	0.0111477	0.0244361	0.00383848	0.0074673	0.00531446	0.000367293	0.00368235
l	0.0769261	0.00452121	0.534832	0.14659	0.146505	0.0195569	0.0208468	0.0122031	0.0156696	0.00736637	0.0149824
á	0.0639098	0.00273543	0.130264	0.542901	0.0576244	0.0274731	0.040997	0.0179827	0.0114956	0.00227492	0.102342
a	0.161299	0.00962265	0.146845	0.177123	0.245129	0.141202	0.0395935	0.0144633	0.00727562	0.00690927	0.0505374
l	0.00352972	0.000795636	0.0149687	0.87834	0.0531103	0.0201697	0.0140405	0.00446525	0.00068135	0.00116345	0.00873569
a	0.00375035	0.0014443	0.00527669	0.882243	0.0328359	0.0123017	0.0175887	0.0126361	0.00232429	0.00143518	0.0281642
a	0.0100472	0.00335345	0.040778	0.518751	0.229853	0.0438691	0.0298084	0.0196804	0.00264438	0.000994648	0.10022
s	0.00223855	0.000165418	0.0430601	0.140535	0.66166	0.0748406	0.0407214	0.010802	0.011871	0.00399552	0.0101103
á	0.0243543	0.000390297	0.0199901	0.311696	0.428787	0.0917067	0.0409096	0.0217181	0.0115789	0.00205007	0.0468189
n	0.0145142	0.000808738	0.0349039	0.05258	0.379437	0.452308	0.0319252	0.00906716	0.0163598	0.00244902	0.00564746
g	0.208283	0.000725138	0.0972641	0.115272	0.236082	0.302412	0.0100628	0.00742704	0.0159464	0.00252284	0.00400183
á	0.111849	0.00335878	0.161301	0.149136	0.168106	0.345015	0.0172888	0.025035	0.0159936	0.00124493	0.00167076
i	0.00207573	5.57861e-05	0.0115404	0.00597859	0.484312	0.22055	0.17803	0.0483577	0.0265664	0.010893	0.0116401
t	0.000495338	9.95611e-05	0.00149265	0.0113948	0.092293	0.151518	0.487966	0.16602	0.022963	0.0244466	0.0413111
ó	0.0002006	0.000118856	0.00113991	0.0151469	0.106052	0.219109	0.288848	0.223241	0.0203832	0.0425757	0.0831853
n	0.00053935	2.24083e-05	0.0016252	0.0272713	0.109737	0.153287	0.3426	0.196239	0.0427864	0.0281902	0.0977017
g	0.000637748	0.000140811	0.00386341	0.0100777	0.0567151	0.181553	0.285698	0.302557	0.0680906	0.0156515	0.0750153
a	0.00268987	0.00165825	0.0283275	0.0570645	0.0970834	0.464216	0.0666976	0.165121	0.0861433	0.00241	0.0285891
l	0.000863815	2.61083e-05	0.00331468	0.00205654	0.019893	0.0247907	0.18851	0.218674	0.355481	0.0715358	0.114854
ó	0.000761453	6.34409e-05	0.00239394	0.0069549	0.0305092	0.016816	0.189512	0.178603	0.227549	0.0724086	0.274428
b	0.00675234	0.000200925	0.00523356	0.00802841	0.0412	0.024585	0.125715	0.130862	0.261711	0.276286	0.119425
h	0.000137862	0.000565359	0.0016483	0.000525654	0.0308829	0.00892086	0.0583187	0.103598	0.110884	0.675154	0.00936457
í	3.90182e-06	1.05885e-05	7.69047e-05	5.86449e-05	0.00404808	0.00205997	0.0100828	0.0353431	0.0230828	0.900386	0.0248473
á	0.000100973	1.23628e-05	0.000144339	0.000388674	0.00863026	0.0076561	0.0382999	0.0754772	0.101466	0.565091	0.202734
</S>	0.00481401	9.67221e-05	0.00823655	0.00520945	0.018674	0.00648181	0.0548354	0.0514231	0.192291	0.26045	0.397488
