 	j'	ai	entendu	des	pleurs	dans	le	village	</S>
n	0.822238	0.152555	0.00336707	0.0139664	0.000668684	0.0016288	0.00367178	0.000928254	0.000975949
g	0.877146	0.118085	3.51206e-05	0.00279967	3.64177e-05	0.000626938	0.00124663	1.33751e-05	1.07583e-05
á	0.805957	0.190358	0.00195414	0.000413681	0.000547724	0.000201277	0.000490648	8.83011e-06	6.8916e-05
í	0.0482076	0.210122	0.0324978	0.0538146	0.0155605	0.025307	0.043775	0.00577993	0.564935
b	0.0174073	0.455123	0.444481	0.0272968	0.0245636	0.0112742	0.00362791	0.000425512	0.0158004
ó	0.000429322	0.0483307	0.938793	0.00300017	0.0053967	0.00144147	0.000560869	6.50581e-05	0.00198222
n	0.0033815	0.204018	0.692368	0.0470462	0.0155823	0.0149181	0.00937108	0.000362467	0.0129524
d	0.0170356	0.0969366	0.332028	0.261809	0.141114	0.0472075	0.0147024	0.00962295	0.0795447
i	0.0100506	0.0959027	0.308685	0.225427	0.176392	0.0625086	0.0224516	0.00736075	0.0912226
a	0.0029765	0.0103159	0.00132434	0.825175	0.0358509	0.0786396	0.0355723	0.000888806	0.00925693
w	0.000119231	0.00407598	0.0075866	0.0212936	0.876166	0.0713262	0.00521015	0.00652535	0.00769714
é	9.30364e-05	0.00133114	0.00918087	0.00337762	0.938498	0.0234112	0.00593624	0.00273099	0.0154408
l	1.68635e-05	0.00174005	0.0159282	0.0517881	0.756106	0.0813227	0.0205661	0.00772291	0.0648089
é	5.12623e-05	0.00143191	0.00674836	0.031759	0.761748	0.0812437	0.0140177	0.0214367	0.0815633
s	1.38058e-05	0.00101006	0.000973365	0.0294112	0.167737	0.588386	0.145663	0.00254837	0.0642578
á	0.000834779	0.00310312	0.00250079	0.01	0.255296	0.249277	0.113059	0.0364638	0.329465
p	0.00259017	0.00437139	0.0002128	0.0240624	0.0137881	0.152335	0.403351	0.3864	0.0128898
o	7.86744e-05	0.000137708	0.000131617	0.000482258	0.176149	0.020999	0.0268323	0.749346	0.0258436
o	1.2032e-05	0.000216957	0.00116619	0.00113348	0.131228	0.0195983	0.0219258	0.746873	0.077846
</S>	1.59508e-05	0.000167915	7.99983e-05	0.00227491	0.00199789	0.216724	0.28781	0.00865411	0.482275
