 	le	vent	a	arraché	le	toit	</S>
ω	0.72532	0.251877	0.0114232	0.00319512	0.00681028	0.00120694	0.000167793
p	0.0879636	0.861268	0.0216835	0.0196185	0.0019706	0.00533157	0.00216417
ε	0.0120292	0.962713	0.00176003	0.00155578	0.00100173	0.0186567	0.00228319
p	0.0465207	0.931621	0.00576258	0.00223542	0.00474137	0.00407528	0.00504396
ε	0.418392	0.511087	0.0112623	0.00429698	0.00794202	0.00391164	0.0431087
ó	0.31165	0.177915	0.32519	0.0198055	0.0886324	0.00300339	0.0738037
m	0.0987423	0.0136865	0.440719	0.336907	0.087131	0.00405619	0.0187582
i	0.0169199	0.00407075	0.24673	0.439769	0.130397	0.0338429	0.12827
b	0.0012285	0.00103238	0.0550855	0.886572	0.0354137	0.00900286	0.0116651
í	0.000563711	0.000209938	0.0328829	0.914982	0.0189166	0.0177206	0.0147239
l	0.000999159	0.00216268	0.0445034	0.922715	0.00983723	0.00587371	0.0139083
á	0.0164364	0.0070716	0.0807683	0.550647	0.181393	0.081432	0.0822519
m	0.0105554	0.00151332	0.082177	0.105154	0.521029	0.226087	0.0534843
w	0.0035533	0.000571264	0.00474921	0.03882	0.072794	0.752017	0.127495
a	0.000194594	0.000110694	0.000546097	0.00455092	0.00357756	0.984369	0.00665154
n	0.00182485	0.000247807	0.0175008	0.241372	0.107818	0.29172	0.339516
d	0.00283449	0.00123112	0.00362085	0.12776	0.0532904	0.586494	0.224769
z	0.000682593	0.000668148	0.00116263	0.0901579	0.0200312	0.621137	0.26616
á	0.000470963	0.00107924	0.000841667	0.0173872	0.0168412	0.732357	0.231023
</S>	0.00444146	0.000987576	0.0283844	0.0209668	0.0785072	0.0726045	0.794108
