 	parmi	ces	enfants	qui	ressemble	à	leur	mère	</S>
s	0.356821	0.605947	0.0198955	0.00631969	0.0028573	0.00506609	0.00297077	9.86527e-06	0.000111895
á	0.437055	0.296061	0.0503319	0.0344983	0.0110167	0.0771511	0.0241965	0.0277926	0.0418975
b	0.29802	0.632832	0.0257458	0.0105134	0.0104117	0.0142401	0.00269126	0.00279026	0.00275586
á	0.0598378	0.347601	0.529476	0.0252916	0.0046778	0.00866156	0.0106324	0.0002206	0.0136012
n	0.0128909	0.0419866	0.872755	0.0230539	0.00302959	0.00291391	0.00314561	0.000337202	0.039887
a	0.0614973	0.166071	0.399522	0.0175656	0.00209411	0.0200405	0.0656463	0.00111552	0.266448
b	0.0598505	0.22548	0.194755	0.439912	0.031489	0.0241845	0.00766052	0.00487647	0.0117915
á	0.0305923	0.131456	0.465555	0.274658	0.00705807	0.0353488	0.0187071	0.000492559	0.0361329
o	0.0241814	0.0496687	0.480447	0.218139	0.0743865	0.0254194	0.0160594	0.0020941	0.109605
f	0.00231388	0.00119173	0.00489888	0.181196	0.774287	0.0192606	0.000716894	0.00150021	0.0146353
ú	0.00709046	0.00122995	0.00160897	0.142967	0.801308	0.0207274	0.000388151	0.000239004	0.0244402
ú	0.00414358	0.00313283	0.00524462	0.0675036	0.888413	0.0105246	0.000296996	2.75234e-05	0.0207136
n	0.00398521	0.0062373	0.00366703	0.127405	0.331225	0.456337	0.00495358	0.00021976	0.0659697
y	0.00770636	0.0127761	0.00711848	0.0598857	0.167267	0.684665	0.0199229	0.000567701	0.0400905
u	0.00581344	0.0213498	0.00524343	0.0376385	0.105065	0.769262	0.0213957	0.00249985	0.0317326
n	0.00103477	0.00218533	0.000408586	0.052736	0.137278	0.755303	0.00931083	0.00867552	0.0330677
g	0.00611041	0.0102739	0.000716727	0.0197682	0.0521904	0.692075	0.0485254	0.00532457	0.165015
ó	0.00810612	0.0228168	0.00376382	0.0152484	0.0861814	0.514036	0.0833888	0.203728	0.0627311
o	0.00122871	0.00150306	0.00266663	0.0155	0.0174226	0.198331	0.0518693	0.288806	0.422672
n	0.0222721	0.0114417	0.000833109	0.0315622	0.105174	0.358904	0.144468	0.0123271	0.313018
d	0.0129894	0.0122448	0.00104349	0.0141425	0.019199	0.219966	0.162378	0.0355307	0.522506
a	0.00131415	0.0013594	0.00106618	0.00208488	0.0178345	0.136874	0.0546016	0.280921	0.503945
</S>	0.000713135	0.000640779	0.000322273	0.00875	0.039426	0.146129	0.00590263	0.041519	0.756598
