 	maman	m'	a	chargé	de	tenir	l'	enfant	</S>
m	0.942791	0.0532507	0.00135836	0.000551649	0.000157222	4.48142e-05	0.00155804	0.000145601	0.000142536
a	0.215829	0.67058	0.0843294	0.00163216	0.00386003	0.000438935	0.0152183	0.00675648	0.00135644
á	0.15584	0.750498	0.0622622	0.00129437	0.00256087	0.000283578	0.000937969	0.0258261	0.000497048
á	0.104388	0.304582	0.330517	0.180226	0.0360975	0.00444366	0.0048367	0.00273337	0.0321745
k	0.00643394	0.0382732	0.0916272	0.391298	0.229201	0.217677	0.0049915	0.000826381	0.0196716
á	0.000121076	0.00534921	0.0202551	0.0776501	0.283522	0.601756	0.0034666	0.000501611	0.00737783
r	0.00131118	0.00934636	0.032891	0.580094	0.117531	0.22489	0.00743982	6.12468e-05	0.0264356
i	0.00355391	0.0290901	0.0621502	0.511141	0.205328	0.165917	0.0161066	0.000291748	0.00642176
s	0.00159088	0.279434	0.298298	0.210472	0.0428068	0.0596558	0.0839399	0.00852171	0.0152816
i	0.00125048	0.0203531	0.0304192	0.0929758	0.268203	0.329343	0.241806	0.010848	0.00480172
n	0.00110238	0.275382	0.246077	0.104722	0.0260651	0.0462433	0.24522	0.0418935	0.0132951
g	0.00190302	0.0206424	0.0277821	0.0202589	0.0510028	0.0524794	0.729291	0.088801	0.00783907
á	0.0526894	0.251116	0.0597073	0.0111931	0.0707981	0.0352693	0.396126	0.112538	0.0105636
m	0.000205024	0.00341803	0.0138872	0.00355794	0.0953064	0.102869	0.686784	0.0538632	0.0401094
w	0.000242827	0.00113132	0.00223616	6.17679e-05	0.00400682	0.00609579	0.0975356	0.680445	0.208245
á	2.91649e-05	9.66637e-05	0.000132251	5.21985e-06	0.000108934	0.000235241	0.00157112	0.99732	0.000501099
n	0.000547321	0.00245369	0.0107922	0.000308099	0.00360181	0.00420366	0.191807	0.715562	0.0707249
a	0.00211968	0.025669	0.0767646	0.0084824	0.0544204	0.0095894	0.178135	0.489732	0.155088
</S>	0.000747541	0.00425854	0.0521593	0.0358793	0.108255	0.0448898	0.453791	0.0183663	0.281654
