 	il	a	brisé	l'	aile	de	l'	oiseau	d'	un	coup	d'	arc	</S>
w	0.735912	0.0881425	0.0652802	0.0338162	0.00717353	0.0116548	0.0153229	0.0295827	0.00775318	0.00144733	0.00034299	0.00326763	0.000203568	0.000100341
a	0.750779	0.133234	0.0156884	0.0430495	0.000364093	0.0114932	0.0294286	0.00724772	0.00441884	0.000674881	7.36991e-05	0.00243216	0.001107	9.04127e-06
á	0.0672769	0.472197	0.305687	0.0852523	0.00558101	0.00981983	0.0159181	0.00506465	0.0167341	0.00857334	0.00165973	0.00542986	6.28705e-05	0.000744047
b	0.0165925	0.154871	0.72094	0.0400337	0.00929232	0.00484598	0.0038775	0.00913598	0.00570518	0.00910548	0.0108044	0.00579525	0.000620136	0.00838047
v	0.0125728	0.0614931	0.644907	0.0696358	0.0502471	0.065181	0.0345382	0.00818083	0.0164531	0.009702	0.00377405	0.00248948	0.00271541	0.0181104
ú	0.0109556	0.087562	0.78764	0.061081	0.0101409	0.0193808	0.00937799	0.00669149	0.00281216	0.00236485	0.000636292	0.000192562	0.000637266	0.000527252
n	0.00317222	0.02173	0.175919	0.29919	0.197476	0.0835951	0.0511289	0.0159549	0.025917	0.0369209	0.0267266	0.0126362	0.016266	0.033367
y	0.011326	0.0257301	0.2548	0.419555	0.0331611	0.0524533	0.0387691	0.00433176	0.0673545	0.0196731	0.00808785	0.0303452	0.00332663	0.0310868
u	0.0197956	0.0235098	0.34635	0.393379	0.0167547	0.0383593	0.0514922	0.00644058	0.0295888	0.00948968	0.0045445	0.0293207	0.00111697	0.0298575
n	0.00796934	0.0174324	0.064091	0.342688	0.010339	0.0832979	0.133963	0.251685	0.0639439	0.00631362	0.00234122	0.011579	0.00156708	0.00279027
y	0.00637597	0.00813042	0.0752578	0.155162	0.0103675	0.0883207	0.129919	0.411996	0.0558249	0.00753217	0.00374955	0.0215241	0.0082549	0.0175847
ω	0.000620562	0.00273135	0.0224579	0.0660177	0.0297803	0.0467579	0.0868924	0.628297	0.0493583	0.0274625	0.0149848	0.0101794	0.00917867	0.00528132
s	0.00165004	0.00438901	0.0106202	0.0222136	0.00555045	0.0121228	0.0521585	0.708463	0.053574	0.0221618	0.0279044	0.0359412	0.00165901	0.0415925
í	0.00043464	0.000896801	0.00938902	0.0333234	0.0746983	0.107613	0.142077	0.12194	0.195149	0.0725431	0.0440581	0.0322045	0.0034601	0.162212
i	0.00465515	0.00819708	0.00521964	0.0280425	0.0122002	0.113573	0.135258	0.0397952	0.460223	0.0916426	0.0421417	0.0468817	0.00191363	0.0102563
p	0.00162252	0.00344484	0.00691356	0.0106223	0.0579621	0.0597847	0.0213796	0.0229367	0.0970128	0.353215	0.257967	0.0282457	0.0283529	0.0505405
a	0.000608578	0.00221296	0.00569879	0.00906285	0.0757248	0.0408277	0.0364344	0.0155441	0.0448303	0.309395	0.363506	0.0165309	0.037957	0.0416661
b	0.000230109	0.000383947	0.00648029	0.00387652	0.0543599	0.0482424	0.0489579	0.0394794	0.0775592	0.263518	0.315112	0.031978	0.0230854	0.086737
h	0.00108012	0.00101448	0.00347679	0.00355512	0.0375856	0.068111	0.0845549	0.077671	0.0757451	0.207816	0.101396	0.0617828	0.060657	0.215554
í	0.000570966	0.000390203	0.0080244	0.00519069	0.0180744	0.0341872	0.0216542	0.0141584	0.0396377	0.0661719	0.0660015	0.0354604	0.175292	0.515186
m	0.000143808	0.000223604	0.0015742	0.00275439	0.00308689	0.0124647	0.0142085	0.00399953	0.0509741	0.0773137	0.151867	0.323337	0.113261	0.244792
ó	0.00149159	0.00224207	0.0038402	0.0172966	0.00711351	0.0208272	0.0108134	0.000329508	0.0343799	0.056651	0.0151425	0.122687	0.132738	0.574448
e	0.00209223	0.00210287	0.00255358	0.0088837	0.00400097	0.0104333	0.0112354	0.00198485	0.0215299	0.0279638	0.0458342	0.21079	0.521634	0.128961
b	0.000193754	0.00111526	0.00491525	0.00538601	0.0182993	0.00499514	0.00202548	0.000884966	0.00695788	0.0618974	0.145279	0.0866302	0.352182	0.309238
h	0.000155641	0.000833368	0.00265794	0.00598972	0.00291497	0.00883238	0.00556248	0.000498697	0.00400949	0.0165651	0.0117831	0.0169764	0.913821	0.00939938
e	1.96557e-05	9.1752e-05	0.00146847	0.000464321	0.00171007	0.00235825	0.00129285	0.000297429	0.00198314	0.0284132	0.0547186	0.0257566	0.768684	0.112741
r	3.1795e-05	8.51868e-05	0.00130946	0.00171499	0.00235839	0.0062469	0.00402484	0.00033654	0.0182424	0.0590274	0.0607099	0.282593	0.198397	0.364922
á	0.00087082	0.000693058	0.00716901	0.00619506	0.00242112	0.0118521	0.0103174	0.00126953	0.0202908	0.0521155	0.0456284	0.293112	0.192081	0.355984
</S>	0.0101011	0.00305177	0.00836541	0.0220879	0.00839677	0.0169026	0.012185	0.00840202	0.0247765	0.0244141	0.0217357	0.437425	0.088936	0.31322
