 	il	agrandit	sa	plantation	</S>
w	0.962218	0.0143713	0.0181854	0.00484512	0.000379956
a	0.899213	0.00226644	0.0885937	0.00953964	0.000387266
l	0.691095	0.180832	0.0821974	0.00431738	0.0415583
á	0.264868	0.0779267	0.147167	0.0225364	0.487502
a	0.491927	0.0941237	0.107242	0.130598	0.176109
n	0.0310983	0.936733	0.0121111	0.00657676	0.0134808
y	0.0100745	0.976465	0.00104693	0.00936811	0.00304589
ε	0.0184804	0.960482	0.00239412	0.013612	0.00503161
n	0.0401214	0.748533	0.03814	0.117786	0.0554199
g	0.230646	0.718867	0.029549	0.00550694	0.0154305
έ	0.301829	0.641718	0.0252627	0.0187204	0.0124696
s	0.0236552	0.0954674	0.828406	0.0310442	0.0214272
έ	0.0292625	0.050394	0.641112	0.0769221	0.202309
n	0.0171244	0.0187228	0.397397	0.524589	0.042166
g	0.0211215	0.0903057	0.18683	0.611588	0.0901557
o	0.00401461	0.0609533	0.0562995	0.849738	0.0289945
n	0.000433044	0.0630429	0.00388969	0.895968	0.0366669
d	0.0169444	0.104939	0.0172113	0.0903146	0.770591
a	0.0126258	0.279387	0.00610027	0.254708	0.447179
</S>	0.0509694	0.0663031	0.180641	0.128946	0.573141
