 	avant	de	rentrer	à	la	maison	le	pêcheur	a	mangé	une	partie	de	son	butin	</S>
o	0.868635	0.0992382	0.0134277	0.00695224	0.00643296	0.00213736	0.00170019	0.000196625	0.000240389	5.99812e-05	0.000190195	1.40356e-05	7.51107e-05	0.000154599	0.000542317	3.26753e-06
b	0.943013	0.0542548	0.00105093	0.000247739	0.000170305	7.68508e-05	0.000134841	8.66478e-05	0.000102091	6.87397e-05	0.000107473	0.00023212	0.000144863	0.000217815	1.17466e-06	9.0997e-05
o	0.967554	0.0235902	0.0054187	0.000532506	0.000283701	2.27316e-05	0.000199339	0.00111597	8.93613e-05	1.69198e-05	0.000114729	0.000134389	0.000250846	0.000512348	3.68157e-05	0.000127142
s	0.828584	0.123064	0.0293607	0.00442366	0.00215457	0.000431189	0.00120883	0.00353067	0.00108539	0.00048281	0.00111073	0.000814172	0.000385099	0.000805591	3.26672e-05	0.00252628
ó	0.652746	0.183411	0.0387519	0.0229793	0.0148771	0.00118142	0.0082102	0.00619954	0.00314878	0.00212588	0.0115662	0.0137974	0.0137292	0.0135737	0.00158716	0.0121153
b	0.207529	0.526532	0.0956866	0.0285415	0.0149624	0.0036201	0.0226642	0.00417512	0.0406976	0.00265001	0.0119357	0.00510357	0.00634799	0.00969104	0.000485058	0.0193785
í	0.268628	0.139813	0.172763	0.0599087	0.0429353	0.0132058	0.0328185	0.0512342	0.00463421	0.000894156	0.0251807	0.0221065	0.0454217	0.0358606	0.00403883	0.0805575
b	0.0901804	0.384213	0.230071	0.0716452	0.0564613	0.0396645	0.0175078	0.00901194	0.0127109	0.00777692	0.0134823	0.0117167	0.0155911	0.0166715	0.00294661	0.0203491
v	0.421003	0.198879	0.225142	0.0596747	0.0269578	0.00941037	0.00917267	0.0179027	0.002955	0.000938426	0.00504453	0.00414876	0.00603912	0.00779634	0.000859854	0.00407638
ú	0.19255	0.48121	0.191888	0.0436432	0.0287872	0.0333354	0.00492274	0.011363	0.00154126	0.00043869	0.0015118	0.00151429	0.00245656	0.00316721	0.000102757	0.00156724
r	0.563106	0.234294	0.125786	0.0333594	0.0235456	0.00513153	0.00288074	0.00279427	0.000620971	0.000302255	0.00197305	0.00205282	0.00163807	0.00092167	1.21083e-05	0.00158196
a	0.153196	0.472862	0.185317	0.0683557	0.0451653	0.0209641	0.0151188	0.00111185	0.00400996	0.00138214	0.00410485	0.006154	0.00706631	0.00539278	3.22995e-05	0.00976698
l	0.0150097	0.119374	0.416173	0.264027	0.104985	0.021872	0.0173077	0.00632249	0.0123199	0.00135841	0.00607933	0.00201655	0.00353994	0.00347015	0.000132517	0.00601184
á	0.00851153	0.0435461	0.0718806	0.117912	0.0870971	0.087259	0.086337	0.0191514	0.0477114	0.0271809	0.0392446	0.0571158	0.0360369	0.0332221	0.000147076	0.237647
n	0.0259269	0.0650258	0.09283	0.192719	0.222401	0.240855	0.0312573	0.0255708	0.0151302	0.0133043	0.0124444	0.0149281	0.0129452	0.00973479	0.000168586	0.0247587
d	0.000936369	0.0102646	0.0134537	0.036614	0.0489745	0.873106	0.00446271	0.00282513	0.00063226	0.00115205	0.00144313	0.00227215	0.00221161	0.00118984	5.07357e-05	0.000411154
é	0.00125172	0.0133601	0.031228	0.04477	0.044968	0.826515	0.00447243	0.0228506	0.000423222	0.000879668	0.00142783	0.00487613	0.00164755	0.000823658	6.67792e-05	0.00043905
e	0.00323801	0.0421801	0.0321239	0.108604	0.216773	0.421107	0.0547387	0.0626543	0.00497035	0.00884916	0.00643181	0.0228891	0.00948658	0.00317194	6.14299e-05	0.00272037
o	0.00127561	0.0163277	0.0458242	0.189837	0.211788	0.066236	0.327677	0.0524587	0.0602381	0.00364818	0.00894952	0.00361879	0.00479265	0.00488803	0.000694431	0.0017469
l	0.0152686	0.0165456	0.0644791	0.148502	0.164479	0.108839	0.114905	0.297956	0.0164744	0.00877694	0.0296083	0.00665985	0.00300301	0.00119415	0.00146834	0.00184043
ώ	0.0306161	0.00874856	0.0445603	0.0824306	0.0711359	0.0411791	0.0384295	0.574272	0.00724734	0.0233888	0.0330721	0.0191541	0.00644783	0.00112191	0.000569778	0.0176259
b	0.00160327	0.00360143	0.0361838	0.0220401	0.0187801	0.00959118	0.0149755	0.861126	0.00445347	0.00112449	0.00872591	0.00799851	0.00444292	0.00127975	0.000256654	0.00381739
h	0.00488059	0.0067161	0.118817	0.0819396	0.0724589	0.0597567	0.0963928	0.305229	0.0327096	0.00248088	0.0626046	0.0375309	0.0301596	0.0250251	0.0137479	0.0495515
i	0.00262327	0.00831401	0.0742301	0.0655122	0.111814	0.186439	0.0873667	0.224228	0.0431544	0.00205147	0.0182039	0.00986123	0.0331373	0.030622	0.0171892	0.0852529
á	0.00076358	0.00213882	0.00408186	0.0250584	0.0684768	0.0662367	0.414914	0.0360151	0.254915	0.00900912	0.0622708	0.00838022	0.019219	0.0140544	0.00400864	0.0104582
d	0.00692391	0.00347475	0.00884552	0.0255476	0.0201061	0.022647	0.0425169	0.0395029	0.113374	0.346348	0.236175	0.0746704	0.0308283	0.0111493	0.00222442	0.0156664
z	0.00159742	0.000778728	0.000838663	0.00865752	0.00777819	0.0100528	0.0422659	0.0105319	0.0441826	0.549732	0.0975583	0.079671	0.0427348	0.0078149	0.000217794	0.0955871
é	0.0011881	0.000325067	0.000144184	0.00582822	0.00988809	0.0132457	0.0220532	0.0014272	0.0110228	0.865871	0.0350527	0.0268615	0.00402435	0.00132573	3.32993e-05	0.00170848
e	0.000804638	0.000404927	0.00170297	0.0124419	0.0247947	0.0118058	0.0750859	0.0318383	0.0952595	0.22278	0.199696	0.101998	0.069117	0.0387579	0.0364627	0.0770501
p	0.000707532	0.00104106	0.0030336	0.00524449	0.00442042	0.00219425	0.00811983	0.018742	0.0571884	0.102119	0.360571	0.233782	0.0790199	0.0270313	0.0280264	0.0687588
á	0.00213925	0.00148605	0.00727126	0.00343301	0.0029264	0.000590936	0.00386767	0.0268555	0.00886059	0.0199112	0.289198	0.219476	0.0760756	0.0159316	0.260145	0.061832
b	0.00182108	0.000718357	0.00722378	0.00314736	0.00495098	0.00134469	0.00768024	0.0171216	0.0316222	0.0235597	0.262866	0.114981	0.109905	0.0314531	0.281752	0.0998519
h	0.000943479	0.000220641	0.00321139	0.00175315	0.00261476	0.0010218	0.0184131	0.0172618	0.0262951	0.0135364	0.134094	0.0687597	0.0755873	0.0931027	0.327123	0.216062
á	0.00287283	0.00156323	0.0210913	0.00832578	0.0124551	0.00458388	0.0185365	0.0348336	0.0200106	0.0262341	0.0644947	0.0383709	0.0652317	0.0461544	0.159449	0.475792
</S>	0.000227128	0.000451906	0.000859264	0.00377321	0.0056752	0.00192443	0.00889087	0.000938373	0.0595261	0.0745351	0.1551	0.138741	0.142253	0.160072	0.0241666	0.222866
