 	ce	fleuve	a	un	débit	important	</S>
m	0.474587	0.50147	0.0196304	0.00224493	0.00173661	0.000265889	6.5771e-05
á	0.0498193	0.831457	0.0932337	0.0113591	0.000801852	0.00179374	0.0115356
a	0.08464	0.888133	0.0203073	0.00463538	7.68411e-05	0.00121224	0.000995222
m	0.11296	0.294533	0.485819	0.0355358	0.00363529	0.00368623	0.0638311
é	0.13623	0.578959	0.257668	0.0175852	0.00018906	0.00136066	0.00800791
b	0.141476	0.136463	0.54733	0.13888	0.00372524	0.00681486	0.0253119
a	0.0623055	0.0746325	0.497962	0.325072	0.0147413	0.0046548	0.0206325
a	0.104739	0.142512	0.442753	0.212449	0.0191112	0.0141564	0.0642791
y	0.0352933	0.0122586	0.583903	0.294854	0.0402601	0.00535035	0.0280798
é	0.0570383	0.0154632	0.369989	0.488184	0.0156752	0.0126959	0.0409543
m	0.0283941	0.00788568	0.230111	0.375994	0.0813631	0.0545279	0.221724
á	0.0137141	0.00833324	0.0723771	0.631391	0.176294	0.0518166	0.0460738
a	0.0204474	0.00676547	0.149055	0.363707	0.185855	0.14848	0.125689
k	0.00123889	0.000994696	0.0158378	0.156533	0.751684	0.039028	0.0346835
y	5.28056e-05	3.35713e-05	0.000491876	0.0242184	0.968116	0.00392887	0.00315873
ε	0.000347062	0.000267635	0.00162117	0.039309	0.941728	0.0114982	0.00522897
l	0.000522961	0.000158848	0.00313734	0.091643	0.778521	0.0590755	0.0669409
έ	0.000425577	8.35018e-05	0.00180035	0.0872184	0.792834	0.0445216	0.0731165
l	0.0310373	0.00507315	0.0191955	0.069418	0.0881858	0.526163	0.260927
a	0.0143801	0.00194214	0.0184928	0.0531612	0.0261206	0.363973	0.521931
p	0.00639449	0.00175307	0.00380825	0.00576369	0.00415644	0.891266	0.0868579
á	0.00293847	0.00280584	0.0129199	0.0522712	0.128453	0.671611	0.129001
m	0.00194898	0.000393427	0.0046499	0.0272764	0.22242	0.54696	0.196352
i	0.0012501	0.000222196	0.00131987	0.0147492	0.0353368	0.272891	0.674231
</S>	0.01243	0.00177872	0.0178859	0.0196804	0.00522072	0.219411	0.723593
