 	la	danseuse	n'	a	personne	pour	la	gratifier	</S>
o	0.863696	0.078679	0.0246965	0.00839775	0.00896497	0.00924174	0.00541301	7.68789e-05	0.000834619
s	0.0287868	0.909153	0.0329236	0.00450017	0.00309681	0.00334265	0.0027121	0.00851055	0.00697482
é	0.00107928	0.993129	0.00369321	0.000110329	7.13616e-05	0.000259642	0.000362845	0.000726949	0.000567512
i	0.0115603	0.863985	0.0145225	0.00194809	0.00250057	0.0062797	0.0141539	0.0390895	0.0459602
a	0.382691	0.0594084	0.289178	0.121288	0.0534187	0.0195856	0.0436375	0.00598153	0.0248112
k	0.0518167	0.0359077	0.310907	0.144944	0.0783088	0.096549	0.155269	0.0660765	0.0602212
á	0.0104314	0.00428703	0.145831	0.083531	0.0845382	0.363391	0.0916996	0.118259	0.098032
m	0.00480269	0.00356078	0.191959	0.0927903	0.0893161	0.213596	0.0922682	0.222741	0.0889662
b	0.0473963	0.00972883	0.0641367	0.0908541	0.101394	0.259207	0.264187	0.0407924	0.122303
í	0.143565	0.00532693	0.0563275	0.0534232	0.0581026	0.217153	0.088873	0.105989	0.271239
o	0.0201818	0.00107516	0.0616949	0.236907	0.114961	0.136805	0.282136	0.0645814	0.0816574
k	0.000916718	0.0095613	0.00774437	0.00595172	0.00949516	0.053698	0.0772042	0.808845	0.0265835
ó	0.000102891	0.00112729	0.0042461	0.00274333	0.0055898	0.0543819	0.0281176	0.876809	0.0268825
n	5.25216e-05	0.000175552	0.00583326	0.00353593	0.00634166	0.0278452	0.0171719	0.931132	0.0079121
d	0.0041653	0.00281913	0.0404144	0.0307205	0.048271	0.107523	0.0292185	0.573251	0.163617
i	0.0136194	0.00276521	0.0402212	0.0346332	0.053715	0.100348	0.0413766	0.390743	0.322579
</S>	0.00407002	0.000102417	0.0129272	0.107921	0.0578842	0.0686705	0.1699	0.0516089	0.526915
