 	cette	famille	est	riche	ils	ont	du	bien	</S>
i	0.388986	0.491282	0.0852755	0.0126005	0.00747612	0.00714953	0.00526422	0.00117846	0.000787633
k	0.036248	0.918542	0.0195086	0.00198992	0.000352483	0.00456852	0.00707157	0.00725821	0.00446023
ó	0.024966	0.910935	0.0281028	0.00145612	0.00153436	0.00965097	0.00296565	0.0140296	0.00635977
r	0.0216209	0.860436	0.0471759	0.00193467	0.00440845	0.00766154	0.00685625	0.0126145	0.0372915
a	0.248074	0.32124	0.08748	0.0290974	0.00505858	0.0441357	0.0519118	0.0439075	0.169095
d	0.354407	0.323264	0.25502	0.00928596	0.0155403	0.0138458	0.00657325	0.00192035	0.020144
í	0.279871	0.127022	0.202328	0.162502	0.00447414	0.0137188	0.00853485	0.00296874	0.19858
í	0.082435	0.0386493	0.24227	0.297782	0.218459	0.0312793	0.0230862	0.00431131	0.0617273
d	0.0920476	0.0492064	0.162722	0.38835	0.0437929	0.096176	0.0517221	0.00711132	0.108872
í	0.0174681	0.011963	0.10052	0.550304	0.0100586	0.0419471	0.0202231	0.00258294	0.244933
i	0.0308235	0.0178322	0.212958	0.334936	0.0630062	0.0747932	0.078569	0.0317433	0.155339
n	0.00821763	0.0147915	0.0563532	0.439111	0.12975	0.196582	0.0723584	0.0245636	0.0582719
a	0.0115058	0.0159561	0.089488	0.790238	0.0284707	0.0228145	0.0225594	0.0030754	0.0158919
n	0.00288494	0.00928739	0.112874	0.273998	0.315636	0.131299	0.0854256	0.0118049	0.0567897
g	0.00843559	0.00955119	0.0659692	0.850278	0.0127788	0.0115391	0.0143407	0.00228264	0.0248248
a	0.00561232	0.00940278	0.0362334	0.902294	0.0323923	0.00358083	0.00297676	0.000870692	0.00663672
b	0.0239905	0.00934652	0.141536	0.0756557	0.0914682	0.234077	0.301424	0.049746	0.072756
á	0.00910185	0.0070127	0.0164751	0.0340469	0.513122	0.230087	0.043551	0.0627886	0.083814
a	0.00250934	0.00234447	0.0126537	0.0778849	0.667712	0.143273	0.0374038	0.0281113	0.0281072
á	0.00150315	0.00191042	0.011702	0.0159953	0.0200261	0.30746	0.378273	0.137724	0.125406
d	0.00576784	0.00778242	0.00974349	0.00501563	0.00522044	0.214156	0.309887	0.307447	0.13498
í	0.00193958	0.000918617	0.00634167	0.0232526	0.003591	0.133012	0.260752	0.091348	0.478844
l	0.00338713	0.000737135	0.0122169	0.0480788	0.0188692	0.0684938	0.35258	0.245167	0.250471
a	0.00340516	0.00225251	0.0110116	0.00612077	0.00775156	0.0573103	0.16708	0.207219	0.537849
b	0.00480856	0.00500546	0.0203321	0.0504403	0.0243257	0.0391373	0.173718	0.489542	0.192691
e	0.00582688	0.0127904	0.0264756	0.133437	0.344794	0.0796936	0.0874021	0.29399	0.0155912
a	0.000316939	0.00224938	0.00274832	0.00779943	0.0122482	0.0805968	0.0993105	0.524845	0.269885
i	0.00233225	0.00243222	0.0131906	0.00473195	0.00426599	0.0388398	0.234432	0.348755	0.35102
y	0.0102864	0.0115349	0.0373375	0.00471754	0.00273837	0.0607388	0.314136	0.228294	0.330217
í	0.00629348	0.00791444	0.0328186	0.0263416	0.00147202	0.0292654	0.375485	0.120415	0.399995
í	0.000847929	0.00048559	0.00342844	0.00589337	0.00632915	0.0198212	0.110375	0.0964122	0.756407
</S>	0.00419255	0.00179717	0.0208046	0.0141273	0.0169288	0.0406254	0.168448	0.143707	0.58937
