 	il	est	parti	au-devant	</S>
w	0.934356	0.0631292	0.000333953	0.00212518	5.60146e-05
a	0.966959	0.0222535	0.000281967	0.0104021	0.000103712
á	0.342403	0.567435	0.0728632	0.00791886	0.00938031
m	0.0324988	0.581605	0.310456	0.0389172	0.0365226
i	0.00466493	0.0859529	0.814728	0.048474	0.0461799
d	0.00132985	0.0560818	0.913617	0.0190939	0.0098777
z	0.000102338	0.0296677	0.948125	0.0100116	0.0120931
w	0.0014828	0.0168323	0.971863	0.00420597	0.00561594
á	0.0123202	0.186201	0.513326	0.0186354	0.269518
b	0.0117643	0.0185121	0.116882	0.819569	0.0332723
o	0.00958792	0.0155627	0.0276203	0.908749	0.0384797
s	0.000941265	0.0122942	0.00663277	0.949219	0.0309127
ó	0.00201736	0.0281427	0.0512041	0.518768	0.399867
</S>	0.023762	0.0370094	0.0511828	0.0448728	0.843173
