 	ses	cheveux	bouffent	autour	de	sa	tête	</S>
s	0.746831	0.247048	0.00268827	0.000822886	0.00105756	0.00143619	6.03291e-05	5.59281e-05
u	0.119156	0.876086	0.000965414	0.000336195	0.000986775	0.00142557	0.000226414	0.000817502
é	0.0671113	0.809519	0.0971047	0.00198234	0.00311017	0.00186737	0.000235546	0.0190699
y	0.190706	0.365076	0.365074	0.0138674	0.00500891	0.00444778	0.00105632	0.0547634
á	0.242296	0.538992	0.210462	0.00210015	0.00121848	0.00216665	0.00046587	0.00229996
w	0.379015	0.131268	0.439715	0.00762451	0.00380449	0.00761354	0.000369504	0.0305896
a	0.546507	0.0491403	0.172781	0.0394663	0.0300348	0.101525	0.0159502	0.0445959
é	0.0399744	0.0263937	0.765316	0.0825652	0.0263904	0.0308671	0.00268598	0.0258069
m	0.015363	0.00518184	0.050392	0.683048	0.146941	0.0476662	0.00654982	0.0448577
i	0.0146843	0.0113951	0.00575032	0.547519	0.218362	0.1345	0.0135898	0.0541993
f	0.00106121	0.00119801	0.0164408	0.769693	0.177207	0.0139994	0.00729632	0.0131045
u	0.000985014	0.000885396	0.0197779	0.778164	0.163971	0.00485606	0.00986173	0.0214984
u	0.00213861	0.00132342	0.0303359	0.663125	0.25132	0.00828652	0.00263905	0.0408319
l	0.0026269	0.000527654	0.00208554	0.284391	0.454183	0.153124	0.0134921	0.089571
á	0.006163	0.000745166	0.000711788	0.195874	0.40871	0.280324	0.0174708	0.0900013
m	0.00164594	0.00076938	0.00199176	0.0554691	0.249264	0.579727	0.0959722	0.0151606
í	0.00900423	0.00236355	0.000792537	0.0251606	0.0610775	0.216566	0.26073	0.424305
b	0.0017935	0.000333637	0.000576551	0.0130225	0.0257657	0.0415281	0.857531	0.0594488
o	0.000325725	1.26527e-05	4.85753e-05	0.00731801	0.024646	0.0209041	0.918148	0.0285968
ó	6.95796e-05	1.1647e-05	0.000913182	0.0206143	0.0705822	0.0373084	0.776616	0.0938848
</S>	0.00539992	0.00107737	0.0002167	0.0287753	0.0522205	0.306932	0.184864	0.420514
