 	le	feu	de	brousse	a	atteint	quelles	forêts	</S>
o	0.665687	0.242161	0.0347176	0.0463519	0.00923957	0.00108209	0.000416904	0.00029512	4.89666e-05
b	0.26015	0.608431	0.0608254	0.0470016	0.00482503	0.0039561	0.0080986	0.00373269	0.00297966
o	0.43714	0.214025	0.1183	0.186063	0.0116034	0.00308531	0.00847618	0.0157104	0.00559732
n	0.350514	0.325247	0.154599	0.117425	0.00819343	0.00245265	0.00297181	0.0126499	0.0259476
g	0.675924	0.252769	0.0439875	0.0128148	0.00153992	0.00339476	8.73286e-05	0.00272566	0.00675706
í	0.448335	0.0719029	0.219143	0.19114	0.0279203	0.0271009	0.00299099	0.0025251	0.00894159
ó	0.152212	0.059474	0.343156	0.263215	0.11494	0.0287441	0.0278172	0.0016779	0.00876415
k	0.00769679	0.00836153	0.0709443	0.0710724	0.0983197	0.121333	0.600844	0.00847905	0.0129494
ó	0.00482993	0.00179818	0.0719113	0.157579	0.0921078	0.0779544	0.517034	0.0406299	0.0361557
i	0.0147679	0.0253473	0.150602	0.138828	0.113259	0.110247	0.284961	0.0630897	0.0988978
s	0.0125456	0.0190003	0.0916665	0.0706802	0.145686	0.338111	0.215359	0.0692763	0.0376745
á	0.0127982	0.006979	0.0858795	0.0437294	0.0682989	0.393416	0.167171	0.068928	0.1528
a	0.0190339	0.0445422	0.0733018	0.0533441	0.129975	0.414286	0.0441904	0.1602	0.0611257
k	0.00539108	0.0294727	0.011099	0.0112907	0.0164162	0.0260922	0.247791	0.619783	0.0326633
ώ	0.00536996	0.00211766	0.0256634	0.12272	0.0246455	0.0196664	0.156002	0.506339	0.137476
m	0.000896025	0.000357679	0.0268123	0.153554	0.0520313	0.0423501	0.166581	0.39126	0.166158
a	0.00615036	0.00258589	0.0153854	0.00821903	0.00553597	0.0258889	0.00603461	0.421406	0.508793
</S>	0.0128413	0.00692256	0.0245103	0.0137724	0.00959135	0.0518168	0.0144234	0.286359	0.579763
