 	il	avait	brûlé	l'	herbe	dans	la	plantation	</S>
w	0.747509	0.236118	0.00375225	0.00452444	0.00157464	0.00234855	0.00330161	0.000850216	2.15092e-05
a	0.787973	0.184094	0.00435071	0.0104656	0.00050505	0.00119023	0.0112902	0.000104441	2.67176e-05
á	0.0715843	0.807994	0.0585991	0.03645	0.010759	0.00581456	0.00297424	0.000357604	0.00546736
b	0.0603472	0.459936	0.285521	0.0742445	0.0312948	0.048557	0.0147287	0.00127678	0.0240933
o	0.0391532	0.132981	0.463978	0.19472	0.060526	0.0444621	0.0255475	9.05811e-05	0.0385422
n	0.00612535	0.0420456	0.605876	0.220609	0.0857757	0.0265064	0.00349823	0.00228342	0.00728105
g	0.0837238	0.158839	0.439403	0.196177	0.0688478	0.0197212	0.00817701	0.00154842	0.0235619
í	0.172431	0.203842	0.260539	0.172295	0.0485838	0.0232307	0.0166746	0.00218406	0.10022
s	0.0394239	0.14561	0.104512	0.345278	0.183512	0.108935	0.0404755	0.0235692	0.00868312
á	0.000721677	0.0070194	0.0698009	0.223436	0.366055	0.189585	0.0553611	0.0376355	0.0503859
p	0.0228393	0.0333882	0.0169528	0.105952	0.194666	0.113887	0.13524	0.323485	0.0535897
f	0.0034839	0.00815732	0.0536704	0.0792773	0.705553	0.089512	0.0187386	0.0191865	0.0224214
ú	0.000770626	0.00192286	0.0522027	0.0735232	0.64536	0.157029	0.0310326	0.0110123	0.0271458
l	0.000165302	0.000459041	0.0252689	0.0390983	0.542055	0.270905	0.0747667	0.00503247	0.0422491
ú	0.000283472	0.00113909	0.0311244	0.0584377	0.304067	0.432405	0.0897938	0.00792439	0.0748256
s	0.000241327	0.0015486	0.0261785	0.0512521	0.160181	0.382196	0.169047	0.00349095	0.205864
á	0.000974834	0.00236344	0.0229199	0.0406806	0.106374	0.189417	0.300775	0.0901978	0.246297
n	0.00152875	0.00139437	0.000906835	0.00216562	0.00301364	0.00731118	0.0445448	0.929469	0.00966582
g	5.32292e-05	0.000347765	0.0007963	0.001982	0.00104812	0.00291203	0.00732112	0.981255	0.00428381
o	7.11398e-05	0.000399976	0.000414267	0.00111389	0.000553563	0.00127507	0.00444458	0.986846	0.00488094
n	3.01834e-07	3.36512e-06	8.39431e-05	0.000174007	0.000441842	0.000585769	0.000503919	0.994476	0.00373109
d	0.000758972	0.0011674	0.007752	0.012646	0.0312844	0.0183026	0.0382965	0.125573	0.764219
a	0.000232277	0.000171967	0.00128545	0.0022737	0.0034974	0.0015693	0.00621699	0.802199	0.182553
</S>	0.000958185	0.00206733	0.00974836	0.0256948	0.0640087	0.0609448	0.151783	0.128286	0.556509
