 	cet	homme	se	vante	de	ses	biens	</S>
i	0.691094	0.252633	0.0416839	0.000209534	0.00867958	0.00413815	0.00151607	4.56257e-05
b	0.386937	0.578283	0.0181622	0.0083069	0.00201441	0.00176758	0.00335331	0.00117592
a	0.00610939	0.98847	0.000558825	0.000781612	9.91987e-05	0.000363644	0.00354257	7.49389e-05
a	0.0940723	0.870861	0.0108835	0.00257747	0.00253061	0.0032292	0.00564175	0.0102045
d	0.545067	0.0874096	0.133171	0.00589165	0.0235778	0.0145775	0.00151548	0.18879
í	0.16552	0.0343232	0.156533	0.0181926	0.0368901	0.0286691	0.00307676	0.556795
b	0.0724488	0.15245	0.369656	0.0688903	0.0734343	0.0379253	0.00555535	0.21964
ó	0.0898834	0.224886	0.319275	0.0338298	0.126017	0.110756	0.0631836	0.0321694
l	0.0666688	0.273738	0.329466	0.0895162	0.0973029	0.0505606	0.0221094	0.0706386
í	0.0366261	0.0134559	0.23029	0.10577	0.121396	0.0823655	0.0121932	0.397903
i	0.0648199	0.0499087	0.430248	0.196992	0.126769	0.0445088	0.0131709	0.0735835
s	0.00307736	0.00786017	0.0169576	0.944864	0.0109894	0.00308208	0.00187758	0.011292
é	0.00613964	0.0120631	0.0176581	0.903055	0.0210891	0.00622713	0.00844596	0.0253218
n	0.0297049	0.00659568	0.0467002	0.642737	0.105664	0.0189359	0.020321	0.129342
y	0.0374142	0.0333151	0.241712	0.380644	0.18515	0.0445135	0.016148	0.0611037
á	0.00837761	0.00598095	0.0467883	0.669496	0.147415	0.0214366	0.0151022	0.0854037
á	0.0212088	0.0034408	0.119104	0.0877576	0.527507	0.162518	0.0575369	0.0209263
m	0.00948371	0.00476728	0.0525593	0.00853911	0.312371	0.448099	0.0862721	0.0779087
ó	0.0389943	0.0326234	0.0328431	0.0114267	0.0894511	0.362176	0.176848	0.255637
b	0.0102392	0.00594285	0.0255942	0.0306915	0.108821	0.195086	0.573289	0.0503364
e	0.00193013	0.0096129	0.00766791	0.00171058	0.0183795	0.0610261	0.887767	0.0119063
a	0.000712949	0.00306806	0.00624159	0.00661068	0.0549018	0.122094	0.64622	0.160151
b	0.00101227	0.000503003	0.00873135	0.00257142	0.0757072	0.361537	0.192154	0.357784
ó	0.00488982	0.0103752	0.0613351	0.00378561	0.0800882	0.384908	0.321958	0.13266
k	0.00342287	0.00552458	0.0148879	0.00812201	0.071169	0.182648	0.339367	0.374858
u	0.00165182	0.00195703	0.0138136	0.00618519	0.0552815	0.293984	0.262231	0.364897
l	0.00717562	0.00184549	0.00302218	0.0556057	0.044757	0.0445216	0.397679	0.445394
u	0.00392271	0.00067257	0.00489221	0.0334566	0.0758163	0.113178	0.301207	0.466855
</S>	0.00241259	0.000488817	0.02013	0.003015	0.0718621	0.159871	0.0446281	0.697592
