 	mon	épouse	est	enceinte	</S>
n	0.823614	0.155934	0.0159795	0.00398352	0.000488469
g	0.989523	0.00834439	0.000141183	0.00183781	0.000153986
á	0.517696	0.470169	0.00121394	0.00953771	0.00138389
m	0.212929	0.644832	0.0589735	0.054392	0.0288735
w	0.00174358	0.99058	0.00361164	0.000622119	0.00344296
á	0.0665129	0.921836	0.00795849	0.00141054	0.00228182
s	0.455228	0.231117	0.216226	0.0171117	0.0803174
í	0.118824	0.616772	0.0148576	0.103913	0.145634
a	0.266796	0.0369958	0.492372	0.0870717	0.116765
d	0.0702038	0.0557558	0.70622	0.0377926	0.130028
í	0.0773954	0.235914	0.0537374	0.0568281	0.576125
l	0.184062	0.0769041	0.236822	0.203911	0.298302
i	0.0059324	0.00728046	0.170593	0.283446	0.532749
f	0.00200913	0.00779617	0.0429478	0.571286	0.375961
ú	0.00912643	0.0482226	0.308143	0.431258	0.20325
n	0.00350297	0.00756402	0.246008	0.37124	0.371685
d	0.00267468	0.00245167	0.133991	0.64631	0.214572
ú	0.00801487	0.000604093	0.0744467	0.539827	0.377108
</S>	0.0197311	0.000361491	0.143782	0.342833	0.493292
