 	le	père	a	blâmé	son	enfant	</S>
t	0.762673	0.230345	0.00517719	5.47239e-05	0.00145227	0.000284757	1.30876e-05
á	0.198629	0.785199	0.00977673	0.00135503	0.00321604	0.00126765	0.000555868
á	0.0225798	0.848785	0.0643567	0.0335093	0.00599281	0.0106015	0.0141745
á	0.111834	0.137188	0.667567	0.00701351	0.0171867	0.00291069	0.0562991
p	0.00681324	0.0324477	0.766714	0.167866	0.00506574	0.000490616	0.0206019
a	0.00136432	0.022706	0.293146	0.652771	0.0124379	0.000187572	0.0173874
m	0.0150472	0.0759489	0.296489	0.541839	0.0533833	0.000248001	0.0170452
i	0.0731087	0.00534552	0.0982208	0.32028	0.329877	0.0455448	0.127623
m	0.0130847	0.00673112	0.0691076	0.0322396	0.342073	0.494952	0.0418122
w	0.00759095	0.000136745	0.00659291	0.0211299	0.065124	0.820848	0.0785772
á	0.000691418	7.54924e-05	0.000399218	0.00456511	0.00229463	0.991013	0.000960981
n	0.0599205	4.31003e-05	0.00212215	0.000267873	0.0557807	0.871453	0.0104126
a	0.0365121	0.000737686	0.0179511	0.0148798	0.144407	0.563597	0.221916
</S>	0.0153007	0.0043592	0.150233	0.0460763	0.482275	0.024867	0.276888
