 	quand	elle	danse	sa	poitrine	ballotte	</S>
é	0.892457	0.0786941	0.0213483	0.00563593	0.000820937	0.000729235	0.00031454
é	0.65538	0.297457	0.0227538	0.0124256	0.00457376	0.00563019	0.00177981
b	0.0183179	0.167418	0.478156	0.0775233	0.0391401	0.0396813	0.179763
í	0.00779241	0.139189	0.791157	0.026986	0.0157689	0.00461867	0.0144888
n	0.059056	0.25792	0.242624	0.146866	0.0748548	0.0340833	0.184595
á	0.074069	0.116859	0.236893	0.310372	0.0463839	0.0638145	0.151608
w	0.0471647	0.111583	0.143116	0.298398	0.331166	0.0175803	0.0509917
a	0.0417939	0.0853192	0.122166	0.510933	0.203322	0.0209834	0.015483
t	0.0157319	0.0662321	0.119304	0.312364	0.444323	0.0164333	0.0256121
ó	0.0029771	0.00523179	0.00726698	0.052931	0.907409	0.01948	0.00470387
o	0.000372835	0.00472441	0.0140898	0.0346272	0.908516	0.0249321	0.0127377
y	0.00303216	0.00699093	0.0118749	0.140235	0.258648	0.218139	0.36108
é	0.0435977	0.0185513	0.0165718	0.292875	0.279453	0.234656	0.114295
e	0.0157671	0.00790524	0.0333987	0.279719	0.178758	0.332889	0.151563
t	0.00210416	0.00359576	0.00831	0.0148989	0.0413283	0.641991	0.287772
í	0.000513658	0.0055145	0.00703319	0.0241719	0.162294	0.567007	0.233466
n	0.000258399	0.00278138	0.00925474	0.0440991	0.157287	0.286367	0.499953
a	0.000623476	0.00191413	0.00482433	0.0297895	0.0744036	0.618738	0.269707
a	0.001428	0.0022553	0.00464957	0.0637897	0.0467199	0.26259	0.618567
</S>	0.00815507	0.00908102	0.0148488	0.0560086	0.00857431	0.524205	0.379127
