 	mon	neveu-ci	est	un	touche-à-tout	</S>
m	0.680942	0.280635	0.0213373	0.0135387	0.00176068	0.0017861
w	0.0094883	0.977129	0.00742252	0.00370848	0.000844754	0.00140658
á	0.00747402	0.989692	0.00092438	0.000581296	0.00122815	0.000100262
n	0.193865	0.803573	0.00118716	0.000430604	0.000284626	0.000659575
a	0.461986	0.337372	0.0639156	0.0339801	0.0070839	0.0956621
b	0.802232	0.0469455	0.0698919	0.0610972	0.0063757	0.0134574
o	0.139098	0.0367369	0.402453	0.116893	0.0294694	0.27535
l	0.0732504	0.0393832	0.515952	0.201565	0.0220405	0.147809
a	0.620388	0.0127805	0.0781452	0.103587	0.038722	0.146377
y	0.210542	0.022673	0.460256	0.245722	0.00924235	0.0515642
a	0.742535	0.0139285	0.0949215	0.0886346	0.030026	0.0299543
n	0.738218	0.00527386	0.115139	0.107546	0.00808869	0.0257346
g	0.615341	0.00982709	0.103379	0.104868	0.0483439	0.118241
á	0.0689247	0.0454235	0.120939	0.238294	0.366226	0.160192
w	0.0365391	0.00173235	0.42505	0.437304	0.0351236	0.0642513
ó	0.0965434	0.0051958	0.4072	0.29391	0.0494724	0.147678
a	0.0533433	0.00326139	0.350111	0.183993	0.112581	0.296711
d	0.000904628	7.32946e-05	0.237892	0.39962	0.0469311	0.314579
í	0.00193761	0.000383516	0.101664	0.193985	0.03413	0.667899
e	0.0234364	0.000423646	0.117837	0.222688	0.0816796	0.553935
n	0.00226511	0.0012649	0.0307601	0.0732564	0.664879	0.227574
d	0.0128006	0.0048957	0.0313443	0.0815031	0.575024	0.294432
z	0.00261022	0.000545464	0.00965055	0.0444309	0.733037	0.209726
o	6.35808e-05	0.000181847	0.00540023	0.0176445	0.793068	0.183642
n	0.000364145	0.000249929	0.00977825	0.0143544	0.478504	0.49675
d	0.000203548	0.000130423	0.015363	0.0478463	0.40066	0.535797
z	0.000321554	4.88923e-05	0.00694099	0.0173788	0.569856	0.405454
o	0.000225104	0.000162795	0.00581743	0.0122349	0.555795	0.425765
</S>	0.00266299	0.000178882	0.038774	0.0603649	0.0618856	0.836133
