 	ramasse	les	ordures	qui	sont	à	l'	entrée	de	la	maison	</S>
m	0.525653	0.299189	0.0545695	0.0113743	0.0161927	0.031037	0.0257508	0.00461705	0.0157013	0.0143546	0.000470743	0.00108983
ó	0.109793	0.243811	0.0218503	0.0349565	0.0284494	0.0442109	0.0588571	0.113375	0.062209	0.0293592	0.00147569	0.251652
y	0.644924	0.122781	0.0420965	0.0179044	0.0170548	0.0168571	0.0246595	0.0856342	0.0112009	0.00425607	0.00732678	0.00530484
e	0.0556459	0.127892	0.109558	0.148315	0.0606831	0.0394722	0.0529758	0.0703242	0.0470707	0.0818886	0.0766671	0.129507
e	0.115879	0.183537	0.0227143	0.0651655	0.037309	0.0276571	0.0327557	0.0277726	0.028252	0.0285616	0.0124391	0.417958
r	0.0749241	0.552129	0.121435	0.0880453	0.0294203	0.021734	0.0148787	0.00896127	0.0179573	0.0064105	0.00247358	0.0616316
á	0.116323	0.374262	0.0687303	0.0979941	0.026395	0.0270688	0.0602379	0.041032	0.0217953	0.041773	0.0524868	0.0719023
t	0.0225138	0.22826	0.159623	0.111852	0.118634	0.0699726	0.0582297	0.0442747	0.0385482	0.0609804	0.0402183	0.0468938
s	0.0511993	0.158897	0.564521	0.027228	0.0344375	0.0353326	0.0210696	0.0158506	0.0287589	0.0024772	0.00547857	0.0547499
e	0.00635735	0.0261011	0.790513	0.0233457	0.0388004	0.0377397	0.0184213	0.00413127	0.0248451	0.00498256	0.0053141	0.019448
r	0.0135453	0.0567135	0.444989	0.0700839	0.0633936	0.0811742	0.0383235	0.00411939	0.0408204	0.00963433	0.00935794	0.167845
i	0.0419797	0.0678299	0.442861	0.0481762	0.0381191	0.0528402	0.0386321	0.0198075	0.0425478	0.0133297	0.0414939	0.152383
y	0.0548771	0.0782367	0.0892954	0.382745	0.15733	0.0972467	0.0565728	0.0195947	0.0421135	0.00700239	0.00110105	0.0138849
é	0.0242076	0.104406	0.0633383	0.376464	0.136736	0.0609227	0.0629178	0.0537674	0.0184369	0.058027	0.0194674	0.0213095
é	0.00337738	0.0247268	0.0493525	0.323331	0.209633	0.117891	0.114534	0.0483491	0.021513	0.0516812	0.0225032	0.0131084
d	0.00887544	0.0287055	0.0480554	0.0464938	0.173323	0.128917	0.100505	0.228231	0.179886	0.0232151	0.0168917	0.0169017
i	0.00161876	0.005472	0.026637	0.0541207	0.28312	0.169788	0.0796589	0.0578633	0.198681	0.0359976	0.00811083	0.0789315
m	0.000799841	0.00757697	0.0679845	0.09235	0.226283	0.195604	0.099247	0.0719726	0.180361	0.0275294	0.005079	0.0252132
ó	0.000721064	0.00674312	0.0419251	0.063681	0.143899	0.14906	0.107947	0.0897353	0.132825	0.133804	0.0119039	0.117757
n	0.00195174	0.00414629	0.0149512	0.0290055	0.0583873	0.0845245	0.086058	0.138807	0.126497	0.148545	0.257445	0.0496814
ω	0.000490502	0.0013023	0.000838809	0.00659588	0.00919091	0.0192071	0.0518148	0.194926	0.0516301	0.110189	0.530889	0.0229259
ω	0.000238275	0.00153644	0.000998418	0.0171189	0.0221985	0.0387008	0.0713107	0.247969	0.242938	0.199655	0.0547721	0.102564
m	0.011178	0.0168901	0.0204753	0.0228595	0.047484	0.0689159	0.0726654	0.119037	0.301791	0.153065	0.0694906	0.0961489
á	0.00261696	0.0255034	0.0232704	0.0769052	0.0646834	0.0887818	0.0741056	0.10011	0.178259	0.163602	0.00733706	0.194825
n	0.002572	0.00597583	0.0113295	0.0193926	0.0378357	0.0620289	0.0813821	0.070049	0.137555	0.228657	0.143152	0.20007
d	0.000246963	0.00117202	0.000253545	0.00549359	0.00525589	0.00925296	0.0425897	0.121424	0.0365793	0.279662	0.459308	0.0387623
é	0.00109682	0.00157498	0.000885872	0.00470229	0.00544635	0.00823894	0.0225516	0.099106	0.0526256	0.127289	0.519058	0.157424
e	0.000330515	0.00136886	0.00273029	0.0134539	0.0192732	0.0510789	0.10567	0.105354	0.220884	0.0898828	0.0441025	0.34587
y	0.00219326	0.00665254	0.00258704	0.0280897	0.0251171	0.0601994	0.103603	0.097263	0.175319	0.152333	0.0186988	0.327944
í	0.00411684	0.0209566	0.00701111	0.0472801	0.0297849	0.0463733	0.0923577	0.0486475	0.133185	0.344909	0.0324824	0.192895
i	0.0014413	0.00483544	0.00392716	0.0402795	0.0295806	0.0425641	0.0844209	0.0179604	0.0487451	0.327644	0.0570872	0.341514
</S>	0.00412055	0.0100215	0.0118665	0.00796016	0.0186518	0.0252347	0.0223298	0.0747731	0.200877	0.0554594	0.0715912	0.497114
