 	cette	source	est	poissonneuse	</S>
o	0.841093	0.126424	0.0275243	0.00267791	0.00228055
d	0.0189232	0.978933	0.000466311	0.000752363	0.000925075
u	0.0398817	0.947343	0.000956832	0.00068504	0.0111337
m	0.381725	0.551515	0.0335673	0.0232536	0.00993878
a	0.530339	0.351028	0.0909945	0.00390527	0.0237332
m	0.424047	0.186843	0.263169	0.0081911	0.117749
ú	0.720116	0.0301489	0.172122	0.0066658	0.0709475
u	0.513817	0.11668	0.216766	0.0151095	0.137627
ó	0.412759	0.375176	0.151235	0.00412231	0.0567071
d	0.348371	0.145669	0.405203	0.0400476	0.0607085
í	0.0695568	0.0131022	0.140953	0.2631	0.513288
l	0.0796261	0.0127329	0.19465	0.219698	0.493294
a	0.00991182	0.0141869	0.211713	0.142013	0.622175
s	0.0743641	0.0642443	0.149766	0.504377	0.207248
w	0.0407074	0.0123705	0.0185597	0.889118	0.0392445
é	0.0157386	0.00215354	0.0179337	0.819575	0.1446
</S>	0.0130098	0.0227454	0.211371	0.0644356	0.688438
