 	cette	jeune	fille	n'	a	pas	encore	trouvé	un	mari	</S>
m	0.539176	0.352615	0.00786408	0.00997751	0.0123784	0.0497318	0.00559157	0.00737379	0.0131259	0.000701598	0.0014647
w	0.0891024	0.627919	0.27939	0.000597467	0.000349008	0.000178513	0.000116833	0.000350413	0.000227017	0.000835987	0.000933549
á	0.00377299	0.759131	0.23668	0.000186553	7.3103e-05	1.95038e-05	2.1411e-05	3.69123e-05	1.80824e-05	2.70513e-05	3.25723e-05
n	0.124791	0.782723	0.0888974	0.00126245	0.000786603	0.000673652	0.000209691	0.000131702	0.000319439	3.86437e-05	0.000166406
a	0.17692	0.192647	0.426299	0.0523376	0.0376474	0.0179768	0.0150662	0.0134498	0.0111168	0.0107533	0.0457862
o	0.963451	0.0143262	0.00420202	0.00387347	0.00233685	0.00294943	0.00137889	0.00127863	0.00436104	0.000567848	0.001275
y	0.208944	0.0246389	0.334425	0.0807671	0.0504007	0.01252	0.0645235	0.0813152	0.00938834	0.0898609	0.043217
ú	0.67544	0.032925	0.24489	0.0121933	0.00361208	0.0014781	0.00696548	0.00476768	0.00185414	0.0146649	0.00120865
r	0.965726	0.00450745	0.00319884	0.00255733	0.00149112	0.000901026	0.000622781	0.00378204	0.00760252	0.00438856	0.00522253
u	0.925243	0.0111002	0.0111878	0.0183175	0.00707114	0.00382329	0.00106436	0.00302386	0.0128943	0.00123972	0.00503432
w	0.116523	0.0265877	0.0707419	0.366976	0.111854	0.0589698	0.0577215	0.049847	0.0486027	0.00246242	0.089713
ó	0.0177241	0.00326687	0.00276198	0.0897741	0.108547	0.102922	0.0655278	0.0765215	0.126611	0.00228723	0.404056
a	0.0280933	0.00104239	0.00768621	0.258865	0.226599	0.0790253	0.0926227	0.0597723	0.0308578	0.0129116	0.202524
s	0.00978199	7.65751e-05	0.000652588	0.178908	0.210644	0.0917103	0.285962	0.13578	0.026641	0.0116747	0.0481679
á	0.0155196	0.0015085	0.00386263	0.295475	0.226098	0.0607206	0.271055	0.0793035	0.010056	0.00950333	0.0268977
a	0.0218371	0.00922874	0.00266087	0.204419	0.276241	0.188164	0.152649	0.0485136	0.0491687	0.00385656	0.043262
o	0.00242901	0.000568943	0.00131982	0.198006	0.281414	0.187765	0.213568	0.0591708	0.0253518	0.00625381	0.0241531
l	0.00444025	0.000152973	0.00122955	0.0380832	0.0999008	0.0364546	0.143477	0.219802	0.0270095	0.41026	0.01919
ó	0.00281327	0.000130246	0.000524743	0.0101867	0.0309572	0.0284537	0.210451	0.221967	0.0317156	0.428017	0.034784
m	0.00180276	0.000181079	0.000409882	0.0212323	0.0649616	0.0466794	0.125152	0.0563623	0.0379529	0.582327	0.0629387
i	0.0106537	0.00011722	0.000319706	0.0406724	0.0987922	0.0608038	0.0973547	0.238806	0.109784	0.271393	0.0713032
o	0.00352446	0.000379869	0.000147585	0.0583088	0.0991156	0.18423	0.0948112	0.17192	0.289745	0.0154946	0.0823225
d	0.000391548	4.15309e-05	5.64972e-05	0.00221501	0.00582437	0.00893906	0.031648	0.323729	0.194529	0.410907	0.0217181
i	0.00132749	4.30092e-05	9.95617e-05	0.00363939	0.00691182	0.00971841	0.056396	0.633403	0.0993068	0.151484	0.0376705
a	0.00236173	0.000127996	8.06287e-05	0.00855323	0.0176555	0.0315734	0.0426354	0.437557	0.340959	0.0508057	0.0676903
k	0.000708035	5.75303e-05	2.46503e-05	0.00757623	0.0172985	0.0572585	0.0545938	0.236941	0.357648	0.0761669	0.191727
a	0.00135127	0.00034998	2.79362e-05	0.00388435	0.012879	0.113023	0.032728	0.230081	0.303671	0.0259098	0.276094
á	0.00315463	0.000755691	0.000304253	0.0150461	0.0350902	0.193118	0.0674107	0.157837	0.102391	0.0264285	0.398465
</S>	0.000457854	6.30118e-05	5.56695e-05	0.0174964	0.0243972	0.0286421	0.039064	0.13846	0.162002	0.0520462	0.537316
