 	la	manière	dont	il	voulait	nous	faire	traverser	le	fleuve	était	suicidaire	</S>
e	0.552316	0.256313	0.0244749	0.0521679	0.0644975	0.00488456	0.0111489	0.0107143	0.0136465	0.00656173	0.00144787	0.00148354	0.000342961
k	0.00151022	0.00113534	0.00123473	0.00209491	0.123236	0.0167529	0.260444	0.11479	0.338927	0.0106068	0.0611326	0.0637115	0.00442372
y	0.00816012	0.00178363	0.00288495	0.0082995	0.130128	0.0360733	0.228477	0.103711	0.370445	0.0108591	0.0530548	0.0429573	0.00316609
é	0.000534813	0.00272971	0.00431133	0.00966591	0.128275	0.0286088	0.270782	0.178158	0.289252	0.0277082	0.0159054	0.0337579	0.010312
n	0.0205585	0.0638812	0.0472051	0.0398135	0.0834994	0.0669745	0.241863	0.161552	0.219962	0.0185396	0.0102168	0.0102765	0.0156588
í	0.0360244	0.0909231	0.0451061	0.0257142	0.0353828	0.0385886	0.0806718	0.171411	0.0637321	0.0317564	0.0347484	0.0216791	0.324261
s	0.00970589	0.0108724	0.0394432	0.142488	0.114781	0.118737	0.152257	0.118162	0.111922	0.1041	0.0254206	0.00910059	0.0430118
í	0.00266174	0.00360824	0.00471415	0.0122057	0.0343767	0.0424648	0.13737	0.145323	0.0748694	0.0355113	0.120364	0.0353415	0.351189
l	0.0712587	0.0229423	0.0973234	0.042522	0.0474228	0.0426252	0.169595	0.0936494	0.106901	0.101063	0.0433416	0.0261715	0.135184
í	0.1242	0.0213707	0.0880207	0.0302413	0.0125862	0.0170666	0.0475835	0.0409553	0.0214921	0.0207097	0.0585394	0.0248713	0.492364
y	0.0260732	0.0431712	0.460756	0.151434	0.113134	0.0278905	0.0465006	0.0289589	0.0379818	0.0306057	0.0134893	0.00409331	0.0159114
é	0.0366753	0.0134782	0.639365	0.0569728	0.0969471	0.00581558	0.0198373	0.0182232	0.0146853	0.0114434	0.0433001	0.00238469	0.0408719
é	0.0245255	0.0195009	0.451984	0.122571	0.161664	0.0209723	0.0327256	0.0484901	0.0274755	0.0438339	0.0217558	0.0011856	0.0233161
y	0.00855607	0.00177393	0.00515587	0.0322262	0.313483	0.0162205	0.12869	0.0721743	0.0728128	0.0162377	0.212474	0.0461992	0.0739957
é	0.000893318	0.000407815	0.0212394	0.0329182	0.511909	0.0411953	0.106123	0.1066	0.0660899	0.00991208	0.082808	0.00271589	0.0171873
n	0.00164829	0.000269004	0.038168	0.0569094	0.312429	0.0440072	0.131203	0.106528	0.113024	0.0193116	0.0434529	0.0144326	0.118617
g	0.0159505	0.00304334	0.0526188	0.123142	0.317946	0.0428928	0.140698	0.09817	0.113768	0.0264833	0.0209926	0.0112418	0.0330532
í	0.00806419	0.0120814	0.296423	0.160211	0.323711	0.0179413	0.0317486	0.050347	0.0342944	0.0292865	0.00629522	0.00372755	0.0258699
w	0.00115507	0.00182304	0.0229256	0.379729	0.0812248	0.104636	0.120397	0.0755827	0.0901451	0.10493	0.00616155	0.00172842	0.00956195
a	0.00950539	0.016197	0.0130965	0.561421	0.0507522	0.0563328	0.0366231	0.0403273	0.0549621	0.112949	0.00315587	0.01283	0.0318482
o	0.000451099	0.00112642	0.00547011	0.109166	0.0640379	0.156249	0.123927	0.131103	0.160462	0.206184	0.0174348	0.00571918	0.018671
k	0.00123681	0.000361069	0.000817096	0.0017825	0.053252	0.0268374	0.382149	0.12357	0.206577	0.0468779	0.14564	0.00500688	0.00589268
y	0.000598687	0.00041117	0.000174092	0.00107202	0.0121463	0.01168	0.216431	0.0918828	0.444556	0.0353892	0.0531564	0.100952	0.0315509
é	0.00166618	0.000515598	0.00108545	0.0218984	0.0548212	0.0848725	0.222877	0.242758	0.241432	0.0776533	0.0134967	0.00779043	0.0291323
