 	la	couverture	est	sur	le	lit	</S>
o	0.909592	0.0583217	0.0162776	0.00761029	0.00678686	0.000915859	0.000495483
l	0.0211311	0.974273	0.00270754	0.000536309	0.000548749	0.000563584	0.000240073
a	0.00217298	0.979865	0.0033309	0.00511489	0.000906245	0.00395909	0.00465123
n	0.0051796	0.981632	0.00410954	0.0029078	0.000734795	0.00243832	0.00299818
g	0.283165	0.508287	0.033807	0.0220461	0.00573582	0.00856572	0.138393
í	0.362013	0.489142	0.0464421	0.0228886	0.0142966	0.0103613	0.0548568
r	0.120127	0.0531399	0.690669	0.0860026	0.0304938	0.00190772	0.0176603
i	0.334222	0.32727	0.0932338	0.0403319	0.03139	0.00764746	0.165905
ó	0.285485	0.0222644	0.481671	0.073305	0.101229	0.00575455	0.0302911
d	0.0164942	0.00764858	0.240878	0.571737	0.107685	0.0285883	0.0269689
í	0.00309263	0.000255071	0.0367393	0.304367	0.0556742	0.0167276	0.583145
s	0.0240738	0.000265984	0.134331	0.296139	0.266053	0.0586007	0.220537
a	0.0168992	0.000878045	0.033172	0.361881	0.162876	0.22428	0.200013
a	0.0156164	0.000413862	0.0433628	0.104687	0.296505	0.321537	0.217878
m	0.0016252	0.00169704	0.0264101	0.113679	0.136937	0.641569	0.0780833
ó	0.00161585	0.000156238	0.0254895	0.135959	0.174157	0.439916	0.222707
b	0.000957672	0.000264117	0.024288	0.0366937	0.206139	0.623194	0.108463
é	0.00164606	8.10268e-05	0.00392919	0.0299867	0.066714	0.865227	0.0324165
é	0.000187809	0.000323698	0.00516571	0.0325711	0.0349508	0.501068	0.425732
</S>	0.00884373	0.00140418	0.0527779	0.0854824	0.176831	0.157011	0.51765
