 	son	embonpoint	n'	est	pas	normal	</S>
i	0.404478	0.265847	0.257736	0.0333445	0.0234048	0.0126732	0.00251613
k	0.0807202	0.551596	0.145777	0.0853691	0.064057	0.0685014	0.00397978
o	0.0497516	0.477251	0.0646027	0.0457488	0.0211608	0.332736	0.00874877
n	0.0267128	0.645262	0.126854	0.0636973	0.0378261	0.0867646	0.0128828
d	0.415311	0.274946	0.0595932	0.0771808	0.0625771	0.0822497	0.028142
a	0.246247	0.545778	0.0270712	0.0159414	0.00714443	0.011226	0.146592
l	0.198707	0.0996281	0.469182	0.123112	0.0640471	0.0141024	0.031221
á	0.459373	0.0918851	0.160806	0.0565586	0.0318647	0.0127781	0.186735
w	0.474939	0.153461	0.175339	0.0784181	0.074367	0.0139551	0.0295206
a	0.233381	0.0806474	0.201404	0.246202	0.127992	0.0399508	0.0704226
d	0.0626459	0.0441195	0.21895	0.305694	0.219355	0.0693012	0.0799347
í	0.0230144	0.0173347	0.0480681	0.193787	0.211203	0.0681547	0.438438
í	0.0197512	0.00335645	0.191162	0.186934	0.234052	0.24694	0.117805
d	0.0253631	0.0110278	0.0857462	0.241372	0.373435	0.159487	0.103568
í	0.00619117	0.00144378	0.0111891	0.06811	0.148086	0.159742	0.605238
l	0.0059058	0.000539575	0.0193916	0.11165	0.223568	0.262413	0.376532
í	0.00859937	0.00328208	0.032357	0.0803988	0.119541	0.0775827	0.678239
b	0.0288809	0.00980323	0.0195961	0.0600515	0.205704	0.435245	0.240719
é	0.0369081	0.0176401	0.0169264	0.0499568	0.079509	0.777118	0.0219416
</S>	0.00631898	0.00341078	0.00365689	0.028068	0.035631	0.752179	0.170736
