 	il	apprend	à	lire	</S>
w	0.987108	0.00443398	0.00727285	0.000774499	0.000410794
a	0.978126	0.00114452	0.0193071	0.00111864	0.000303966
l	0.711819	0.136547	0.13634	0.000555405	0.0147389
á	0.299177	0.126999	0.261464	0.00457931	0.307781
a	0.464618	0.126088	0.0777468	0.0488842	0.282663
y	0.00739768	0.967959	0.00991716	0.00763069	0.00709561
é	0.000883915	0.993217	0.0033739	0.000634408	0.00189091
á	0.0287977	0.642328	0.207008	0.0140521	0.107814
i	0.0198381	0.282461	0.631703	0.028826	0.0371718
t	0.0196564	0.179467	0.50655	0.203635	0.0906915
á	0.00994589	0.139022	0.138089	0.573532	0.139412
n	0.0397999	0.185326	0.276332	0.368909	0.129634
g	0.0827895	0.351846	0.270113	0.105891	0.18936
a	0.468482	0.330998	0.0379657	0.0291683	0.133386
</S>	0.00802436	0.0204466	0.519447	0.144859	0.307223
