 	la	mante	religieuse	a	un	gros	ventre	</S>
b	0.563055	0.4172	0.00783643	0.00578046	0.00268571	0.00276581	0.000361494	0.000314554
v	0.0269236	0.966553	0.00096167	0.00146806	0.00115559	0.00129151	0.00122522	0.000421194
w	0.0310286	0.961048	0.00109805	0.000718126	0.00274221	0.00120024	0.00183967	0.000324752
ε	0.186543	0.802446	0.00212749	0.00138543	0.00157265	0.000659727	0.00191536	0.00335033
ε	0.545472	0.25082	0.0366286	0.0109656	0.00778991	0.00753234	0.0212747	0.119516
s	0.0557957	0.0363218	0.688573	0.147198	0.0236594	0.00561574	0.00182929	0.0410066
έ	0.211244	0.0337888	0.450383	0.19376	0.0258002	0.0136573	0.0100446	0.0613223
ó	0.0745554	0.00596252	0.367177	0.382422	0.0617599	0.0358813	0.0123256	0.0599165
d	0.00782959	0.00184845	0.0539944	0.635421	0.21851	0.0611059	0.0107403	0.0105504
í	0.00117526	3.96914e-05	0.0165856	0.32278	0.237009	0.13187	0.0267211	0.26382
i	0.00170875	0.000140971	0.0233125	0.16555	0.25402	0.21849	0.0768212	0.259957
f	0.00181365	0.00194823	0.00641913	0.0652593	0.351616	0.246061	0.212615	0.114268
ú	0.00243683	0.00219717	0.0155822	0.0444837	0.244691	0.074806	0.505738	0.110065
n	0.00142263	0.000541589	0.00134203	0.00392148	0.116695	0.104096	0.671386	0.100595
d	0.00143772	0.000497679	0.000660768	0.00754814	0.327512	0.232443	0.366645	0.0632548
ú	0.00194883	0.000135841	0.000984169	0.01467	0.189155	0.323615	0.395948	0.0735434
i	0.00589341	0.000191755	0.000926545	0.014061	0.0621886	0.212029	0.383186	0.321523
n	0.0416752	0.00503981	0.00556875	0.039734	0.161593	0.229392	0.391979	0.125019
έ	0.00523063	4.22513e-05	0.000239142	0.00463677	0.0283709	0.20948	0.492664	0.259337
</S>	0.000656616	6.90166e-05	0.00178824	0.0132781	0.0456564	0.179752	0.213221	0.545579
