 	sa	blessure	le	laissa	borgne	</S>
p	0.520069	0.408385	0.0697365	0.000770565	0.000579591	0.000459078
ó	0.077909	0.907818	0.00857513	0.00307165	0.00206087	0.000565393
r	0.0379062	0.763167	0.147786	0.0302042	0.00601725	0.0149194
á	0.226832	0.625384	0.118512	0.00515177	0.00271221	0.0214082
é	0.460561	0.154215	0.366805	0.0130743	0.00145091	0.00389296
y	0.0504605	0.101325	0.443415	0.325928	0.0387106	0.0401612
í	0.0195959	0.0118264	0.054903	0.812231	0.0682541	0.03319
í	0.00955293	0.0120203	0.0240127	0.582016	0.254552	0.117846
w	0.0344166	0.0075786	0.528017	0.0982467	0.269479	0.0622629
a	0.0637953	0.0447491	0.586101	0.166244	0.0886465	0.0504632
d	0.0205946	0.00743252	0.282381	0.138699	0.311342	0.239551
í	0.00704621	0.0049462	0.0061995	0.181436	0.610561	0.189811
s	0.0156345	0.00344531	0.0901467	0.0907534	0.490638	0.309382
i	0.00983249	0.00187911	0.00821749	0.0210999	0.767154	0.191817
i	0.00606944	0.00157061	0.0123977	0.0194213	0.593231	0.36731
b	0.00509134	0.00444087	0.0299052	0.0294676	0.199278	0.731817
h	0.14047	0.111645	0.0279497	0.0634873	0.37086	0.285588
ω	0.00612199	0.0122306	0.00217984	0.0346355	0.293892	0.65094
ώ	0.000730784	0.00281955	0.00707908	0.0275834	0.220184	0.741604
</S>	0.0181011	0.00699639	0.0316898	0.0167364	0.294331	0.632145
